,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10,AAAAFF,FFFADB,FFFAFA,ABDAFF,AAEAEF,CDFACB,FFFFAA,FFFCAB,AAABFF,AAABFF,AAABFF,ABEFAC,AAAAFF,FFEDAB,AAACFE,FFFFAA,FFFFAA,FFFEAB,AAAAFF,AABAFF,DCAFFA,FFFABA,FFDEAA,FFDBAB,FFEFAA
11,AAAAFF,AADACF,AADADF,CBAFFA,BAAAFE,FEEDAE,FFFFAA,FFFFAA,FFFEAA,AAABFF,AABCFF,AAACFE,ABAADF,AABFFD,FFEFAA,FFFEAA,FFFFAA,FFFAAB,AABCEF,AAAAFF,AAAAFF,FEAAFA,AAAEFB,EEFFAA,FFFFAA
12,FFEEAA,FFBAAD,CCAFFB,FFAAFA,EDAFAC,CCAEFA,ABECAF,AAADDF,AAADEF,AABCEF,CCEFAD,FFFFAA,FFFAFA,AAAEEF,FFEEAA,FFFEAA,FFFEAA,FFEEAA,FFBFAE,AAAAFF,CDFAFA,BCFAAF,CCCFAB,FFBFAA,BBAAFF
13,AAAAFF,AABAFF,FFFEAA,BBABFF,FFBCFA,FFFEAA,FFFFAA,BBAAFF,AAABFF,AAAAFF,FFFCEA,FFEFAA,BBAADF,AACBDF,AAAAFF,AAAAFF,EEFFCA,FFFFAA,FFFFAA,AAAAFF,AAAAFF,AAAFFE,AAABFF,AACFDE,EEFFBA
14,FFEEAA,FFEEAA,EEDAFA,BBABFE,FFEAFA,FFDCAC,EDAFAE,AACBFF,AABCFF,AAADFF,AACFAF,AAABFF,FFFDAA,AABAFF,AAEAFD,FFFEAA,FFFDCA,FFFFAA,FFFCAB,DDFBAD,EDAFBA,EDAAFB,CDFAFD,EDAFAB,AAAAFF
15,AAAAFF,AACAEF,BBBFAF,FFFAAC,CCEAFA,FFFDBA,FFDFBA,FFFAAC,AAABFF,AAABFF,AAACFF,FFFFAA,AAAAFF,FFEFAA,AAABFF,FFEEAA,FFFFAA,FFFEAA,AAABFF,AAABEF,AAAAFF,FFFDAB,CDFABD,DDFEFA,FFFFAA
16,DEEFCA,EEEFBA,DDFFCA,EEFBAF,CCBAFF,BBAAFF,BBAFFD,AABAFF,AACFDE,BBAFFC,EEFAFC,FFEFAA,FFFBAB,AAABFE,ABFAFF,BBAAFD,DDAFFA,EEFFAA,FFFCAB,FFFAAC,DDCAFF,FFBAEB,BCFFAC,FFFAAC,AAABFF
17,FFFEBA,FFEDAC,AACEFC,FFFABD,DDEFAB,AAAAFF,AAABEF,AAACFE,AAEAFE,FEEFCA,FFEFAA,FFFFAA,BBAADF,AAABFF,ABFFDB,FFFFAA,FFFEAA,CCBABF,AAEAFF,DCAAFF,DDCBFA,EDAEFC,EEEDFA,DCABAF,AAAAFF
18,AABDEF,FFDFBA,EEFAFB,AAACFE,EDCAAF,FFEDCA,EEFAEC,FFFEBA,FFEAAE,BCFFAE,AAABFF,AAACFF,BBBEFA,FFFFAA,FFEEAA,EDAAFF,DDBBAF,AAACEF,AABAFE,ABFAFF,FFDFAA,CCBAFB,FEAADE,BCFFAC,AAEAFE
19,AACFFD,CCBDAF,ABFACE,DDFFDA,FFEEAB,BCFFAB,ABFAFD,AACAFF,AABAFF,AABAFF,AABBFF,AAABEF,FFFDAA,BBAAFF,BBADAF,FEAAFB,EFFFAA,FFFBAA,FFFDDA,AAFBED,CCBFFA,CBAAFF,BBACFA,ABFAFA,AAFBAF
20,EDAAFE,EEFFAA,AAAAFF,BBDFAB,FFDFAA,BBAAFF,AABFFB,EEFFAA,CCCFBA,EEFFAB,AAABFF,AAABFF,AAAAFF,BCFFBA,FFFFAA,FFFFAA,FFFFAA,AAABFE,AAAAFF,DEFFBA,AAADFE,AACAEF,FFFEAA,FFAADD,DEFEAB
21,FFEFAA,FFEFAB,BBAFAF,AAEEFB,BCFABC,BBAFEA,BBAAFF,CDFDBA,FFFFAA,FFFFAA,FFFDAB,AAABFF,AAAAFF,EEFFBA,FFFEAA,FFEFAA,AAABFF,AAABFF,AAAAFF,AABBFB,FFBFAB,CCACFA,FFCFAA,EEFFBA,AAAAFF
22,FFFFAA,AAABFF,FFFEAA,AAABFF,FFFFAA,BBAAFF,EFFFAA,BBAFDF,AABFFB,FFFADD,AAAAFF,FFFFAB,BBAAFF,BBBAEF,DDFFAA,AAAFFC,DDEABF,FFFFAA,FFBAAE,EEFFAA,DDEABF,ABDFAF,BBABFC,EEFFAE,FFFFAA
23,AABAFF,FECFDA,EEFFBA,FEDAAF,AAADFE,FFFABC,FFEEBA,AAAAFF,AAAFFD,FFEEAA,FFEFAA,CBAAFF,EEFFAA,DDBAEF,AAAAFF,AAACFE,FFFFAA,FFEFAA,AAAAFF,DEEFAA,BBDFEA,FEEAAE,AAAEFC,BBAAFF,FEAAFB
24,AAAAFF,AABAFE,FFFFAA,FFFEAA,FFEFAA,FFEFAA,AAAAEF,AAAAFF,AABBFF,AAFAFC,FFFEAA,FFFEAA,BBBAFE,CBAACF,AAABFF,AABBFF,EEFFAA,FFFFAA,FFFFAA,FFEAAE,AAABFF,AAAAFF,AAABFF,AAABFF,EEEFBA
25,AAAAFF,AAAFFB,FFFFAA,FFFFAA,FFFFAA,FFFEAA,BBBADF,AAAAFF,AAABFF,AABCFD,FFFFAA,FFFFAA,EEDAFA,BBAADF,AAAAFF,AABAEF,DDFAFA,FFEFAA,FFFFAA,FFFDAA,AAAAFE,AAADDF,AAABFF,AABAFF,FEEFBA
26,AAADFF,FFFBDA,FFDFAA,FFEFAB,FFFAAC,DCADFA,FFEAAD,DDBADF,AABAFF,AABAFF,BCAFFA,AAADEF,BBCFFA,FFFDAA,BBAAFF,FFFFAA,FFFEAA,AACAFF,AACEFC,BBAFEF,EFFFAA,CCAABF,AAAAFF,AABAFF,FFFADD
27,FECAFA,DCAFAF,FEBFAF,DEFFAA,FEAEFA,AABBFC,AAAFCF,AACAFF,AAAAFE,AABCEF,DDDFAB,CCFFAA,FFFEAA,AABAFF,AABAFE,ABDBAF,BBCEFA,EEFCBA,FFDFAA,FFFDAA,FFFDAA,AAACFF,AAEAFE,AAAAFE,AADAFE
28,FFFEBA,CCCAFE,FFCAFA,FFDDAA,FFFDBA,FFCAFB,ABCFFA,FFFFAA,ABFFCA,CCAAEF,AAAAFF,FFFEAA,FFFEAA,AAAAFF,AAABFF,AAACDF,AABAFF,EFFAAA,FFFABC,CBAAFF,EFFBAB,BBAAFD,AAACFD,FEDFBA,AADCAF
29,AAAEFE,ABBFAF,AAACFF,CBADFE,AAAFAF,FFBBFA,AACFFB,FFEFAA,FFFFAA,FFFCAC,AAABFF,AAABFF,AAAAFF,FFFEAA,FFEFAA,FFEFAA,BBAAFF,AAABFF,FFFFBA,FFEFAA,FFFFAA,DCAAFF,CCAAFC,AAFBFC,ABCAFF
30,AABAFF,FFFFAA,FFFEAA,FFFFAA,FFEFAA,FEEFAD,BBAAFF,AACBFF,AAABFF,AAACFE,FFFEAA,BBAADF,DDDFEA,FFEEAA,AAABFF,AAABFF,EEFEDA,FFFEBA,FFEFAA,FFFAAB,AAAFFE,AABDEF,AAADDF,AABBFF,DEFADA
31,AAAAFF,EEFFAA,FFFFAA,EEDAAF,AACFFC,FFFFAA,AAAAFF,AABFFB,EDAFFC,FFEEAC,AABCFE,EFFFAA,AAAAFF,AABFFD,FFFFAA,AABCFF,FFFFAA,ABBFFA,FFEFBA,AAABFE,AAAAFF,FFFFAA,AAABFF,CDFADF,FFFAEA
32,FFFFAA,FFFAAB,AADAFF,AAFCFB,CCAAFE,FFFFAA,DCAFAE,FFDFAA,FFBFAC,BBBADF,AAABFF,AAABFD,FFFEAA,FFFEAA,AAAAFF,AAAAFF,AACAEF,EEFAFA,FFEADB,FFEFAA,FFFACA,AADAFF,BBAAFC,DEFAFA,BAAAFF
33,EDDAAF,FFFEAA,AAABFF,FFFDAA,AAABFF,FFFEAA,AAAAFF,FFFFAA,BBABDF,BBCFFA,FFFACB,AAAAFD,FFFBAC,AAACFE,AAADFD,AAAAFF,FFEAFA,AAAAFF,EEEFAA,FFEFAD,AAABFD,FFFDAB,AAAAFF,AAABFD,FFFFAA
34,FFFFAA,EDAFBE,AABAFE,AAAEFE,CBAFFC,CBBAFF,FFFAFA,DDFFBA,FFEEBA,FFFFAA,FEAACF,AAABFF,AAAAFF,FFFFAA,FFFEAA,FFFFAA,AAAAFF,AAABFF,AABAFE,BBCFFA,FFFAFB,FFFFAA,FEEFAA,FFEFAB,AAADEF
35,FFEFAA,FFEAEA,CCAFAD,BBAFFE,FFEBCA,FEAFAC,DDDAEF,ABDAFF,BBDAFD,BBAAFF,AADACF,AAACFD,EEFFAA,BAAAFF,AACAFD,EEFAFD,FFEDAA,FFAFBA,FFFAAD,BCFCFA,DCABBF,BCFAFA,EDAAFC,FFFDBA,BBBAEF
36,DDCAFE,AAAFFD,AAAAFE,AABAFE,BCFAFF,EEDAAF,FFEDCA,EEFFAA,EDBACF,AAABFF,AAABFF,AAAAFF,DDEFCA,FFFEAA,FFFEAA,FFFFAA,EEDAAF,AAAFFE,AABCEF,FFFDBA,AAAAFF,CCAABF,FFEFAA,FFFAAB,EEFEAB
37,FFFFAB,BBAAFF,FFCAFC,FEEAAF,DDAAFF,AAAEFF,AABAFF,EEDFAA,FFFFAA,FFFEAA,FFFFAA,AAABFF,AAAAFF,FFFEAA,FFEFAA,BBAAFF,AAAAFF,AABAFF,CCDFAA,EEFAFA,EFFADA,CBACEF,FEAAFD,FFFAFB,FFAFAC
38,AAEFFB,FFFCBA,FEBFDA,CCBAFE,EEFAAF,BCFAFA,AAAEFE,DDFAAF,FFFDAA,FFEFAA,FFEEDA,FFFCAD,AAAAEF,CDFFBA,FFFFAA,AAAFCC,FFEFAA,BBBAEF,AAADFD,EEFAAF,AAABFB,ABBAFF,AAABEF,AAACFF,FFEFAA
39,AAABFF,FFEFBA,ABEFFA,EDBAEF,FFFFAA,AAAFFE,EEDBAF,AAAAFF,FFEFAA,FFFFAA,AAABFF,FFFFAA,FFAABE,AAAAFF,AABFFC,FFEEAA,BBAAFF,FEAAED,FEEAAF,AABBFC,AAADFE,AAABFE,EEBABF,ABCFFA,BBDFFA
40,AAACFE,AAABFE,FFFEAC,ABEFEA,FFEFAA,CBAAFF,AAADFE,FFEFAA,FFFEAA,AABAFF,FFFFAA,AABAFF,BBBABF,AABEFE,BAAAFE,FFEFAA,FFFBEA,FFFFAA,AAABFF,BBEFDA,FFFEAA,AABBFF,EEFFAD,AABBFE,FFCAAE
41,FFFFAA,FFFEAD,AAAFFC,AAAAFD,FFFAAE,FFEAAD,AAAAFF,EEFFAA,BCCFEA,AAAAFF,FFFEAA,FFFFAA,DEEFBA,EDEAAF,AAAAFF,AAAAFF,FFFFAA,FFFFAA,EEDAAF,AAAAFF,FFFFAA,ABCFAB,AAABFD,FFFCAC,FFEAAB
42,AAADCF,BAADFE,AAEFAE,CCFAFC,FFEFAA,FFFFAA,FFFFAA,FFFEAD,AABAEF,AAAEDF,AAADFF,AAAFDF,AABDCF,AAEDFD,FFFBCA,FFEFAA,FFEFBA,FFFEAB,AAADBF,AABAFF,AABDFF,FFFFAB,ABFCFA,EEFCFA,FFDFAA
43,BBCFFA,FFEFAA,FFEFAA,FFFFAB,FFBFDA,AAAAFF,AAAAFF,AAAAFF,AAABFF,BBEAFF,BBDDFA,FFEFAA,AAAAFF,FFFEAA,AAAAFF,FFEFAA,FFFEAB,EDAFEA,FFFFAA,AACCFF,CBADAF,BBAAFF,AADAEF,AAACFF,BBACFF
44,BBAAFE,DDAFFA,FEEAAF,AAAFEE,EEFFBA,AAABFF,FFEAAE,AAAFFC,FFFFAA,FFFEAA,EEFFAA,FFFFAA,AAAAFF,AAAAFF,ABEFFB,FFFFAA,BBAAEF,EECAAF,ABFAFF,CDEFBA,DCAAFD,ABFAFB,EEFFBA,AAAAFF,FFFEAB
45,AABFBF,DDFFBA,BBAAFF,EEFFBA,FFFFAB,AAABFF,FFFFAA,FFFDAB,AAAAFF,AAAAEF,AABBFF,AAABEF,FFFFAA,FFFEAA,DDFFAA,AAAAFF,EEEFEA,FECAAF,AAABFF,EEFFAA,EDAADF,AAABFF,FFFFAA,AABBFF,EEFFAA
46,FEAAFB,BCFFBA,AAAAFF,AACFFB,FEEAAF,FFFEAC,BCFFAA,FFEAAE,FFFDAA,AAAAFF,AAABFF,AAABFF,AAAAFE,FFFEAA,FFFEAA,FFFFAA,DDBADF,BCFFAA,AAAAFE,FECAAF,DDEAAF,AAACFC,FFFFAA,AAABFF,FFFAAC
47,CBAAFE,FECAAF,AAADFF,DEFFAA,BBAAFF,AAAEEF,FFFFAA,FFFEAA,FFEBAD,AAABFF,AAABFF,AAABFF,EEFFAA,FFEEAA,FFEFAA,FFFFAA,AAAAFF,AAABFF,CDFFBA,BCEAFA,FFEEAA,AAABDF,FFFDAB,FFFBAA,FEAFAC
48,BCEFEA,BCFAFC,FFDFAA,EEFFAA,AAEEFE,AABFEE,BBAAFF,EEFFCA,FFCFAE,EEEFDA,FFDFAA,AAABFF,AAAAFF,FFEEAC,FFFEAA,EEFFAA,FFFDAA,CBAEBF,AAAAFF,AAABFF,FFFDAA,AAAFFE,AAAFFE,FFFAAB,AACAFF
49,BBFFEA,FFFBBA,ABFAFC,FFFBAA,AAAAFF,AACAFF,FEBFEA,AABDFD,FFEFAA,EEFEEA,FFCFAA,EEFFAC,AAAAFF,ABFFCB,FFFFAA,FFFCBA,FFFFAA,BBAAFF,AACCFF,BBBAFF,BBDFAA,EEFAFA,AADAFD,AAABFF,AAAFFD
50,BBCACF,AAAFFD,FFDFAB,DEFFAA,AAAEFE,FFFFAA,FFFFAA,EEFFAA,BBBABF,AAACFF,AAABFF,AAAAFF,AAAAFF,FFEDAA,FFEECA,FFFFAA,FFFEAA,EEFEAF,AABFCF,AADAFF,CDFFFA,BCFAFD,EEFFAC,EEEFAB,FFFAAB
51,AABBEF,CCAAFE,EEEABF,FFFEAA,BAAAFF,FFFEAB,FFFFAA,AAAAFF,FFEFAE,EEFAFA,FFFDBA,FFFBAC,AAAAFF,FFFFAA,AAAAFF,AAABFF,EEEFBA,FFFDAA,FFFFAA,DDBABF,AAAAFF,FFFFAA,AAABFF,FFFDAC,EEFAAC
52,DDDAAF,FFFEAA,AAABFE,FFFDAA,AAABFE,FFFEAA,AAAAFF,FFFFAA,AAFACF,DEFFAA,EDAAFC,AAAFFB,FFEAFC,AAAEFE,AAABFE,BAAAFF,FFDFAC,AAAFFB,FFEFAA,AAABFE,FFEEAB,AAAAFE,FFFEAB,AAABFF,AAAFAE
53,AABAFF,AACFAE,FFEDCA,CCEAAF,AACAFF,EEDFAA,FFFFAA,FFFCAB,AAAAFF,AABBFF,AAAEFF,FFFDAA,AABADF,FFFAAC,AAAEFF,FFEEBA,FFFFAA,FFFFAA,AAABFF,AAABFF,DDCDFA,FFFBAB,DCAFAE,AADAFB,FFCAFB
54,FFFDBA,FFBFAE,ABDAEF,BBADFD,AAFFEB,DDCAFE,BAAFBF,FEAFAB,CBAFBF,AAFAFE,AABDEF,BBBFAE,AAAFDD,FFFAAD,EEFBFA,FFECEA,FFFCBA,FFFFAA,EEFFAA,EEBFFA,EFFAAB,BBEFAC,CCCFEA,FFFAAB,AAAAFF
55,AAAAFE,FECFDA,AAADFE,FFEAAD,EEEFBA,AAADFE,FFFEAA,DCBACF,AAAAFF,FFFFAA,FFFFAA,FFFFAB,AAAAFF,FFFEAA,AAABFF,AAAAFF,AACEFB,FFFFAA,ABBAFF,EEEFDA,FFEAAD,AAADFF,BBCFFA,AABEEF,EEFAFB
56,BBFEFA,FFFFAA,EEFFAE,FFCBAE,FFEBAB,BCFDEA,AAAAFF,FFEFAA,BBAFAF,AABCFD,FFEFAA,AABAFF,AAAAFF,FFEFAA,FFFDAB,AAAAFF,DDCAEF,ABBAEF,AAAAFC,FFCBDA,FFFDAA,EEFFAA,AABFAF,ABFABF,DDCCAF
57,AABBEF,AAABFF,FFFDAB,FFFDAB,FFFFAA,BBAFFA,FFFFAA,FFFAAD,EEEAAF,AAABFF,AAABFF,AAABFF,AAAAFD,FFFFAA,FFFBAA,AACAFF,CCDAAF,AABBFF,AACFAF,FFFEAA,EEFFAA,FEAFAE,AAACFF,FFADFA,FEAACE
58,ABFAFB,AABFFE,FFFFAA,AABBFF,FFFFAB,FFFEAB,FFFFAA,CCAAEF,FFFEAC,AAABFF,AAADEF,AAAAFF,AABAFF,FFDFAA,FFFEAA,EEFFDA,FFFBBA,FECAAF,AABAFF,AAACFE,FFFFAA,BBAAEF,AAABFF,FFFFAA,AAAAFD
59,AAAAFC,FFEEAB,AAACFF,AABAFE,DCAAFF,FFEFAA,FFDFAA,FFFEAA,FFFEAA,FFDFAA,AAABFF,AAAAFF,AAAAFF,FFFFAA,FFFFAA,EEEAAF,AAAAFF,AAADFF,DDEFEA,FFDFAA,BCDFAB,FFCEEA,AABAFE,BBAFAF,EEDFAA
60,AAAAFE,EEEBAF,AACFEC,AACFFE,AAADFF,FFFCEA,FFEFAA,FFFCAA,AAAAFF,AAABFF,AAAAFF,BAAAFF,AAAAFF,FFEFAA,FFDFAA,FFEFAA,FFFDBA,DDDAAF,AAABFF,AABBFF,CCEFCA,AACAFF,EEFFEA,EEEFAA,DCABEF
61,AAAFFC,DDCAAF,DDFFAA,FFFEAA,AAABFF,FFFFBA,FFFFAA,CBBAFF,AAAAFF,FFFFAA,FFFDAA,AAAAFF,BBAAFF,AAAAFF,CCBFFA,FFFEAA,EDCADF,AAAAFF,FFFFAA,FFFAAC,AAAAFF,CDEFEA,EDAAEF,AABBFE,FFFCAB
62,FFEEAA,FFAFAC,AAAFFB,AAABFF,BBAAFF,AAAAFF,BBAAFE,EEFFAA,FFFFAA,FFFEAB,AAABFF,AAABFF,AAAAFF,FFFEAA,FFEFAA,FFFFAA,FFCFAD,AAAAFF,AAABFF,CCABFA,AACFEE,FFFBAC,FFEFAA,FFEACA,BBAAFF
63,AAABFE,EEFAFA,EEFFAD,FEAFAE,FFFBBA,FFFFAC,EEFAAB,FFFABA,FFFDAD,ABAAFF,AABAFF,AAABFF,AAABFE,FFFEAA,FFFFAA,FFFFAA,EEFDAB,AABAFF,AAABFF,AADAFF,DDDFAA,CCCDFA,AAADFD,ABBFAC,DDAAFB
64,FFDFBA,FFFAAB,FFEDDA,FEAFAD,ABFCFB,BBDAFF,CBBAFF,AABAFF,AABAFF,AAEAFE,AAADEF,FFFDCA,FFEFAB,BBAFFA,EDABEE,FFEEBA,FFEEBA,FFEEAB,ABFCAF,CDFAEC,AAEAFD,DEFAFA,EEFAAC,EEFFAB,BBABFF
65,AAABFF,ABFFAC,FFFFAA,FEFAFC,AAFDDD,BAAAFE,DDAFBA,FFEFAA,FFBDAD,EEFAAE,AAABFF,AAABFF,AAAAFF,EEFFAA,FFFEAA,FFFFAA,FFFBBA,FFFFAA,AAAAFF,AAAAFF,AACFDE,FFDAAC,BBDDAF,DDEFAA,BCFACE
66,AAAAFF,AABBDF,AADAFF,FFAFAA,BBADFD,EEFAAE,FFEFAA,FFFFAA,FFFEAA,AAABFF,AAABFF,AABAFF,AAABFF,FFFEAA,FFFFAA,FFEFAA,FFFEAB,AAABFF,BBAAFF,AABAFE,AAEFAF,BBCFFA,AAAFCF,DEEFBA,FFFCCA
67,AAAEFE,AABCFE,EEFBEA,FFFEAB,BCFFCA,FFFBAA,FFFAFA,FFFDAB,DDCAFE,BBAAFE,AAEFEB,FFFEAC,BBAAEF,AABAFF,AABAFF,FFEEAA,FFFFAA,FFEFAA,FFEDBA,FFFBAB,FFBFAB,DDFAAE,AAABFF,AABFAD,EECFAA
68,DDEFCA,FFFFAB,DCAFAF,DDFFDA,AABAFE,BBBAFE,AAAAFF,AAADFF,AAAAFF,AAAAFF,BBCFFA,AAABFE,FFFEAA,AABAFF,BBBAFF,BCFAFC,DDEFFA,DEFCFA,FFDCFA,FFFFAB,FFDFAA,FFFFAD,AAEAFD,FFBFAA,AABAFF
69,AAAAFF,FFFACB,FFFEBA,FFDFAC,FFDFAC,FFFEAA,DEFFAA,FFABAE,FEDAAF,AAABFF,AAAAFF,AAACFF,AAAAFF,FFEEAA,FFEEAC,FFFFAA,FFFFAA,FFFEBA,CCCFAF,AAAEFE,AAAFCF,BBAAFF,BBAAFF,BBAAFF,EEFFAA
70,FFFCAB,CCAFFA,DDCABF,AACAFF,FFFDAA,DDFFBA,AAAAFF,FFFFAA,FFFEAA,CCCFFA,FFFFAA,AAABFF,AAAAFF,AADFFB,FFFEAA,FFFFAD,AAAFFC,AAAAFE,AAAAFE,FFECAC,ABEFAB,AAAAFC,FFEFBA,BBAAFF,EDDADF
71,AACEFC,FFDFAB,FFFDBA,FEAAFD,EEFDAA,AAAAFE,BBBAFF,AADCEF,AAAAFF,EEADFA,FFCFAA,FFEFAA,FFCEBA,AABAFF,FFFEAB,BBAAFF,DEDFAA,FFFEBA,FFEDAA,DDEBFA,BBCAFF,CBAFAF,BAAAFF,AACBCF,AAABFF
72,FFDFAA,FEBCAF,BCFEEA,ABFAFF,ABFFAD,AAEFCC,EEEFAF,DDAFAF,AABAFF,AABAFF,AABEFE,AAADFB,FFFEAA,ABDACF,AAADFE,FFFABA,EFFCBA,FFFDAA,FEEFAA,FFAFBA,BBCAFF,BBFFAF,AACBFF,CDCFAA,AAAAFF
73,AABCFF,FFEFAA,EEFEEA,FFFDAD,AAAFFB,FEAFCA,FFFDAA,FFFCAC,AAAAFF,AAABFF,AAABFF,AAACEF,DDDFFA,FFEEAA,FFEEAA,FFFFAB,FFFFAA,AABAFF,AABDFF,BBAAFF,DCAADF,CBAFFA,CBAAFD,CCAAFA,EEDFBA
74,AAFDFD,FFFDAD,CCBEAF,FFEAFA,AADFFE,DCAFFB,ABFEFA,FFFFAB,FFFFAA,FFFFAA,FEEACE,AABBFF,AABAEF,AABFFC,FFFEAA,FFFFAA,FEAADE,AABAFF,AADFAF,CBADFF,FFFBAB,EDABFE,DDAFFA,ABFAFF,BBDEAF
75,AAAAFF,AAAEFC,FFFFAA,FFEFAA,FFFFAA,FFEFBA,AABAEF,AAAAFF,AAACFF,AAFEFC,FFFEAA,FFFEAA,CCAAFD,CBABBF,AABAFF,AACAFE,EEFECA,FFFEAA,FFFEAA,EEFFAB,AABAFF,AAAAFF,AAABFF,AAABFF,EEDFAA
76,AABAFF,DDCFEA,EEFFBA,DCAAEF,DDFFEA,FFFEAA,AABDFE,FFFAAE,AAAAFF,FFFEAA,FFFFAA,AAABFF,EEFFAA,FFFEAA,AAABFF,AABAFF,EEFFAA,FFFDAB,AAAAFF,FFFFAC,EEFFBA,AAABFF,DDFAAF,EEFFAD,EEFAED
77,AAABEF,AAAAFF,EEFFBA,FFFBBA,EEFFAA,FFDFBA,FFEFAA,AACAFF,CCAADF,AAABFF,AAABFF,AAABFF,AAAAFF,FFEEAA,FFEFAA,FFFFAA,FFFFAA,AAAAFD,DDBFEA,ABAAFF,ABBFFA,AAEABF,BBABFF,CCAAFD,AAAFEE
78,EEFFAA,AABEFF,EDAFAB,DCAFAD,EEBFAD,CCDFAC,CBAFFD,AABAFF,AAAAFF,AABAFF,AABBCF,DDEFFA,FFFFAA,EEFAFA,AADADF,AAAFAF,DDFEAF,FFFBAC,FEAFAC,FFFAAD,ABAFFA,CCCFFA,EDABFB,FFEADA,BBACEF
79,EDAFAB,FFBFAA,FFECAD,EEFCBA,CBAAFF,CBBACF,DDCFAC,CCEFBA,FFDAAD,EEEEFA,FFFEBA,CCBFAF,AAAAFF,AAFFEB,FFFEAA,FFEFAA,FFFFAA,DCBAFF,ABBEAF,AABBFF,FFBACB,FFEFAB,BBCAFF,AAAAFF,ABDFAC
80,AAABFF,BCFFBA,AABFFD,FFFFAA,AAABFF,FFFFAA,FFFFAA,AAAAFF,EEFFBA,BBACAF,AAAEFD,AAABFF,AAADBF,ABFFAC,FFFFAA,EEFFDA,FFFFAA,AAAAFF,FFFFAA,AAAAFF,AAAAFF,EEFFAA,AABBFF,EEFFBA,EEFFBA
