,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
17,EDCBA,EDCBA,ABCDE,DECAB,EABDD,CDDDA,DBACE,AACEE,ABCDE,ACDDD,ACCCE,ADDCC,EDCBA,EDCBA,EDCBA,BABDE,ABCDE,ABCDE,EDCBA,EDCBA,EDCBA,ECBBB,ABCEE,BBBCE,AACDE,BBBDE,DDBAD,DACDC,EECAA,ABBCE,AACDE,ABCDE
18,ABDDE,EDBAB,ECBBB,CEDCA,ABDDD,ECBAC,DEDBA,ECBBC,ADEDA,EDCBA,EDBAA,BBDEB,ABCDE,ABCDE,ABCDE,ABCEE,EDCBA,EDCBA,EDCBA,ABCDE,ECBBB,ABCDE,ABCDE,ADDCD,CABDE,EDDCA,ECBBB,EDDCA,BDEDA,EDBAC,ACCCE,BBDEB
19,ABDDD,EDBAB,ACCDE,BCEDA,EDCBA,EDCBA,CACEC,DDBAD,ADDCD,BACEE,ABCDE,ABCDE,AACDE,ABCDE,ABCDE,EDCBA,CDBAD,ABDED,AACEE,ABDEB,DEDBA,EDCBA,EECAA,EECBA,EBBBC,AACED,ADCCE,AACDE,DECAB,ECCDA,ADDCC,EDCBA
20,EABCD,ACDEC,DCAAE,ABCDE,DEDBA,EDCCA,ECBAD,ABCDE,EDCBA,EECBA,ACEEA,ECCCA,ABCDE,ABCDE,ABCDE,ABCDE,ABDED,EDCBA,EDCBA,EDCBA,EDCBA,AACDE,EDBAC,ABCDE,EDCBA,ABCDE,ABDED,DEDBA,EDCBA,ABCEE,CEDBA,EDBAC
21,EDCBA,EDBBA,AACEE,BACEE,DDDCA,BEDBC,ABCDE,BACED,CDECA,EDCBA,EDDBA,EDCBA,EDCBA,CABDE,ABCDE,ABCDE,ACDEC,EDCBA,EDCBA,EDCBA,ABCDE,ABCDE,DCDDA,ABCDE,BCEDA,ECCCA,DCABE,ECCCA,EDBAB,EDCBA,AACDE,ABCDE
22,EDCBA,BABDE,CEDCA,EDCBA,ABCDE,EDCBA,DBABE,ABDEE,EDCBA,ACDDE,ABDED,EDCBA,CECAC,ADEDA,EDBAB,CABCE,EDCBA,ABCDE,EDBAB,ADECB,EDBAD,BDEDA,DCDDA,ABCDE,EDCBA,DDBAD,ABCDE,ABDED,BCBBE,ECAAD,EECBA,ABCDE
23,ABCDE,EDBAB,ECBAC,EDCBA,CABDE,ABCDE,EDDBA,DDDBA,EDCBA,ABCDE,ABDED,EDCBA,EDCBA,EDCBA,ABCDE,CDDCA,EDBAA,ABCDE,ABCDE,ACDEC,EDCBA,EDCBA,EECAA,ABCDE,EECAA,ACEEB,EDCBA,ABCDE,DEDBA,ABCDE,EBACD,BEDBC
24,ABCDE,ABCDE,EDCBA,EDCBA,EDCBA,EDCBA,EDBBA,DCAAE,ABCDE,ABCDE,ABCDE,ABDED,EDCBA,EDCBA,EDCBA,CBBCE,ECBBB,ABCDE,ABCDE,ABCDE,DEDBA,EDCBA,EDCBA,EDBBA,DABCE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,DDDCA,EDCBA
25,ABCDE,ABCDE,EDCBA,EDCBA,EDCBA,EDCBA,EDCBA,EDBAB,ABCDE,ABCDE,ABCDE,ABCDE,EDCBA,EDCBA,EDCBA,DBABE,ECBBB,ABCDE,ABCDE,ABCDE,BECBC,EDCBA,EDCBA,EDBBA,EDCBA,ABBDE,ABCDE,ABCDE,ABCDE,ABCDE,EDCBA,EDCBA
26,AACEE,EDCCA,EDCBA,EDCBA,EDBAB,EDBAB,DCAAE,EDCBA,CCDDA,BABDE,ABCDE,ABCDE,AACEE,EDDBA,ABCDE,ABDED,EDCBA,EDCBA,ABDDE,EDCBA,EDCBA,AADED,ABBCE,DDBAE,ACDDD,DEDBA,EDBAB,ABCDE,ABDDD,AACDE,EDBAC,EDCBA
27,EBABE,ECAAD,CEDBA,CACEC,EDCAA,EBBCC,CABDE,EBACD,CABDE,AACDE,ABCDE,ABDDE,CEDAB,CBACE,EECAA,EECBA,AACEE,AACEE,ACCCE,BBBCE,ABCDE,ECDCA,EDDBA,EDCBA,EDBBA,EECAA,BABDE,ABCDE,ABCCE,ABDED,ACCDE,EDDBA
28,EDCBA,ECBBA,DABED,BBBCE,EDCBA,EDCAA,AEDBB,ECAAD,EDBAD,EDCBA,ADEDB,EDCAA,ABCDE,ABDED,EDCBA,EDCBA,BABDE,ABCDE,ABDED,ABCDE,ABCDE,DDDDA,EDCBA,BDEDA,ABCEE,DECAA,CCBBE,CABDE,BDBBE,DEDBA,ACDDD,ABCDE
29,ABCEE,CABDE,ABCDE,ABDED,ACDDD,ABDEC,CECAB,CBBCE,EDCBA,EECBA,EDCBA,EDCBA,ABCDE,ABCDE,ABCDE,ABCDE,DEDBA,EDCBA,EDCBA,EDCBA,BABDE,ABCDE,ABDED,EDCBA,EDCBA,EDDBA,EDBAC,ABDEB,AEDBC,ECBCB,ABBCE,CEDBA
30,ABCDE,BDEDA,EDCBA,EDCBA,EDCAA,EDDBA,EDBBA,CEDBA,ABCDE,ABCDE,ABCDE,ABCDE,EDCBA,EDCBA,ABCDE,BCEEA,EDCBA,DBABE,ABDDE,ABCDE,DEDBA,EDCBA,EDCBA,EDCBA,ECBBB,AACED,AACDE,ABCDE,AACDE,ABCDE,CECAB,EDCBA
31,AACDE,ACEDB,AACEE,EDCBA,BABDE,ABDED,EDCBA,EDBAB,ABCDE,BEDCA,DABDD,EDCBA,ABCDE,CDDCA,EDCAA,ABCDE,ABCDE,EDCBA,ECAAD,ABCDE,EDCBA,EBABD,EDCBA,EDBAA,ABDED,AABDE,EDCBA,CABDE,ABCDE,DABDE,EDBAB,EDCBA
32,EDCBA,EDCBA,BBBCE,ACDDD,ECDCA,CBBCE,EDCBA,DDDBA,ECCCA,EEDBA,ECCBA,DEDAA,ABCDE,ABCDE,ACDEB,EDCBA,EDCBA,CBBCE,ABCDE,ABCDE,ABCDE,ECCCA,EDCBA,CEDCA,EECBA,EDBAB,ABDED,ACEEB,BEDBC,ECCCA,BABDE,ABCDE
33,EDBAC,EECBA,BABDE,ADEDB,EDCBA,ABCDE,EDCBA,EDBAC,ABCDE,EDCBA,AACDE,ABCDE,EDCBA,ACDCE,ABDEC,EDBAA,ABCDE,ECAAD,DEDBA,ABCDE,ECAAD,AABDE,DEDAA,EDCBA,EDBAD,ABCDE,EDCBA,ABBDE,ACEDB,ACDEC,EEDBA,ABCDE
34,EDDBA,EDBAD,BDCBE,AEDCB,ACDDD,CACED,EDCAA,AADED,CDCAD,EDCBA,EDCBA,EDCBA,EDCBA,ABCDE,ABCDE,ABCDE,ADEDB,EDCBA,EDCBA,EDCBA,ABCDE,ABCDE,ABCDE,ACCDE,CDDCA,ECBAD,DDDBA,DEDBA,ECBBB,EEBAB,ABCEE,ABCDE
35,EDCBA,EDCBA,CACED,EBBBC,ACDDD,EDBAB,ADCBD,AACED,ABCDE,BABDE,BBBCE,ACCCE,AACDE,AACDE,ACDEC,DDDBA,BBBCE,ABCDE,CEDBA,DACEC,EDBBA,EEBAB,EECAA,BCEDA,EDCCA,EABCD,EBBCB,ECCCA,BDCBD,EDCBA,BBBCE,ABCDE
36,DBABE,BBBDE,EDCAA,ACDCE,ABDED,BDBAE,EDCBA,ADEDB,EECBA,EDCBA,EBABD,ABCDE,ABCDE,ABCDE,ABCDE,BDEDA,EDCBA,EDCBA,EDCBA,EDCBA,EDBAC,ABCDE,AACDE,ABBDE,EDCBA,ABCDE,EDBBB,BDEDA,EDCBA,EBBBC,DEDBA,ECBBC
37,EECBA,ECBBB,ABDEC,ABCCE,CABCE,DBABE,CBBCE,CECAB,ABDDE,DEDBA,EDCBA,EDCBA,EDCBA,EBABD,ABCDE,ABCDE,BEECA,EDCBA,EDCBA,ABCDE,ABBDE,ABCDE,ABCDE,ECBBB,ECDDA,DECAB,BDCBE,ACEEA,ADEDB,EBCDB,ECCCA,CABDE
38,ACDDC,EDCBA,EDCBA,EDCBA,AACED,EECAB,ABDEC,ECAAD,CDDDA,DABCE,EDCBA,EDBBA,ECBBA,EECBA,ECABD,ABCDE,ABDED,EDCBA,EDCBA,BEDBB,EDCBA,EDBBB,ABDDE,DEDBA,DBABE,ABCDE,EBBCC,CECAC,ABDEC,ABCDE,EDCBA,ACDDE
39,ABCDE,AEDBB,EDBAC,EDCBA,AABDE,EEDBA,EBABE,DEDBA,BBBDE,ABCDE,EDDBA,EDCBA,EDBAC,ABCDE,EDCBA,EBBBC,ABCDE,ABCDE,EDCBA,EDCBA,BABDE,EDBAB,CDDDA,AACDE,BCEEA,ABCEE,CABDE,EDDBA,ABCDE,CDDCA,ACDEC,CEDBA
40,ABCDE,BABDE,EDCBA,BABDE,DEDBA,EDCBA,EDBAB,ABCDE,DEDBA,EDCBA,EDCBA,BABDE,ABDDD,EDBAB,ABCDE,BBBCE,ABCDE,EDCAA,ADDDC,EDCBA,EECAB,EDCBA,EBABD,ABCDE,DEDBA,EDCBA,ABCDE,BEDCA,BABDE,ABDED,ECBBC,EDDBA
41,EDCBA,BEDCA,ABCDE,ECAAD,ABDEC,EDCAA,EDCBA,ABCEE,ABCDE,EDCBA,ABDEB,EBABE,CEDCA,EDBAB,EDCBA,CDEDA,EDCBA,ABCDE,ABCDE,ABCDE,EDCBA,EDCBA,EDCBA,ABCDE,ABCDE,EEDBA,ABCDE,BABDE,DEDBA,ECABC,EDBAB,ABCDE
42,AACEE,BBBCE,BBBCE,EBCDA,CACEB,EDCBA,EDDBA,DEDBA,EDCBA,ECAAD,ABCDE,ABCDE,ABCDE,AACEE,ACCCE,ABDED,ABDDD,EDDCA,DECAA,EDCBA,EDCBA,EDCBA,ABCDE,AABDE,ABCDE,ABDDE,EDDCA,BBBCE,DECAB,EDDCA,ECCBA,EDCAA
43,ABDED,EDCAA,EDDBA,EDBBA,EDBAC,ECBCA,BABCE,AACEE,ABCEE,ABCDE,ABCDE,DDDCA,ABCDE,EECAA,EDCBA,ABCDE,BEDBA,EDCBA,ABDDE,EDCBA,EDCBA,ACDDE,EDCBA,EDCBA,ABCDE,DABEC,BCBBE,ABCDE,ABCDE,ABCDE,BABDE,DEDBA
44,BBBCE,ECAAD,EDCBA,ABCDE,ACDCE,DEDBA,AABDE,CEDBA,AACDE,ADEDA,EDCBA,DEDBA,AABDE,EDCBA,EDCBA,ABCDE,ABCDE,ABCDE,EDCBA,EDCBA,BABDE,BEDBA,ABCDE,ABCDE,DEDBA,CABDE,ABDED,EDCAA,EDCBA,ABCDE,DEDBA,ECBBB
45,ABDED,ABDED,EDCBA,ABCDE,EDCBA,EDCBA,ABCDE,DEDBA,EDCBA,EDBBA,ABCDE,ABCDE,ACCCE,ABCDE,ABCDE,EECBA,EDCBA,DBABE,EDBBA,ABCDE,CEDCA,EDCBA,ABCDE,ABCDE,EDCBA,EBABD,ABCDE,DDDCA,EDBAB,ABCDE,DEDBA,ACDEC
46,EBACD,ABDED,EDBAC,ABCDE,CEDBA,EDBAB,EECBA,ABCDE,EDCBA,DBACE,EDCBA,EBABD,ABCDE,ABCDE,ABCDE,ABCDE,EDCBA,EDCBA,EDCBA,EDCBA,EBABE,ABDED,BABDE,BEDBA,BABDE,EDBAC,BABDE,EDCBA,EDCBA,ABCDE,EDBAB,EBACD
47,CABCE,EECBA,ABCDE,AACDE,EDCBA,BBBDE,DAACE,CEDCA,EDCBA,EDCBA,EDBBA,ABCDE,ABCDE,ABCDE,ABCDE,DEDBA,EDCBA,EDCBA,EDCBA,EDCBA,ABCDE,ABCDE,ABDDE,EDCBA,DCDDA,EDCBA,ABBDE,ACDED,ECCCA,ECBBA,EBCDB,ACDDE
48,ADEDB,ECCCA,EDCBA,EDCBA,EDCBA,ACDDD,AACDE,ABDED,ABDED,EDCBA,EDCBA,ADDBC,ECCCA,EDCBA,ABCDE,ABBDE,EDCBA,ADEDA,EDBAA,EDCBA,EDCAA,ECBAC,ABCDE,ABCDE,ABDDE,EECBA,ABCDE,BABDE,BBBCE,EBBBB,ABCDE,EEDBA
49,ADDCC,EDCBA,DBACE,CEDCA,ECBBA,ABBDE,BACEC,BDEDA,EDBAC,ACEEB,EDCBA,ACDDC,EDCBA,EDCBA,EDBAC,ABCDE,ABDED,EDCBA,EDCBA,EDCBA,EDCBA,ECBAB,ABCDE,BCDEA,AACDE,ACEEB,ACEDC,EDBAC,ADCBD,ABCDE,AACED,ABDEB
50,BCBBE,ABCDE,AACED,DBACE,EDCBA,AACEE,EDCBA,EECAA,EDCBA,EDCBA,CBBCE,ABCDE,ABCDE,ABCDE,AACDE,ABCDE,EDCBA,EDCAA,EECBA,EDCBA,EDCBA,EDCCA,ABCDE,BABDE,BABDE,ADEDB,ECCCA,BABDE,CABDE,EECAB,DECAB,EDCAA
51,ABCDE,BECBC,EDCBA,ABCDE,EDCBA,BABDE,ADEDA,CDDDA,EDCBA,ABCDE,EDCBA,ADEDA,EDBAA,EECBA,EBABD,ABCDE,EDCBA,EDBAA,ABCDE,ABCDE,DDDCA,EDCBA,EDBBA,EDCBA,BABDE,ABCDE,EDCBA,DABCE,ABCDE,ECBAC,DECAB,EDBBA
52,EDBAC,DEDBA,BABDE,CEDCA,EDBBA,ABCDE,EDCBA,DBABE,ABDED,EDCBA,ADCCE,ABDEC,EDCBA,AEDBD,BDEDA,ECBAC,ABCDE,CBBBE,BEECA,ABDEE,EDCBA,ABCDE,EDCBA,EDBAB,ABDEC,EDCBA,ABCDE,EDCBA,DABCE,ABCEE,ABDEC,EBABC
53,ABCDE,AACDE,DEDBA,EDBAC,CBBCE,ACCDE,DDBAD,EDCBA,EDCBA,ECBBB,ABCDE,ABCDE,ABDDE,ABBDE,EDCBA,ABCDE,EDCBA,ABCDE,AABDE,EDDBA,EDCBA,EDCBA,DBABE,ABCDE,ABCDE,AACDE,DDDCA,DDDCA,EBBDB,BCDEA,ECABD,EDCBA
54,EDCBA,EDCAB,ACCCE,ABDED,ACDDC,ADDDC,ADECB,EDCAA,DABDD,BEDBC,CACEC,BACED,ABBDE,AABDE,CDBAD,ABDEC,BDECA,ADDCC,CCBBE,EDDCA,EECAA,EDCBA,EDBAB,ECBBA,CEDCA,DECAB,EBBCD,ACCCE,EDBAC,ECBBB,AABDE,ABCDE
55,ABCDE,ADDBD,EDBAA,DDDCA,DBACE,EDDBA,BABDE,DDDCA,EDCBA,BABDE,ABCDE,EECBA,EDCBA,EDCBA,EDBAB,ABCDE,DEDBA,EDBAC,ABCDE,ABCDE,ABDDE,EDCBA,EBBBC,ABCDE,DEDBA,EDBAB,ABCDE,AACDE,EDCAA,ABCDE,DDBAD,EDCBA
56,ADDCC,ADECB,EECAB,CACED,CBBBE,EDBBB,ABDED,EDBAB,ABDDE,EECBA,BACED,ABCDE,EDCCA,EDBAB,ABCDE,ABCDE,EDCBA,EDCBA,CAACE,ABDEE,DCAAE,ABDDE,ABCDE,DEDBA,DDDDA,EECAA,ABDEB,CBBBE,CABDE,EBACD,EDCBA,ABCEE
57,ABCDE,ABCDE,CDDDA,BABDE,EDBAB,EDCBA,CBBCE,EDCBA,EDCBA,EAACD,EDBAB,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,EDCBA,EDCBA,DEBAC,BABDE,EDBAB,ABCDE,ABCDE,CABDE,EDBBA,DEDBA,EDBAB,BCBBE,ABCDE,BDEDA,EBABD,ADDDC
58,ADCBE,ABCDE,EDCBA,ECAAD,ABCDE,DEDBA,EDCBA,ACDEC,EDCBA,ABCDE,EDCBA,ABCDE,ACCCE,AABDE,ABCDE,ABCDE,EDBAB,EDCBA,EDCBA,EDDBA,EDBAB,EDCBA,ABCDE,ABCDE,ABDED,EDCBA,EDBAB,ABCDE,ABCDE,EDCBA,ABCDE,ECBBB
59,ABCDE,EECBA,ABCDE,ABCDE,ABDED,DAACE,EECAA,EDCBA,EDCBA,EDCBA,EDCBA,EDBAA,DCABE,ABCDE,ABCDE,ABCDE,EDCBA,EDCBA,EDCBA,CBACE,ABCDE,ABCDE,ABCDE,EDCBA,EECBA,BDEDA,EDBAB,DBACE,ACCCE,ACCBE,DDDCA,EDCBA
60,ABBDE,DEDBA,ACCDE,EDCBA,AEDCC,AACEE,EDDBA,EDCBA,EDBBA,EDBBA,ABBDE,ABCDE,ABCDE,ABCDE,ABCDE,ABBDE,EDBBA,EDCBA,EDCBA,EDCBA,EDCAA,EDBBA,ABCDE,ABCDE,ABCDE,ADEDA,ECBBB,AACDE,EECAA,EECAB,DABDD,ECBBB
61,ABDED,EDCBA,ABCDE,EDCBA,EDBBA,ABCDE,BEDCA,EDCBA,EDBAA,BABDE,ABCDE,BEECA,EDCBA,EDCBA,ABCDE,BABDE,ABCDE,EDBAB,EDCBA,EDCBA,ECAAD,ABCDE,ACDEC,EDCBA,EBABD,ABCDE,ABCDE,EDCBA,ABCDE,ABDEE,EDBBA,ADEDB
62,EDCBA,EDBAB,ABCDE,DDBAC,ABDDE,BABDE,ABCDE,EECBA,ADDCC,EDCBA,EDCBA,EDCBA,AACDE,ABCDE,ABCDE,ABCDE,CEDBA,EDCBA,EDCBA,EDCBA,EDCBA,ABCDE,ABCDE,ABDDE,ACEDA,ACDDD,EDCBA,BDEDA,ECCBA,ECCCA,BBBCE,AACDE
63,ABCDE,EDDCA,EBABD,DACEC,ADCBE,EECAA,ACDDC,DECAB,DDDCA,ECBBA,EDCBA,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,EDCBA,EDCBA,EDCBA,EDCBA,DEDBA,BACEE,AACEE,ABCDE,BABEE,CDDDA,EBABD,EBBBB,DDDBA,CEDAB,CAACE,DEDBA
64,EDCBA,EDCBA,AADED,EECAB,ADCBD,ADDDD,EDCBA,AACED,ACDDD,AACEE,ABCDE,AACED,EDBAC,AACEE,EDCBA,EDCBA,ABDDE,EDCBA,ABCDE,EDCBA,EDCBA,EDCBA,ACCBE,AACEE,EBBCC,ACCCE,ACEEA,CABDE,ABCDE,EDBAB,BABDE,ACDDE
65,ABCDE,BACED,AACED,EDBBA,DACEC,ADDCC,ACCCE,EDCBA,EDCBA,EEDBA,ECBBB,CDDCA,ABCDE,ABCDE,ABCDE,ABCDE,ACDDD,EDCBA,EDCBA,EDCBA,EDBAB,EDCBA,DBACE,ABCDE,AACDE,ACDDD,EDCBA,ABCDE,BABDE,EECBA,BECBC,EDDBA
66,ABBDE,ABDDE,ACCCE,ABCDE,BEDBA,BABDE,ECDCA,CEDBA,EDBAB,EDCAA,EDCBA,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,EDCBA,EDCBA,EDCBA,EDCBA,EDCBA,ABCDE,ACDEC,ABDDD,ABDEC,ADEDB,CABDE,EBABD,ECDDA,DEDBA,EECAA,EDBAB
67,ABCEE,ABCDE,EECAA,DECAB,EDBAB,ADECB,BEDCA,BACED,CECAD,ECBAC,DBABE,DCAAE,DCBAE,EDBAB,ECBAC,BBBCE,ABCDE,ABCDE,ADEDB,EDCBA,EECBA,EDCBA,EDCBA,EECAA,ECBBC,ECCCA,ACEEB,BCBBE,ABDDD,CECAB,DCDDA,EDCAA
68,BDEDA,EDCBA,BDEDA,DBDDA,EDDBA,ABCDE,EDCBA,CABDE,ABCDE,ACDDD,ABCDE,ABCDE,CCBBE,EECAA,ABDED,EDCBA,BABDE,ABDED,ACDDC,EBBCB,ADEDA,ACDEC,EDBBA,BBBBE,EDBAB,EDDCA,CEDCA,CECAD,ADCBE,DEDAA,ABBCE,ABDDE
69,ABCDE,ADEDB,CBDEB,EDBAA,EDBAD,EDCBA,BEDCA,ECAAC,EDCBA,ABBCE,EDBAC,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,EDCBA,EDCBA,DCDDA,EDCBA,EDCBA,EDCBA,ECBBB,BABDE,ACDDD,ABDED,ABBCE,ABDED,ABCDE,ABDEE,DEDBA,EDCBA
70,EDCBA,DBABE,EDCBA,ABCDE,AABDE,EDCBA,ABDED,EDBAA,ABCDE,EDCBA,EDCBA,BABDE,EDCBA,ECBAB,ABCDE,ABCDE,ABCDE,EDCBA,EDCBA,ECAAD,ABDED,ABCDE,BABDE,CEECA,ECABD,ADEDB,ABCDE,EDCBA,EDCBA,ABCDE,ECBAD,ABCDE
71,ABDDD,EDCAA,CEDCA,EDBAB,AACED,DEDBA,DABCE,BABEE,ABDDE,BBBDE,ABCDE,ADCBE,EDCBA,EDBAA,EDCBA,ECBBA,ABCDE,ADDDC,CABDE,ABCEE,CDDDA,EDCBA,ECCCA,EECAA,DDDDA,BBBBE,DCABE,ABDED,ABDDE,BBBCE,ABCDE,EDDBA
72,EDCBA,EDCAA,ABCDE,EECBA,CABDD,AEECA,BABEE,EECBA,CACED,ADCBE,ABCDE,ABCDE,ABCCE,BCBBE,ADEDA,EDCBA,ABDED,ABCDE,ABBCE,ECBCA,DECAA,EDCBA,EECAA,ECBBB,CEDBA,BBBCE,BADEC,ACCCE,ABDED,DEDBA,AACDE,ACDDE
73,ABCDE,EDCAA,DCBAE,DDBAD,ECABD,ABDED,CDBAD,DACEC,EDDBA,ECBBC,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ACDEB,EDCBA,EDCBA,EDCBA,EDBAB,EDCBA,CABDE,ABCDE,ABCDE,ABCDE,DAACE,ECABD,EBCCA,CEDBA,BCEEA,DCDDA,EECAA
