,0,1,2,3,4,5,6,7
46,AABCBBD,CDCBCBA,DDCBCAA,AABCCDD,CDDCBAA,CCAABDC,ADBACCD,DDDBAAB
47,BBBABDD,DBAACCD,DDCCBAA,AABCCDD,DDCBBAA,AAABCDD,DDCCBAA,BCDCCBA
48,DDCCBAA,CAABBDD,CCDDBAA,DCBBAAD,CDDBBBA,DDCBAAA,AABCDDC,AABCDDC
49,DDCBAAB,BAABCDD,CBBDDBA,DDCBBAA,AACDDCB,DDCBAAA,AAABDDD,BBABBCD
50,AABCCDD,CBACDCA,DDCBAAA,AABCDDD,CDDCBAA,DDCBAAA,AABCDDD,BBCBBDA
51,ABCCDAC,DBAACCC,BAABDDD,DDDCBAA,BDDCAAC,CCDDCAA,CBAABCD,CAABDDC
52,BBDBACD,CABDDBA,ADDCAAB,DDBAABB,AAACCDD,ACCAADD,DCCDCAA,CDCAABD
53,ABDDDCB,AABCDDC,DDBAABC,AACCDDC,ABDBBCD,DDDCBAA,AABCDDD,DBABBCD
54,DCBAABD,ABBCCCD,ACCBBBD,AABCCDD,ADDCCBB,DDCCBAA,DDCBBBA,CCCDCAA
55,ACDDBAB,CACCACD,CBAABDD,DDCBBAA,ACDCABD,ABDDDBA,CCDDCAA,AABCBDD
56,DDDCBAA,DBCAADC,CDDCAAA,BCCBABD,CDDCBAA,ABBBCDD,DDCBBBA,CAABCDD
57,AABDDCC,DCCBAAA,DDBABBB,AABCCDD,DDDBAAA,AABBBDD,DDDCAAA,AAACDCC
58,BBBDDCA,ACDDDBB,DCAACBB,AABCCDD,CDDCBAA,DDCCBAA,ABCDDBA,AABDDDB
59,BCBAACD,ACCCDCA,DDCCBAA,AAABCDD,CDDCBAA,AAABCDD,DDCBAAA,AAABCDD
60,ABBACDD,ABACDDC,DDCBAAB,AABCDDD,CDDCBAA,DDCBAAA,AABCDDD,CCDDBBA
61,BBAACDD,BAACDDC,CBAABDD,DDCBAAA,AABCDDD,DBAABCD,DDBAABC,CCAABDD
62,DDBAABB,ABBBCDD,CDDDCAA,BAABCDD,BCDDBAA,DCAAACD,ABCCCCC,DDDCBAA
63,BDDCBBA,BBCBBDC,DDCBBAA,AABCCDD,DDDBBAA,DCBAABD,AABCDDC,CDACBCA
64,DDBABBA,CCCDBAC,AAABCDD,ABBCDDB,DACDCAB,DDCCBAA,AACBBDD,CBCBCDA
65,ABBCDDB,BAABBCD,DDCCBAA,AABCCDD,AADDCCC,DDCBBAA,AABCCDD,BABBCDC
66,AABCDDD,DCBCCAA,DDCCBAA,AABCCDD,DDDBBAA,DDCAABC,AABCCDD,CCBCCCA
67,AABDDDC,DACDCBA,DDCBAAB,ACBDCCB,AAABCDD,DCCCCAA,DDCBBAA,AAABCDD
68,DDCBAAA,DCABBBC,AABBCDD,BCCDABC,DAABCCD,CCDDBBA,DCDCBAA,DBBBDCA
69,ABDDDCA,DBDCCCA,DDBBBAA,AABCCDD,BDDCBAA,DDDCBAA,AABCCDD,AABBCDD
70,DCCCBAB,ABDCCDB,ACDDCBA,DDCAAAB,AACDDCB,AABCCDD,CDCAACB,DDDCAAA
71,DDDCBAA,DDDCAAB,AABCCDD,DDCCBAA,AAABDDD,CCDDCAA,DCBBAAB,AABBCDD
72,DDBABCB,ABCCBDC,BABABDD,AABCCDD,DBAABCD,DDDCBAA,DDCBAAB,AABCDDC
73,BDDCBBA,DABDCBA,DDBAABC,AABCDDD,DDCBAAA,DDCBAAB,AABCDDD,BCBCCAB
74,DDCBBAB,BAADDCC,DDDCBAA,DCAAACD,AACDDCB,DCBAABD,AACDDCB,DDBBABC
75,ABDDDCA,DDCBAAA,AABBCDD,DDDCBAA,BBAABDD,CDDCCAA,DCAAABD,AABCCDD
76,ACDDBCA,ABDDCBA,ABBBBDD,DDCBAAB,DDBAABD,BCDDBAA,BCDCCDA,ABCCDDC
77,AABCDDC,DDCCBAA,DCAABBC,AABCDDD,CDDBBAA,DDCBAAB,DDAACCC,AABCDCD
78,BBAACDD,DDCCBAA,AAABCDD,AABCDDC,DDBAABB,BCCBDCA,DCCAACB,DDBBBBA
79,DDCBBAA,CBAACBD,CCDDCAA,DDCBAAA,AACDDCB,DDCBAAA,AABDDCC,AABBCDD
80,AABBBDD,CAABDDC,DBAADDC,AABCCCD,AACDDCB,DDCBAAB,CBAABDD,CBABDDB
81,DDDCBAA,ABBBCCD,DCDDBAA,DDCCBAA,ABDDCBA,DDDCAAA,AAACDDD,BABCBDD
82,CCDDCBA,DBDDBAA,DBCAABD,AABBCDD,DDCBAAB,AACCCCD,DBBDCAA,BBAACDD
83,DDCBAAA,AABCCDD,CCDDBAA,CAABCDD,BDDCBAA,BAAACDD,AABDDDB,DDDBBAA
84,AABBBDD,CDCCCAA,DDCBAAC,DBAABCD,AACDDCB,DCBAACD,ACBADCD,DDDCCAA
85,DDBAABB,AABCCDD,AABDDDC,DDCBBBA,DBAABCD,AABCDDD,DDCCBAA,DCCCAAA
86,DCBBDBA,AAABCDD,DCDCBAA,DDDCAAA,ABDDDCB,DDCCBAA,AABBDDD,AABDCDA
87,ABCDDCB,DDCCBAA,AAABCDD,DDDCBAA,BBAABDD,CCDDCAA,DDBAABB,AABCCDD
88,DDBBABA,ABBBCCD,ACDDBBB,AABBCDD,DBAABBC,DDCCCBA,DDCBBAA,DDABACC
89,CDDCCAA,BACBBCD,DDDCAAA,AABCCDD,DDCBBAA,DCBAACD,AACDDDB,CCCDDBA
90,ABBDDBC,DDCBAAB,DDCAABD,BCAACDD,DDCBAAA,CDDCAAB,DDBAACD,CCAABCD
91,AABCDDD,DBBCBBB,DDDBBAA,AABCCDD,BDDCBAA,DDBAABC,AABBDDD,DCBCCBA
92,AACCDDD,DDCBBAA,DDCBBAA,AABDDCC,AABCDDD,DDCCBAA,DDBBBAA,AAACCCD
93,DDCBABA,BABCBCD,DDDCBAA,AABCCDD,DDCBBAA,BAABBDD,DCCCBAB,AABBCDD
94,ABCDDCA,DDCBBAA,AAABCDD,BCDDCAA,CDDBAAC,DDDCBAA,AAACCDD,AAACDDD
95,ACDDCBA,BAABCDD,DDBAABC,ABCDDCB,AACCCDD,DDDCBAA,AABCDDC,AAABCDD
96,DDCBBAA,DBDCAAC,AAABCDD,ABCDCBD,DDBAABC,DDCCBAA,DDCCAAA,AABBCCD
97,ABAADDD,BAACDDB,BAABDDD,DCAABBB,AABCDDD,DDCCBAA,DDCAABC,DDAABDC
98,BAABBCD,DCBCCAA,DDCBBAA,BAABCDD,BDDDBAA,CBAACCD,BCDCAAC,CCDDBAA
99,BDDDCBA,BAAABDD,DCBAACD,AACCDDD,DDBBAAB,DDCAABD,ABDDCBA,BAABCDD
100,DDDCBAA,AABCBCD,AABCCDD,CDDDBAA,DDCBAAB,ABCDDCA,AABCDCD,AABBCDD
101,AABCDDD,DBBBCBC,DDCBAAA,AABCCDD,DDDBBAA,DDCBAAA,AABCDCD,BABCDDB
102,DDAAACC,CCCAACC,AABBCDD,AABDCBD,BAABCDD,DCCCBAA,DDCBBAA,AACDDCB
103,BABDCBC,BDBABDC,ABBCDDC,DDCBBAA,BBDDAAC,CDDBAAC,DDCAAAC,DDCAABD
104,BABCCBD,ADBBCBD,DDCDCAA,AABCCDD,DDCBBAA,BBAACDD,AADDABD,CDDCBAA
105,DDCABBB,DDDCAAA,AABBCDD,AABCDDD,DCBBABB,DDDCBAA,DBBBBDA,BDDBAAB
106,AACCDDC,DCCCCBA,BAABCDD,BDDDCBA,DDAAABD,DDDCBAA,AABCCDD,AAABCDD
107,BBBDBCA,AADDCBB,AABCDDD,BCDCDBA,DCBAAAC,AACDDCA,CAABCDD,DDCAAAC
108,ABDDCCB,DDCCBAA,AAABCDD,CDDCCAA,ABBABDD,BCDDDBA,DDCBAAB,AABBCDD
109,AABBCDD,BBCDDCA,DDCAAAC,AACCDDD,ABDCBCC,DDDCBAA,AABCCDD,DDCCBAA
110,DDBAABB,ACBCCDD,AABBCDD,CDDCBBA,DCAAACD,DCCCBAB,BCDBBBB,DDDBBAA
111,DDCAAAA,ABBCCCD,AABCBCD,ABBCBCD,BBABCDD,DDDCBAA,DCCBAAA,DCDCABB
112,AAACDDD,DCCBABC,AABCCDD,CDDDBAA,AABCDDC,DDCCBAA,CABBBDC,BBDDBBB
113,ABACBDD,DBABDDB,AACDBCD,AABBCDD,DDCBBAA,BCDDAAC,CAABCDD,BABDDCB
114,ABDDCCA,DBBAACD,CDCDCAA,DDDCBAA,ABDDCBA,DDDCBAA,ABCBBDD,AABCDDD
115,DDCAABB,AABCCDC,BAAACDD,AABCCDD,CCAACDD,DDCCBAA,DCBBBBA,DCCCCAA
116,CBAACDD,DDBBAAB,DDCBAAB,BCDDCAA,AABCCDD,AABCDDC,DCCBBAC,BDCACDA
117,BDDCCBA,DDCBAAA,AABBCDD,CCCDCAA,CDCAABD,DDDCBAA,DDCAAAB,AAABCDD
118,AAADDCB,CDDBAAC,DDDCBAA,AABCCDD,DDCBBAA,CCCAABD,CDDCAAA,BCAACDD
119,AABCDDD,BDCAABD,DDCBAAB,AABCDDD,AADCCCC,DDDCBAA,AABCDDD,AABCDDD
120,DDBBABB,BBAABCD,AABBCDD,DDCCBAA,AABCDDD,DDBBAAB,ABBBCDD,DBCBABB
121,BBBBACD,DCBBACC,DDBCCAA,AABCCDD,DDCBBAA,AACCCDD,DDBAACB,DDDCBAA
122,DDCBABA,ABBCCDD,CDDCBAA,DDBAABC,BDDDBAA,AABCCDD,DDCBBAA,DDCBAAA
123,BDDCABA,AABCDDD,DDCBAAA,AABCCDD,CDDBBAA,DDCBAAB,AABCDDC,DCCBABB
124,DDBBABA,AABCCDD,AAACCDD,ACCCDDA,DCDDCAA,DDCBAAB,CCDDBAA,DCCCBCA
125,AABCDDD,DCDABCA,BAABCDD,BCCCDCA,DDBBBAA,AABBCDD,ABACDCD,BABCCBD
126,AACDDDC,DCDBBBA,CBAABCD,AABCCDD,DDCBAAA,ABBABDD,ABBACDD,AAACDDD
127,ABCCCDD,DCCDCAA,DBAABCD,AABCDDD,DDCBAAA,DDCBAAA,AABCDDD,DCCBBBA
128,DDCAABB,ACCCCBD,AACBCDD,BAABDDD,AABCCDD,DDCCBBA,AACBDCD,DDCCCBA
129,DDDCBAA,AABCCDD,DDDBAAA,AABCCDD,DDCBBAA,BAAABDD,CDDCCAA,DBAABBD
130,AABCCDD,AABDDDB,DDCAAAC,AACCDDD,ABDCCCC,DDDCBAA,AABCDDD,DDCBBAA
131,CDDCBAA,DCBAAAD,AABCCDD,CDDDCAA,ABDCBBD,DDDCBAA,DDCBAAA,AAABCDD
132,AACDDCC,CDCCCBA,DCBAABD,AABCDDD,DDBBAAA,DCAAACD,AABCDDC,ABBBDCC
133,CACCABD,CAACDBD,BAACDCC,BCDCAAB,AACBCDC,ACDCBAD,DBABDCA,ACDBACD
134,ABCDDCB,DDCBBAA,AABBCDD,DDDCBAA,BBBABDD,CCDDCAA,DCBAABC,AABCCDD
135,CDDCBAA,DDCBAAA,AAABCDD,CCDDBAA,DDBAABD,DDCCBAA,DCBBAAC,AABBCDD
136,ABBBCDD,ABBADDD,DDCBAAA,AABCDDD,BDDCBAA,DDCBAAA,AACCDDD,AABDDDB
137,AABCDDD,DCCCBBA,DDCBBAA,AABCCDD,CDDCBAA,DCBAABD,AABCDDD,CCCCDBA
138,AABCDDD,DDCBBAA,DCBAABC,ABCCDDC,ACDBBBC,DDDCBAA,AABBCDD,AACCDDA
139,AABDCCD,CABDDBA,BAABCDD,BCAABDD,DCAABBC,DDBAABB,BCDDBAB,BCAACDC
140,CCAABDD,CDABACD,DDDCBAA,CAABCDD,ABDDCBA,DCBAACD,AACCDDC,DDDBBAA
141,CBDDCAA,CDCAACD,BAABDCD,DCBCBAC,DBACBBC,BCBBACD,DAAACDC,AAACDDD
142,DDCBBAA,DCDCAAB,AAAACDD,AABCCDD,DBAABCD,DDDCBAA,DCCCAAA,ABCDDBA
143,AABCDDD,DCCCBBA,DDCCBAA,AABCCDD,ABDDCBA,DDCBAAB,AABCDDD,CBDDCBA
144,DDBBAAA,AABDDCC,ADDBABB,ABCCCCD,AAABCDD,DDCCCAA,DDCBAAA,CCBBBDB
145,DDBAABD,ABCCDCC,DDCBAAB,AABCDDD,AAABCDD,DDCCBAA,DDBBABB,CCDCBBA
146,CDDCBAA,DDCBAAB,AABBCDD,BDDDCAA,CDBAACD,DDDCBAA,DDCBAAA,AAABCDD
147,ACCDCCA,BDDBAAD,DCBAABD,DDCBABC,DDBAABC,DDBAAAC,DDCCBAA,ABCBBDD
148,ADDCCBA,BBAACDD,BBAABDD,DCCCBAA,CCAAACD,DDCBAAA,AABCDDC,AABCDDB
149,DDCAAAB,AAACCDD,DDCBBAA,AABCCDD,DDCBBAA,DDCAAAC,AACCDDC,DDCBAAB
150,BBABBCD,DDCBBBA,BCDDCBA,DBAABCD,CDDCBAA,AABCDCD,CCDDBAA,DBCCDAA
151,ABCDDCB,DDCBBAA,AABBCDD,CDDCBAA,ABBABDD,CCDDCBA,DDBBAAB,AABBCDD
152,ABABDDA,ACDDCBA,ABCDDCB,AABBCDD,DDCBAAB,AADDCAB,DBBCDAA,ACDBABD
153,BABDCAD,DCBAACD,DCBAACD,AAACDDD,DCBAABB,AAABDDD,DBAABCD,DBABDDA
154,DDCAABA,ADCBBBB,CABBACD,AABCDDD,DDBAABB,ABDDDBA,DDCAAAC,CDDCABA
155,ABCDDCB,DDCCBAA,AAABCDD,CDDCBAA,BBAABDD,CCDDCBA,DDBAABB,AABBCDD
156,DDCBBBA,CDDDAAB,AABBCDD,ACDCCBA,CAACDDB,DDDCBAA,CBBBADD,BABBDCC
157,AABCDCD,AABCCDD,DDCBBAA,AABABDD,AACDDCB,DDCCAAA,AABCDDD,DDCABBA
158,DDBBBBA,DCDCCAA,ABABCDD,ACCDDCA,AAACDDD,DDDCBAA,DABABDC,AAACDDC
159,AACCDCA,DDCBAAA,AABBCDD,DDCCCAA,ACDDBAA,DDDCBAA,CBAAADD,AABBCDD
160,AABCDDD,BBABDDB,DDCCBAA,AABCCDD,DDCBBAA,CBAABDD,AABCDDD,CBCCCBA
161,DDCBABA,DDBCAAB,ABABCDD,ACCBCDC,DAAACDD,BBCDDBA,DDCBAAA,AAACCDD
162,BCCCADA,AACDCBC,AABBCDD,AABCDDA,DBAABCC,ABBCCDD,CACDBAC,CAABDDC
163,CCDBBAA,DCCBABB,CDDCBAA,CCBBAAD,BDDCBAA,AABBCDD,CBDCDBA,BAABCDD
164,BACDBDC,BAABDDC,AAACDDD,DABDBBB,AADDBBD,BABCDCA,CCDDBAA,ACCBCBD
165,DCAACCD,ABBCCCD,DDCAABC,BBBBCAD,AAACDDD,DDDCBBA,DDCCBAA,ABACDDC
166,DDCBBAA,AACBDDD,BBBDDBA,DDCBAAA,ABDDCBA,DDCBAAA,AABCCCD,CABABCD
167,DDCBAAA,ABBCDDC,CDDCBBA,DDBAABC,CDDCBAA,AABBCDD,DDCCBAA,DDDBAAA
168,DDCCBAA,AACDDCC,CAABDDB,DDBBBAA,DBAABDD,AABBDDC,AABCBDD,DDCAABB
169,ACDDCBA,AAABCDD,DCBAABD,ABCDDCB,BDCAACD,DDDCBAA,AABCDDD,AAABCDD
170,DDCAAAB,ABBBCDD,ABBBBDD,DDCCBAA,BAABCDD,DDCBAAB,BCDCBAA,BBACDCB
171,ABCDDCB,DDCCBAA,AABBCDD,DDDCBAA,BBAABDD,CDDCCAA,DCBAABD,AABCCDD
172,BCDCDCA,CDDBAAC,CBABDCD,CDDAABC,CDDCBAA,ACDDCAA,DCAABBD,CCAADDC
173,DDCBBAA,ABBABDD,AABBCDD,DDCCBAA,AAACDDD,DCAAABC,DDCBAAB,BCDDCAA
174,DDCBBAA,ABCDDCC,CAABDDB,DDCCBAA,ABCDDBA,ABABCDD,CABBBDD,DDBAABB
175,AACDDDC,DABCCAC,CBBBADD,ADDCCCA,AAABDDD,DDCCBAA,DCBBABC,AAACCDD
176,DDCBBBA,ACCCBBC,AAABCDD,ACCCDDB,AABDDCC,DDCCBAA,DCCBABB,DCCDBAA
177,ABCBCDD,AABCDDD,DDCBAAA,AABCCDD,DDCBAAA,DDCBAAB,AABCDDD,DCCAABB
178,DDCAAAB,ADCBCCC,DDCCCAA,BAABCDD,DCBAABD,AABCDDC,CDDDBAA,CCDDCAA
179,AACDCCB,DDCBABB,AAABCDD,BCBABDB,BBAACDD,CCCCCAA,DDCCAAA,BBACDCC
180,CDDCBAA,AAABCDD,DDCBAAA,AABCDDD,DDCBAAA,DDCBAAB,AACDDDC,DCBAACC
181,DDCBAAA,ABBCDCD,AABCDDD,BCDDBBA,AABBCDD,DDCCBBA,DDCBBAA,DCDCAAB
182,ABBCDCB,DCCBBAA,DDCAAAA,AABCCDD,DDCBAAA,ACCBACD,ABDDDCA,AAABCDD
183,ABCDDCB,DDCBBAA,AABBCDD,DDDCBAA,BBBABDD,CCDDCAA,DDBAABB,AABCCDD
184,ABCDDCB,DDCCBAA,AABBCDD,DDDCBAA,BBAABDD,CCDDCBA,DCBAABB,AABBCDD
185,ACDCDBA,DDCBBAA,AACDDCC,AABDDCA,AABDCCD,ABCDDCA,DDDCAAA,AABDDBD
186,DCAAABD,BAACDDC,AABCCDD,CCCDCAA,DCBAABD,ADDCAAB,AABBCCD,CDDDCAA
187,AACDDCC,DDCBBAA,DDBAABB,AABCCDD,CDDCBAA,AAABCDC,CDDCBAA,CBAAACD
188,CBADDCB,ABCDDCB,CCBABCD,ABCCBDD,CAABCDD,CDDCCBA,DDCBAAA,ABCCDBC
189,DDBAAAC,AABCDCD,DDDCBAA,DBAABCD,ACDDCBA,AAACCDD,DDBAAAB,DDDBBAA
190,ABCDBDA,BDDBABC,BAABDDD,CDDDAAA,BDDCBAB,CDDDCAA,BBCABDC,AABCDCD
191,AABCCDD,ACCBBDB,DDCBBAA,AAABCDD,ACDDCBA,DDCAABC,ABABDDD,DCDCCAA
192,ABDCCAC,DCCBAAC,BAABBDD,DDCCBAA,BDDBAAC,ABCDDBA,CAABBCD,BCBABDD
193,CDDCBBA,AABBCDD,DCBAABD,AABCCDD,DDCBAAA,CBAABCD,ABCDDCB,DDBBBAA
194,ABCCDCD,DDDCBAA,CCBAACD,AABDDDC,CDBAADD,DDDBAAA,DDBAACD,BBABDDB
195,AABBCDD,AABCDDC,DDCBAAB,AABCDDD,ACDCBBB,DDDCBAA,AABCDDD,DCCCCBA
196,ABCCCCC,AABDDDB,DDCBAAA,AACCDDC,AABCCDD,DDDCBAA,AABBCDD,DDCBAAB
197,ABCDBAD,DCBAACC,AAABDDD,BAACDDC,DDBBBAB,AABDDDB,CBAABDD,DCAABCD
198,BAADDBA,DDBAACC,BABDDCA,ABDDDBA,ABACCCD,CAACDCA,CDDCAAB,DCAABDC
199,CDDCBAA,AABCDDD,DDBAAAC,AABCDDD,DDBBAAA,DDCBAAB,ABCDDCC,DBABBCD
200,AABBCDD,CADDCBA,BBABDDD,AABCCDD,DDCBBAA,AABCDDA,AABCDDC,ABDDCAB
201,AABDDBC,DDCBAAB,CAACDCC,AABCDDD,DDBBBAA,BDDCAAC,CDDCAAB,BDDDAAA
202,DDCAAAB,ABBCCDD,DDCCBBA,DDBAABC,AACDDCB,CBAABDD,ABCDDBB,DDDBAAA
203,ABCDDCB,DDCBBAA,AABBCDD,DDDCBAA,ABBABDD,CCDDCAA,DCBAABC,AABCCDD
204,DDBABAA,BBBAACD,AABCCDD,DDCCBAA,AABCDDC,DCAABCD,ABCDCBC,DCBBBAD
205,DCBABCB,ABDDBCB,AAABCDD,ACCDDDA,AAACDDC,DDCCBAA,CBBCCCA,CDCCCAA
206,ACDDCAA,DDCABCB,DDCBAAB,AABCCDD,DDCBAAA,DDBAAAC,AABCDDC,DCACBCC
207,CBDCAAC,DCAAACC,AABDDCB,BCDAABC,ACDBACC,ABDDBAB,DDBAACD,BABDDBA
208,AACCDDB,DAACBDB,DDCBAAA,ABBBBDD,ACDDCBA,DDCCBAA,AABCCDD,AABBCDD
209,CDDCCBA,DDCCBAA,AAABCDD,ABBCDDA,DCAAABC,AABDDDD,DDCBAAA,AABBCDD
210,DDBABBB,AACCBCD,AABCCDD,ACDDCAA,BABDDCA,DDDCBAA,ADDCBBA,CDDBCAA
211,DDCCBAA,DDBBBAB,DCBBAAB,AABBCDD,DDCBAAA,AABBCDD,BBDDCAA,AAABCDD
212,AACDDCC,DCAAABD,ABDDCAA,DDCCBAA,AABCDDC,DDBAABB,AABBCDD,AABDDBC
213,CDDCCBA,DCCBABA,AABBBDD,CDDDCAA,ACDCBAB,DDCCBAA,BABCBBD,AAABCDD
214,CDDCBAA,CBBBACD,AABBCDD,CCCCCBA,AADDCCC,DDDCBAA,DDCAABB,AAABCDD
215,ABCBCDD,AABCDDD,DDCBAAA,AABCDDD,ACDCBBB,DDDCBAA,AABCDDD,BABBBDD
216,AABCDDC,BCDDCBA,DBAABCD,AACCDCC,DDBAAAB,DDDCAAA,AABCCDD,DCBCBAB
217,DDCBAAA,AACCDDC,AACDCDB,AAACDDB,BAAACDD,ABDDCBB,DDCBBAA,DDCCBAA
218,BAABBDD,CBBBACD,DDCDBAA,AABCCDD,DDCBBAA,AAABDCD,ADDAADC,CDDCBAA
219,CDDCBAA,DDCCAAA,AABCDDD,ABCDDBA,CDCAACD,BBCDDBA,DDCCBAA,AAABCDD
220,BCBAACD,CBAACDD,DDCCBAA,AABCCDD,DDCBBAA,BAABCDD,CBACCBC,ABBDDCA
221,CBAABDD,CDCBBAB,BDDCCAA,DDCBBAA,AAABCDD,DDDCBAA,AABCDCD,BCDDAAB
222,AABBDDD,DDCCBAA,DDBAABD,AACCDDD,BDDBABB,DDDCBAA,AABCCDD,DDDBBBA
223,DDCBAAB,AABBCDD,DDDCBAA,DBAABCD,CDDCBAA,AABCDDD,DCBBBAA,DDCBAAA
224,AABCDDD,DDCCBAA,DCBAABD,AABCDDD,DDBBBAA,CCAABCD,ABBCDCC,CCCCBCA
225,DDBBCBA,AAADCCC,ABABCDD,BDBCDCA,AAACDDC,DDCCBAA,BAABBCD,BCDCCAA
