,0,1,2,3,4,5,6,7,8,9
56,BBBCE,EDAAD,EEBBA,AEDCB,BADDD,EACAD,DDDAA,ABCDE,DDDDA,ABDDE
57,DDDBA,BBECB,CABED,BBADE,EEDAA,EDCAA,ABDDE,ADCDD,EEBAB,ABDDE
58,DDDCA,EDBBB,ABDEE,EEDAA,ACDDD,BABDE,BBBDE,ABDED,ABBDE,ABCDE
59,BBBCE,EDABD,DDDAA,ACDDD,ABBDE,DCDBB,CCCBE,AACEE,ABBDE,EDBBB
60,DDDBA,AADDE,ECBBB,BACEE,ABCDE,ABCDE,DDCAC,ECBBB,DDDAA,ABDDE
61,DDDBA,AADDE,ECBBB,BACEE,ABCDE,ABDEE,DDDCA,EBBBC,EEABB,ABDDE
62,DDDCA,EEBAB,ABDEE,DDDCA,EDCBA,EDBBA,ABCDE,ABBDE,ABBDE,AADDD
63,DDDBA,AADDE,ECBBB,BABEE,EDBBB,BCECA,DCBBD,AACDE,DDDDA,ABDDE
64,DDDBA,AADDD,ECBBB,BBADE,EDBBB,CEEBA,CBCDC,ABCDE,ABBDE,DEDAA
65,DDDBA,ADDCD,EABCC,AADDD,EDBBB,ECBBB,EEBAB,ABCDE,DDDDA,ABDDE
66,DDDCA,EDBAB,ABDEE,EDDAA,EDCBA,BABDE,EECAB,ABBDE,ABBDE,AADEE
67,DDDBA,BBAEE,DDEAA,CBBBE,CDCCB,EDDAB,ADCBE,AACDE,ABBDE,DEDAA
68,DDDCA,EDDAA,AADEE,DDCDA,BECCB,ADEBD,EDBBC,BBDCC,ABBDE,ABDDD
69,DDDBA,AADDE,EEABB,BBADE,ECBBB,EDBBA,BBDCE,ABCDE,ABBDE,EEBBB
70,DDDCA,EDDAA,AADEE,DCCEA,ABDCE,ACEBD,CBEBB,ADECB,AACDE,BBBCE
71,DDDCA,EEBAA,ABDDD,DDDAA,DDCBC,ACCDD,CDBBD,ABCED,AABEE,ABCDE
72,DDDBA,AEDBB,BACED,AADDE,EDCBA,EDCBA,BACDE,ACCDD,EEDAA,ABDDE
73,DDDBA,AADDE,EEABB,BBADE,ABCDE,ABCEE,ABCDE,CDDDA,BABDE,EECAA
74,BBBCE,EDAAD,EECAA,ADDDC,ABBDE,EABBE,DBBBD,ABCEE,AABDE,EBBCC
75,DDDBA,AADDE,EEABB,CBBBE,ECBBC,DDCCA,DACBD,ABCDE,ABBDE,EEBAB
76,DDDBA,AADDE,EACCC,AEDCC,EDBBB,BEDCA,CBCDB,AACDE,EEBAB,ABDDE
77,DDDBA,AADDE,EEABB,BACEE,ABBDE,ABCDE,ADCBD,EEBAA,DDDDA,ABDDE
78,DDDCA,CCDDB,ABCEE,CCBBE,ACCED,ABDDD,BBECC,ABCDE,ABBDE,ABDDD
79,DDDBA,AAEDC,DDACC,BABEE,CEDCA,EDCBA,BABDE,AADEE,CCDDA,ABDDE
80,BBBCE,ECABD,DDEBA,ABDDD,ABBDE,EBBBC,BCBCE,AACEE,ABBDE,EEBBB
81,BBBDE,DDCCA,AADEE,EECAA,ECACB,DDCAB,BBBCE,EECAA,AABDE,ABDDE
82,BBBDE,DDCCA,AACEE,EECAA,BBBDE,DDCBB,EACBD,DDDAA,AABDE,ABDDE
83,DDDBA,ACDDD,AADDD,DECAB,EDBBB,ECBCB,EDDAB,DDDCA,AABDE,ABDDE
84,BBBCE,ECABD,DDDAA,ACDDD,BDECB,BEDBB,CBCDC,ABCEE,ABBDE,ECBBB
85,BBBCE,ECABD,DDEBA,ABDDD,ABCDE,BCBCE,EDBAB,ABCEE,ABBDE,ABDDE
86,BBBCE,DDBBD,EEBBB,AEDCB,BDECB,EBDBB,CCBBE,AACEE,CCCDB,ABDDE
87,DDDBA,BBECB,CABDD,BABDE,EECBA,EDBBA,ECBAD,AACEE,DDDDA,ABDDE
88,DDDBA,BBAED,BDEBB,CBBBE,ADDCC,EDCAA,CBADE,ABCDE,BBBDE,EEBBB
89,BBBCE,EDBAD,EECAA,ADDDC,AADDE,ADDDC,DBDCA,AACEE,CCCDB,ABDDE
90,DDDCA,EDCBA,ABBDE,EECAA,EDCAC,BDDBD,DCBBC,EDBBB,AABDE,ABDDE
91,DDDBA,BBCEC,BEBCC,BBBBE,ADEDB,EDBBA,ECCAB,AABEE,BABDE,EBBBB
92,BBBCE,EDABD,DDDAA,ACEDD,BBBDE,DACCD,CCCBD,ABCEE,ABBDE,EEBBB
93,BBBDE,EDABD,CABDE,EECAA,CACCE,DCCAC,CBCBE,DDDCA,AABDE,ABDDE
94,DDDBA,ACDDD,EABCC,AADDD,EDBBB,CECAC,EDCAB,AACDE,DDDAA,ABDDE
95,DDDBA,BABEE,EEBAA,CBBBE,ABCDE,ABCDE,ABBEE,DDDCA,ABBDE,EBBBB
96,BBBCE,DDBBD,EEBBB,AEDCB,BBCCE,ACDDD,BCBBE,ABCEE,ABBDE,EBBBB
97,DDDCA,ECBBB,ABDEE,EEBBA,CBDDC,ECBBB,ACDBD,ABDDE,AADEE,ABCDE
98,DDDBA,AADDE,EEABB,BABEE,ABCDE,ABDDE,ACDCD,EEBAA,DDDDA,ABDDE
99,DDDBA,ADCCD,CACDD,AADDD,ECBBB,ADDCC,DCBAD,AACDE,DDDDA,ABDDE
100,BBBCE,ECABD,DDEAA,ABDDD,AACEE,EBDCB,DDCAC,AACEE,ABBDE,EDBBB
101,DDDCA,ECBAC,BCDEA,EDCCA,ABCDD,BBCEC,CCBCD,AADDE,ABCDE,ABCDE
102,DDDCA,ECBAB,ABDED,EDCBA,BCDDB,EDBAB,DDDCA,AADEE,ABCDE,ABCDE
103,DDDBA,EDDCA,ABBDE,EECAA,EDCAA,EDCBA,DDDDA,ABCED,AABDE,ABDDE
104,DDDCA,CBACE,BCCEA,EDCBA,ACDCC,CADEC,CDBBD,AADDD,ABBDE,ABCDE
105,DDDCA,EEBAA,ABDEE,DDDCA,ABDDE,DDDCA,DDDAB,ABCCE,ABCDE,ABBEE
106,DDDCA,ECBBB,ABDEE,EEBBA,CCECA,EDDAA,ABCDE,ACDDD,AACEE,ABCDE
107,DDDCA,AADDE,EEABB,BABEE,EDBBB,DDDBB,EBCBC,ABCDE,AABDE,ABDDE
108,DDDCA,EDDAA,ABDEE,CCCEB,DCDBB,ABDDD,ABCDE,BBADE,AABDE,ACDDD
109,DDDCA,EDCAA,ABCEE,EDCBA,EDBBA,EABCC,ECBBB,ABBDE,ABCDE,AACEE
110,DDDBA,AADDE,ECBBB,AADEE,ABCDE,ABCDE,CDABE,ECABB,DDDBA,ABDDE
111,DDDBA,BBADE,DDEAA,CBBBE,ABCDE,ABCDE,ABCDE,ABCEE,ECAAD,ABDDE
112,DDDCA,ECBBB,ABDEE,EEBBA,BBEBD,ECCBA,CCDBC,ABDED,BBBDE,AEDCA
113,DDDBA,AADDE,ECBBB,AADDD,EDBBB,EDCBA,EDBAC,AACDE,EEDAA,ABDDE
114,DDDBA,BBADE,DDEAA,CBBBE,DDBBB,DEDAA,BDCBC,ABCDE,ABBDE,EBBBC
115,DDDCA,ECBAC,BBCCE,EDCBA,ABDCE,BCDDB,CDDCB,AABEE,EDBBA,EECBA
116,DDDBA,BABEE,EEBBB,CBBBE,CCBCC,ECCBA,EEBAB,ABCDE,ABBDE,EDBBB
117,AADED,ECABC,AABDE,EECAA,ABBCE,DEBAB,BDBAE,ABCEE,EEABB,ABDDE
118,BBBCE,EDAAD,EEBBB,AEDBB,ABCED,AACED,BCBDD,AACEE,DDDDA,ABDDE
119,DDDBA,BACED,BDDBB,CBBBE,ADDDC,EDCBA,DDDCA,AABEE,ABBDE,EBBBB
120,DDDBA,BAEDC,CDADD,BBBCE,BEDBA,EDBBB,ECCAB,AABDE,ABBDE,ABCDE
121,DDDBA,BABEE,EEBBB,BBBCE,EDBBB,CDDDA,DCBAD,ABCDE,ABBDE,EBBBB
122,CCCBD,DCACD,BBDDB,EDCBA,ABDDE,ADCCD,ABCDD,ABDDD,ABBDE,ABDDE
123,DDDBA,BABEE,DECAA,CBBBE,ABCDE,ABCDE,ABCDE,DDDDA,AABDE,EBBBB
124,DDDCA,EBBBB,ABDEE,EDBBA,ECDCA,ECDBA,BBBCE,ABDDD,BBBEE,ABCDE
125,DDDBA,BBAEE,DDEAA,BBBBE,ABCDE,ABCDE,ABCDE,BCDEA,CABDE,DEDAA
126,DDDBA,ABDDD,EBBBB,AADDD,ABCDE,ABBDE,DCECA,EBBBC,EECAB,ABDDE
127,DDDBA,AADDE,EEABB,BBBCE,ABCDE,ABCEE,ABCDE,DDDBA,ABBDE,EDBBB
128,DDDBA,BABEE,EEBBB,CBBBE,EDBBB,EDBBA,CBBCE,ABCDE,ABBDE,EBBBC
129,DDDBA,DDDCA,ABBDE,EECAA,DABCE,BABDE,CABBE,EEBBB,AABDE,ABDDE
130,DDDCA,EEAAB,ABDEE,EEDAA,DCDBB,EBBBC,DCDAC,ABDED,BBBEE,ABCDE
131,DDDCA,ECBAC,BBDEB,EDCCA,ACCDE,ECCBA,BBCCE,AACEE,ABBDE,ABCDE
132,DDDCA,DECBB,ABDEE,CCCEA,BECBC,AACEE,BBCCE,DBBCE,ABBDE,ADDDD
133,DDDBA,CDDDA,ABCDE,EECAA,EDBBA,CEDBB,CCCCA,ACCDD,AABDE,ABDDE
134,BBBCE,EDABD,ECBBB,CEDBA,CBBDE,DCDAC,DDCAC,AACDE,EECAA,ABDDE
135,DDDCA,DDDDA,ABCDE,EECAA,DDDBA,DCACD,DDCAD,EEBAB,AABDE,ABDDE
136,DDDCA,ADDDB,ABCDE,EECAA,ACCDD,CDDDA,ECBBB,EEBBB,AABDE,ABDDE
137,DDDBA,BBAEE,DECAA,BBBCE,EDBBB,DDDAA,DCBAD,ABCDE,DDDDA,ABDDE
138,BBBDE,DDDCA,ABDEE,EECAA,ECACD,DBDDB,ABCED,EEBBB,AABDE,ABDDE
139,DDDBA,ADCCD,CACDD,ACDDD,EDBBA,DEBBA,DDDBA,AACDE,EEABB,ABDDE
140,DDDBA,BBADE,DDEBA,EDCCA,ACDDD,ABCDE,ABCDE,AACEE,DAACE,DDDBA
141,DDDBA,ACDDD,ECBBB,AADDD,EDBBA,CDDBB,EDDAB,ABCDE,EBBBB,ABDDE
142,DDDCA,CCDDB,ABCEE,CCBBE,BACDE,BCDDB,DEBBB,BABDE,AABDE,ABCDE
143,CCBBE,EDDAA,AACEE,EECAA,EDBBA,EDCAB,CCCCB,ECBBB,AABDE,ABDDE
144,DDDCA,DDDCA,ABCCE,EECAA,EDBBB,EDABC,BDCBE,EEBAA,AABDE,ABDDE
145,DDDCA,EDBAB,ABDEE,EEDAA,ECCCA,BABDE,ABCCE,ABBCE,ABBDE,AADEE
146,DDDBA,BABEE,EEBBB,BBADE,ABCDE,ABCDE,ABCDE,DDDCA,ABBDE,EDBBB
147,DDDCA,EDCAB,ABCEE,DDCCA,ECBBB,ECDBA,ABCDE,ABBDE,AABDE,ADDDD
148,DDDCA,ECBBB,AACEE,EECAA,EBCBB,ECBBB,BBBBE,AACDE,ABBDE,ACDDE
149,DDDBA,BAEDC,CDADD,BABEE,EECBA,EDCBA,BABDE,ACDDE,EECAA,ABDDE
150,DDDCA,DECBA,ABDDD,DCCDA,CDCCC,AECCD,ACDDC,DCDBB,AABDE,AADEE
151,DDDBA,ABDDD,ECBBB,BACEE,ABCDE,ABCDE,ADEBC,EECAA,CCCDA,ABDDE
152,DDDCA,EDDAA,AACEE,CCBCD,BDBCD,BBCCD,CCBDC,ABCDE,ABBDE,ADDDD
153,DDDCA,EEBAA,ACDDD,DDDBA,EDCAB,ADCDC,CCBEB,BBDDC,BBBCE,ABCDE
154,DDDCA,EECAA,ABDEE,CCDDB,ABBCE,CABDE,CEBBC,BCDBC,ABBDE,ABBDE
155,DDDBA,BDEBB,BABED,BABEE,EDCAA,EDCBA,CDBBC,AACEE,ABBDE,EBBBC
156,DDDBA,AADDE,EEABB,CCBBE,ABCDE,ABCDE,ABCDE,ABCEE,DBABE,CDDDA
157,BBBBE,EDDAA,ABBEE,EECAA,ABCDE,ABDED,ABCDE,AACEE,ABBDE,ABDDE
158,DDDBA,AADDE,EEABB,BBADE,EDBAB,DDDBB,BDCBD,ABCDE,ABBDE,EBBBC
159,DDDCA,ECBBB,ABDEE,EECAA,CABCE,EBDBB,ECCAC,AACEE,BBBCE,ABCDE
160,DDDBA,BBADE,DDEBA,DCBBC,ACCDD,ABCDE,ABCDE,BCDEA,BABDE,EEBBB
161,DDDCA,EDBBB,ABDEE,EEDAA,BCDDB,DCCCC,ABCDE,AACEE,BBBCE,ABCDE
162,DDDCA,EDBBB,ABDEE,EECAA,EDCAB,DDDAB,ABCDE,ABDED,BBBEE,DECBA
163,DDDBA,AADDE,EEABB,BABEE,ABCDE,ABCDE,ABEDD,DDDBA,ABBDE,EBBBC
164,DDDBA,BBAEE,BDEBB,CBBBE,ABDED,EDBBA,ACEDC,ABBDE,ABBDE,EBBBB
165,BBBCE,EDABD,DDDAA,ACDDD,ACBDE,EDBAB,DDCAD,AACEE,AABDE,DDDDA
166,EDDBA,EDCBA,ABBDE,EECAA,EDBBA,EBDCA,BCBDE,EEBBB,AABDE,ABDDE
167,DDDCA,EDCAB,ABCEE,DDDCA,ECBBB,EDCAA,CEDCA,AABDE,ABBDE,ABDDD
168,DDDBA,ADDDD,EABCC,AAEDD,ABCDE,ABDDE,EDCAA,EBBBC,DEDAA,ABDDE
169,DDDBA,AADDE,EEABB,CBBBE,ABCDE,AACDE,ABCDE,DDECA,ABBDE,EBBBB
170,DDDBA,CBACE,BCECA,DCBBC,ACDDD,EDBAA,EDCAA,ABBDE,BABDE,EEBAB
171,DDDBA,AADDD,ECBBB,AAEDD,ECBBB,DEBBB,DDDAB,AACDE,DDDBA,ABDDE
172,DDDCA,EECAA,ABDDD,DDDAA,BEBBC,ACDDD,ACCDE,ABCED,BBBBE,ABCDE
173,DDDCA,CCEBB,AACEE,DDBBC,BDBCD,BDDAD,EBABD,AABEE,ABBDE,ADDDD
174,BBBDE,DDDDA,ABDEE,EDCBA,ABDDD,BBDCE,ABCCE,AACEE,AABDE,ABDDE
175,DDDBA,AADDE,ECBBB,BABEE,ABCDE,ABCDE,BDEAB,EDBBB,DDDBA,ABDDE
176,DDDBA,BBADE,DDEAA,DCBBE,ABCDE,ABCEE,ABCDE,BCDEB,BABDE,EECAA
177,DDDBA,BBCEC,BEBCC,CCBBE,ACDDC,EDCBA,EDBAB,ABBDE,BBBDE,EDBBB
178,DDDBA,ABECB,CDADD,BABEE,BEDCA,EDCBA,ECBAD,AADED,CCCDA,ABDDE
179,DDDCA,DDDAA,ABDEE,CCBCD,BBBDD,EBBBD,AADDE,BBCED,AABDE,ABBCE
180,BBBCE,EDBAD,EECAA,ADDDD,BBBCE,DCDBB,ACDBE,AACEE,ABBDE,EBBCC
181,BBBCE,EDABD,ECBBB,BEDBA,BCADD,DADCC,ACCDE,AACDE,EBBBC,ABDDE
182,BBBCE,DDABD,EEBBB,AEDCB,AACED,ADDCD,BCCCE,ABCEE,ABBDE,DEDAA
183,DDDBA,BABEE,DECAA,BBBBE,ABCDE,ABCDE,ABCDE,BCDEA,CAACE,DDDAA
184,DDDCA,EEAAB,ABDEE,DDDCA,ECCAB,EDBBB,CCDDB,AABDE,AABDE,ADDDD
185,DDDCA,EDDAA,ABCEE,EDDCA,ECBBB,EDCAB,ABCCE,ABCDE,ABCDE,BBBCE
186,DDDBA,BABEE,EEBBB,BBBCE,EDBBB,ECCCA,CDDBC,ABCDE,ABBDE,DBCCC
187,DDDCA,EEDAA,ABDEE,DDDBA,CECCA,ABDDD,ACDDC,BACED,BBBCE,ABCDE
188,BBBBE,EDAAD,EEBBB,BEDBB,DBBCD,DCEBB,CABCE,ABCEE,DDDDA,ABDDE
189,BBBCE,EDABD,DDDAA,ACDDD,ABBDE,DDBBD,CCEBC,AACEE,ABBDE,DDEBA
190,DDDBA,BABEE,DECAA,CCBBD,DCACC,BDDEA,DCCBB,AACDE,ABBDE,CDDDA
191,BBBCE,EDABD,ECBBB,CEDBA,BAECD,CBACE,CCECA,AACEE,CCCDB,ABDDE
192,BBBCE,DDBBD,EEBBB,AEDCB,BBACE,ECBAC,CDBCC,ABCEE,ABBDE,ABDDE
193,DDDBA,BAEDC,CDADD,CBBBE,ADEDC,EDCAA,BBBCE,AADED,ABBDE,EBBBB
194,DDDBA,BBAEE,DECAA,CBBBE,DCBCC,ECBCB,EDCAB,AACDE,ABBDE,EEBAB
195,DDDCA,EDDAA,ABDEE,CCCEA,BDCCD,ADECB,DDDBA,ABBDE,ABBDE,ABDDD
196,DDDBA,BABEE,EEBAA,BBBCE,ABCDE,ABCDE,ABCDE,DDDBA,ABBDE,EBBBC
197,DDDBA,BAEDC,BDADD,BBADE,DECBA,EDCAA,EBABE,ABDDD,DDDCA,ABDDE
198,EDDBA,EDDCA,ABBDE,EECAA,EDBBB,EDCCA,DBBBD,EEBBB,AABDE,ABDDE
199,DDDBA,ACDDD,EABCC,AACEE,EDBBB,BDCCD,DDBAC,AACDE,DDDBA,ABDDE
200,DDDCA,EEAAB,ABDEE,EDDBA,ABEDC,ECCCA,EBBBC,AACDE,AABDE,ABDDE
201,DDDBA,BBAEE,EEBBB,BBBBE,DCBCB,DCCCB,DCBAD,AACDE,ABBDE,CDDDA
202,DDDBA,BBAEE,DDDAA,CBBBE,ABCEE,ABCDE,ABCDE,BCDEA,BABDE,EEBAA
203,DDDBA,ADECB,DACDD,AACEE,EECBA,EDBBA,BABDE,ACCDE,EEABB,ABDDE
204,DDDBA,AADDE,EEABB,BBADE,EDBBB,EADCB,DBCBD,AACDE,ABBDE,EBBBB
205,DDDCA,DEBBB,ABDDD,CCEBA,EEBAB,DACCD,AADED,CCCEB,AABDE,AACEE
206,DDDBA,BBAEE,BDEBB,CCBBE,ADEDC,EEBBA,DBBBE,AACDE,ABBDE,DDDBA
207,DDDCA,ECBAB,ABDED,EDCCA,ABDCD,EDDAA,ABCDE,AABEE,ABCDE,ABCDE
208,DDDCA,EEBBA,ABDDD,DDEBA,EDBBA,EBBCC,CCDBC,CBCBE,BBBCE,ABDDE
209,DDDBA,BBADE,DDEAA,BBBBE,DDBBC,DDDBA,ECBAC,ABCDE,ABBDE,CDDDA
210,DDDCA,EDDAA,AACEE,CCBEB,DBBDC,BBCED,BBBCE,ABCED,AABDE,ABCCE
211,DDDBA,AADDE,EEABB,BABEE,ABCDE,ABCDE,ACDDD,EECAA,CCCDA,ABDDE
212,DDDCA,ECBBC,ABDEE,EEBBA,BBDCD,DDDBA,ABCDE,AABEE,BBBCE,ABCDE
213,DDDCA,CCEBB,AACEE,DCCEA,DACCD,BBDDC,DCDDA,ABBEE,AABDE,ADDDD
214,DDDCA,EDDAA,AADEE,CCCEA,DDDBA,CDBCD,BECBB,CCCDB,ABCDE,BBBDE
215,DDDBA,AADDE,ECBBB,BBADE,EDBBA,DDDBA,DCDAB,AACDE,EEBAB,ABDDE
216,DDDCA,CCDCA,AACEE,DCCCC,CACCD,CDCBD,BBBEC,AADEE,BBBEE,ABDDE
217,BBBCE,DDABD,ECBBB,CEDBA,BBCDD,DBBBD,CCECA,AACEE,ABBDE,EBBBB
218,DDDCA,ECBBB,ABDEE,EECAA,ABDDD,EDCBA,ABCDE,ABCEE,AABEE,BEDCA
219,DDDBA,BBAEE,DECAA,CBBBE,DBBCD,CDCCB,CDBBD,AACDE,ABBDE,EDBBB
220,DDDBA,AADDE,ECBBB,AADDD,ABCDE,ABCDE,DDBBB,ECBBB,EEBAB,ABDDE
221,BBBCE,DCABD,DDEAA,ABDDD,AACDE,BACEE,DBDBC,AACEE,ABBDE,EEBAB
222,DDDBA,BBECB,BCADD,BBADE,CEDBA,EDCBA,DDCAB,AABEE,ABBDE,EBBBB
223,DDDCA,EDCAB,AADEE,DDDCA,EBBCB,EDABB,ECDCA,BABDE,ABBDE,ADDDD
224,DDDBA,BBAEE,DDDAA,CBBBE,ABCDE,AACDE,ABCDE,CDDDA,AABDE,EEBAB
225,DDDCA,ECBBB,ABDEE,EECBA,BBBDE,EEBAB,CACDE,ABDDD,BBBDE,ABCDE
226,DDDCA,EEBAA,ABDDD,CDDBB,ECCBB,BDCCC,CBDCC,BBBED,BABDE,ABDDD
227,BBBCE,EDBBD,EEBAA,ADDCC,EBCCB,BBBEC,CCDAD,ABCEE,DDDAA,ABDDE
228,DDDCA,EDBBB,ABCCE,EDCBA,ABCDE,DDDBA,DBCDC,AABEE,ABCDE,ABCDE
229,DDDCA,DDDCA,AACEE,CCBCD,ADDDD,ACDDB,ECBAD,ACDEB,BABDE,ABDDD
230,DDDCA,EDDAA,ABDED,DDCDA,BBBDE,CACCE,DBDDA,CCBEB,AABDE,ADDDD
231,DDDCA,EBBAC,CCDEA,EDCCA,ACEDD,EDDAA,DBDBC,AADEE,ABBDE,ABCDE
232,DDDBA,ABDDD,ECBBB,AADDD,ABCDE,ABCEE,DDDBA,EBBBC,DEDAA,ABDDE
233,DDDCA,EEBAA,ABDDD,EDDAA,CECBA,ABDDD,ABDEC,ABCED,BBBDE,BEDCA
