,0,1,2,3,4,5
51,ABEEGGBDHEA,ACGHFFEBADH,GEGGGFEDBAA,BEGFCAADFGH,HHGFECCBBAB,CFGEBABFHFE
52,DBGFBBGHGCA,DGGDBACGHEB,BBFHHCBCCED,BAACDDFGGGH,FDEGHFCAABC,FDCFHGBAAEG
53,ABFGGGEDDDE,FGGGGFECBAA,AABDEFGGGGG,ABHECDFGGEB,HGECAABCEGH,HHGFBBBBBEE
54,GEDBABBEGGH,ACBCEFFGGFE,ABBCCDFFHHH,AHGGDFEDDCA,HHGGEDCBBBA,HGFEEDFDDAA
55,CFGHGDDFCAA,GEBDHHFDBAC,EGHHGEDCBAA,BCEDCABEGHH,HHHFCBBCDDB,BABBCEFFFHH
56,HHGGFDCBBAA,EBCHGDDGGDA,ABCEGFDBBGH,FHHGEDBABBC,AABCDGHHGEE,HFDEBABCEFF
57,AABEHHGEFDC,HGGGGFDBAAA,BABBCDEFGHH,GHHFDCBBBBC,AABCDFHGHFB,FECAAADHHGF
58,BBBEGFDABGH,HHGFEEDCAAB,BAABDEFFGGH,FGHGFDDCBBA,CCBAACEFGHH,HFBABDFGHFB
59,CCCBABDFGHH,GGGGFEDCBAA,GDBBBABEFHH,FHHGFECBBAA,AACFGGGGEDC,GGEBAABEFGG
60,ABCBAEHGEHG,EGHGGFDCBAA,AABCDEFGGGH,FGHGFEDCBAA,ECBBBBDFGHH,GHFDDFGEBBA
61,DFECBGHGEBA,BFHHGFDBBAB,CFHHGFCBABB,AABDGGGGFED,EDEFGHGEBAA,ACEFFCABFHH
62,HGEBABCDDFH,AACEFFDHGGC,HHFCAABCEFF,DFHHGFDCBAA,AAABDEFGGGG,GHHFEFECBAA
63,FGHGFEEBBAA,GFFHGFDCBAA,BABBCEFGGHH,GHHGEDCCBBA,BBBBCDEGGHH,HHEDEBCEBDB
64,HHFDCEECBAA,BCBABDDFGHH,AACEFFFGGFE,HDDGHFBCDBA,HHGDBBCBCCC,BCDFEFFDGEA
65,ACEFFHHEBBB,CDDEGGGGDBA,BBBCACEGGHH,ABEHGGFFECB,HFECBABCFGH,CFFBABCDHHD
66,AABDEFFGGGG,GGGGFGEBBAA,CAABCEFGGHH,GHHGEDCCBAA,CAABCEEGGHH,BCDEGCFGFGA
67,AAAEHHGGFDC,HHFEDEEDDAA,AADBFEHGFFE,AAABDFGHGGG,HHGGFECBBAA,BBBCBBDGGHH
68,HHGFCCBCCCA,ABBBCDEFGHH,AACEFFHGCEG,GBAACEEGGGG,HHFGFCBBCBA,HGEECBBEEDA
69,ADGHGGGDBBA,HGGHFDDCBAA,AAABDEFGGHH,DGHGEDDCCBA,HHFDCBBBCDD,ABBBCDEFHHH
70,FDDCDBABFHH,GEDFDAAEHGC,HGFFGEBAABC,BCFHHGFDCBA,ABACEFGHGDD,FGFGHGECAAA
71,GHHGEECBBAB,CBBBBCDFGHH,CFGGGFFDCAA,BAABEHGFGGG,HHGGFDCBBBA,ABBBBDEGGHH
72,HHFBADFDBCE,FFEGGFCACBC,AABCDEFGGGG,HDAAACEGGGF,HHGGFEDBBAA,ABBCBDFGHHF
73,CGHHFEDBBBB,GGGGGFEDBAA,AABCDEFGGGG,HHGEDCCCBBB,CBBBBCFGGHH,DEGCFCDGCCD
74,HHHEBCABEDD,BEECEDHGGCA,HHFECBABBDE,ABEHHGFECBA,AAABCEGGGGH,HFFEFDBBABE
75,BDGGHGFDCAA,FECBBBBCFHH,ADFGHGFECBA,BCBABCEGHHH,HHGGFDCBBBA,AABBCDEFGHH
76,EFGGGFGDAAB,HHFCAACEEDE,CGHHGECAABC,GFCBAACEFGH,HHFDBBBDDCC,DCAACEFFHGG
77,AACEGGHGEDC,HHGFFECBAAB,AABCDEFGGGH,FHHGEDCCBBA,HFCBFEFEAAF,BBBBBDFGGGH
78,EDBACGHHDDC,GFECBBBCDFH,AABCDEFGGHF,HHDCBBCCDDE,GFHHEECBCAA,FGFHHCBCCBA
79,HHGFEECBBAA,AACBCGGFGHF,GFGGGEDBAAA,ABEHHGFEDBA,FDBABBCCGHH,CBBCACDFGHH
80,ABBDDDHHGEC,CFHHGFDBAAD,HGBAACDFEFG,AADHGHGEDCB,GGEEFGGCAAC,ACFGDACFHHC
81,GHGGFEBBAAB,ABCBDGGFGGF,FEFHHFECAAA,BDHHGFDCBBB,HGDBBBCBCGH,AADEBDGDGGH
82,GFGGGFEBCAA,HHGFFDBBBBA,AABCDDEFGHH,HHFDCBBBCDE,BAAADGGEFHG,GHGBBBACCFG
83,HHGFDCBBBCD,AACCEFEFGHE,GGGDAABCEFG,FGHGFEDCBAA,AABCDFFGGGG,HGGGGFCBBAA
84,BBBCBBEGHHH,FFGDCFGFEBA,EHHFCAABCEF,ABDGHGGEDBA,BAABDEGHGFH,FFGFFGFECAA
85,HGEBABCDEEF,ABBCCEFFGHH,HHGGEDBBCBA,ECBAABDFGHH,BEGHHGFDBAA,HHGFEDDBABA
86,GGEGFGEEBAA,ABCDGGEEHFB,GFFGGGECAAB,ACFHHGFDBBA,HGEBAACEEEG,AABDDDHGGGD
87,ADFGHGGECAA,GFDBBBBCEGH,ACFGGGGFDCA,BBBABCEGHHH,HHGGFECBBAA,ABBBCDEFGHH
88,HHFDCDDDBBB,AABCDEEGHHG,ABABCDEFGHH,HEAABDCEGGF,GGGGFEEDBAA,HGGFFAACCEE
89,FGHGFFDBBAA,CCCCGHGFFDA,AABCCDFGGHH,HHGFDDCCBBA,BAABCDEGGHH,HFDDDDFGEAA
90,ACCFHFCEGFD,FCAABGHGGED,AADFGEEFFGG,HHGECCBBBBD,HFDCEGGGCAA,ACEFFDABEGH
91,AABCEFGGGGG,GGGGGECDBAA,HFBAABDEFGH,EGHGGEDCBAA,BABBCDEFGHH,FHDGECCGBDA
92,AACEEGFGFFF,GGGGFFDCBAA,EBABCEFHHFG,AAACEFGGGGG,HHGGFEDBAAA,DBBCCBEGGFH
93,GHGFFCEBCAA,DCABGHFHECA,CBBBBCEFGHH,HHGFEDCBBBA,AABCDGGGGGF,BACBBDFFGHH
94,CEFGHGFDBAA,HGECCBBBCDH,AACEGGGHEDD,DGHDAAAFFFE,HHGECBBABDD,BBBBBCEGHHH
95,BEGHGGFDBAA,EEFGGGFDBAA,AACEFFGGGFF,AADDCDFGGGG,HHFEBAABDFG,FDCBAABEGHH
96,HHGFFEDBAAA,CCBBBCFEFHH,AACDFFGGEFG,HHEBAADEEEE,HHGGEDCBBBA,BBBBCDEFGGH
97,BCCBDHHHFCB,EGHHFDBAACF,HHGFDBBBBCC,AABDGGGGGFE,GGFDDFGGDAA,ACFGGCACFHF
98,CBBBCCCFHHG,CFGCADHHDBB,GHEBAACDFGG,EGHHGEDCBAA,AACDCFFGHGD,DFFEFHHEBAA
99,FGGGGFECAAA,BBCEGHHFCAB,AACDEFFGGGG,HHEDCCCCCCB,BAABCDFGHHH,HFEBAACCEGH
100,GHHGFDCBAAA,BBBBCCEFGHH,CDFGGHGFAAB,HHGDBABCDDE,GGGGEAAADEF,BBBBBCEFHHH
101,AABDEGGGGGG,FFGFGFFECAA,AABCDEFGGGH,GHHFEDCCBBA,FCAABBEFFHH,ACCDBDDHHHD
102,HHEABCFEBEC,DBAFFCCDGEG,AABDBEGGFEH,CAABCDGGHGG,HHGGEEDBBAA,EDCBBDHGEGC
103,DCAGHEEFBCD,BABEDCDGGGH,GFGHHECCCAA,CCDECBBCFHH,ECBBCGHHFCA,BCFHHFBABDG
104,BBBBECBEGHH,EFFCGHEDACB,DBAACDEFGHH,HHGFEDCCBBA,AABDDEFGHHF,DFGFFHGDBAA
105,FFEBACCBEHH,HFCBBBBBEGH,AABCEEFGGGG,HGDCBBCDDDE,HHGFEDBBBBB,GFCDFHEABBC
106,AAEFGGGFEEE,HHHGFDBAABD,AADFGGGGFED,FGCAABCFGGG,HHGFDBAACEG,ABDDCDEFGHH
107,EFEGGEGDAAC,EDCBBBBDFHH,GFDCEGFFGBA,HECBBBBDFGH,GHHGFDBAABC,CEGHHGCAACE
108,ADGHGGFECBA,HGFDCBAACEH,ABEFGGGFFDB,BBCBBCEGHHH,GGGGFEDBBAA,BBBBBCEFGHH
109,AABBCEFGGHG,GGGGFFDCBAA,AABDEFGGGGG,ABHGEEFFFEB,HGECBAACEGH,EGHGGEECBAA
110,HHFCBBCCBDF,ABBCCFDFGGH,ACFGGGFFDDA,HFCABBEFGGE,HGGCEFAEFBA,HFGGFGCCBAA
111,HHGDCCCBBBD,ADBBDEEFGHG,ABDCEEFEDHH,CEAADGHHFCC,HHGFFEDBBAA,HHGECEEBABB
112,BBBCFGHHGCA,DBABECBEGHH,ABFFGGGFEDB,AABDFHGFFED,HHGFDCBBBBB,ABBEEHHFDEE
113,ABBCECGHHFC,CGHHFCAADDC,ABCBBDEFGHH,HHGEDCBBBBC,GFBBEGGBADH,GGFBABEGGDB
114,DFGHGGFDBAA,BAABCFFGGHG,HGFGGFECAAB,ACGHHFECBBB,HGEBAADEFED,ABBBCDEGGHH
115,HHGCABCBCDF,BFFHHCCBBBD,AABCDEFGGGH,FFBBCFGGGDA,HHGFFDDBBAB,GGGGEFDFBAA
116,ECBAAEFGHGF,GGEFGGFEBAA,AACEFGHHECA,AAACDEFGGHH,CEGGDGFDCAB,AABEGHDEHGC
117,FGGFFFFDBAA,EDBBBBCEGHH,ABEFGFGGFCD,EGFBAACFGGF,HHGGFDCBBAA,BBBBBBDFGHH
118,BBADGFDBEHH,ECAACFHHGFD,BAACDEFGGHH,HHHFEDCBABB,BAABDFGHHGD,ABDFFDADGHG
119,AABDEFGGFGG,GFFGGGEDBAA,AABCEFGGGGG,AAFGEFFGFDC,HHGECBABCEF,ABBBCDFFHHG
120,HHFCDCCDCBB,AABBDEFFGGH,GGGGFFEDBAA,AABCEGHGFED,CBAABDFGGGH,ACHHDEECCDE
121,BBCCBBDGHHH,GDBFHGFEABC,DBAABDEFGHH,HHGEDCBBABE,BAADEGHHFDB,FGFGGGEDAAA
122,HHGDBACBCEF,ABBCEEGHHFB,HHGFEBAABCD,DFHHFDBAADG,AADEGGGGEDE,HHGGFECABBB
123,CGHGECCBACF,EFGGGGFEBAA,AAABDEFGGGH,GHHGEDDCBAA,DBBABCEFGHH,HHGECCCBBCB
124,HHGDCCDCABB,ABBCDDEEFHH,AACEFFGGGGD,GGGHGEBABBA,CBAABEFGHGF,ECFGDFFDEEA
125,AACDEGGGGEE,HFFHEECAABF,ABCEFGGGHFA,HHFDDCBBBCD,AABCCEGGGGH,BACDCCGGEEH
126,ABFGGGGFDAB,HGGGEDDBAAB,AABCDEFGGHH,HHFDCCBBCCC,AAACEDEGHFH,CDBBABGGGHG
127,ABDDDEGFHGE,HHHGFECBAAB,AABCEFFGGGG,HHGEDCCCBBA,DCBBBBDFGHH,GGHFDEDBCBA
128,HHFBABCECEE,CCCABDDFHGH,GHFCAABEFFF,AACDGFGGGEC,HHFFEBABDBE,HHGFFDCDBBA
129,GHHGFECBAAA,ABCEFGHHGCA,AABCDEFGGGH,HHGEDCCCBBB,AABCDFGGGGG,HHFDCBBBCCE
130,AABCDEFGGGH,GGGGGFDCBAA,AABDEFFGGGG,AAGGEEFGFEC,GGECAAACEGH,GHHGEECCBAA
131,GGHGFEDBBAA,BBBBCEFFGHH,CDEFGGGGDAA,ABFGDCBEGHG,HHGGFDCBBBA,BBBBBCDEGHH
132,ABEGHGGFBBB,GGGGGFDBAAA,AABCEFFGGGG,HHFEDCCCCBB,AABBCDEGGHH,GCBABFBFHEG
133,FBCGDBCHHCB,BFHEGFBABDH,HCDDEHFBCAC,BACEBFGEDFH,HFEDFHFBABE,GDABEGEBBFH
134,ACFGHGGECBA,GFDCBBACEGH,ACFGGGGFDBA,BBBBBCEGHHH,HHGGFECBBAA,ABBBCDEFGHH
135,GHGGGEDBBAA,HGEEGEAAACG,ABDFGHHGCBC,FGDBAACFGGG,HHGFFCCBBBB,BBBBBCEFGHH
136,ACCCFEHGFEE,FFGGGFECBAA,AABBCDEGGHH,EGHHFEDCBAA,ECBABCCEHHH,DCDBABFGGHC
137,AABCEFFGGGG,GGGGFEEDBAA,CBAACDFGGHH,GHHGEDCCBAA,BABBCDEGGHH,GFFFFDFFEAA
138,AABEFGGFGFF,HGGGGECBBAA,AABCEFGGGGG,ADHFCDDFFDB,HGECBAABDFH,AABDDFGGGGD
139,ACEFGFGHFBA,FHHDACDBBDE,ABDEFDBDFGH,HFCAABDEFGF,EDEFFCACGHC,AACEGEBEGHF
140,DDBAACEFGHH,CDDEGFGGFBA,HHFCAABCDEF,CEGHGFEDBAA,BAABCEFGGHH,HHGFFFDBBAA
141,ECFGGDAACGG,DBADHHEBCEH,HGHFCCCEBAD,HCACDBCCFHG,EEDFHHEBAAD,GGDAAACFFGF
142,HHHEDDBBBBB,HGFDEDBBBAH,AABDEEFGGGG,HDAAACDGGGG,HHGGFDCBBBA,DBBBDFHHFEB
143,AABCEFGGGGG,GGGGFFDCBAA,CAABCEFGGHH,BEHHGFEDCBA,DCAABCEFGHH,BFEECGHEECA
144,HHGDDDDCBAB,AEEBACGHHFE,BBBADFFEFFH,ABABDFHHGFE,HHGGEEDCBAA,GECEECEAFGB
145,GFDAABCFEHG,GFHFEGCDCAA,ABBBCDFGHHH,CBCBDFHHGEB,HHGGFECBBBA,FGGEDGEEBBA
146,GHHGFEDCBAA,DCAABDDFGHH,ABCFGHGGEBC,EFDBAADFGGH,HHGGEDCCBAA,CCBBBBDFGHH
147,BDFGGFFBADG,FCAAEHGFFDD,AEHHGFDAADF,HGCAABCEFGE,DCBCEHHGCEA,CAACEGFDFHH
148,DGHGFGECAAA,AAEHHGFDCBE,FGHGEEDCBAA,DECAABDFGHH,HFCCCABCEGH,FFBAACEGHFD
149,GGFBBABBEGH,DEFGGGGECAA,BAABDEFGGHH,HHGFEDCCBBA,BBABCDEFGHH,HHGFECBBBBC
150,BBBBCCDGHHG,ECDEAAEEHHF,HHGECAABCEF,FGHGFECBBAA,ABCBCGFGGGF,CCFGDFFHFAA
151,ACFGHGGECBA,GFECBAABDGH,ABEGGGGFECA,BBCBBCEGHHH,HHGGFECBBAA,ABBBCDEFGHH
152,BDCBFHGCADH,GGECAABDFHG,GCAABCDFGHH,GHGFDCBDBAC,HHGDDFDAACD,CAADGHGCCFH
153,BBBFFCBGHGD,BAADGHHFDCC,ABDCCDEFGHG,HGDBBBDEDDD,DEGHHGDBAAB,DGGFBACFHFB
154,GGEBBBCBCHH,HGFFGFBBBBB,AACCCEFGGGH,HHDBABDDDDF,HHHGEDCBBAA,FHHEFFDBBCA
155,ADFGHGGECAA,HGECBBABDGH,ACFGGGGFDCA,BBBABCEGHHH,HHGGFECBBAA,ABBBCDEFGHH
156,HHGDCCCBBBD,EEBABDDEFGH,AABEFGGGGEC,FBABGEGBFGF,HHGFEDBBBBB,BBCDCDEFHFG
157,AABCFFEGDEH,DEDGGHFFCAA,HDBBBCBCEGH,ABEHHGFEDBA,GECAABCDFGH,HHGEDDBBBBB
158,HHFBEECBCBD,GEECBADECDH,ABCDFGGGGEC,AAABEGHGGFF,HHGGFDBBBBB,ABBCDCEGHHF
159,DEFFGGGECAA,FECABCCCFHH,BEGGGFFGDAA,AEHHFDBBCDD,HHGFECCBBBB,ABBBCDEFGHH
160,AABCFFFFGGG,EFHGGEECBAA,ECAABDEFGHH,HHGFEDCBBBA,AABBCEFFGHH,HFGFCFEFCCA
161,HHGEDCDBBBB,DFCBBECFDEH,AACEFFFFFGF,EBABBDEGGGH,GHGGFEDBBAA,CDBBABEFGHH
162,FFFGFEGEBAA,FHDACDADGFF,ABCCDEFGHGC,HEAABDEDEGH,BDEFGGAAEHD,BDFEBACFHHF
163,GGHGEEEDBAA,GDACDECHGFA,GFEFFDCBABH,EGHHECAACCD,AABCEEFFHFH,GECCAACDEGH
164,EBEHFDHGCAA,BEGHFCBABEG,HFHEABEDBDB,AADHFCCGGFE,DGHGCBACFGA,BAACFGDGFFH
165,HEBABEFFEEG,CEEEGGGGDAA,ABEEFECFFDH,ABBCDFGGGHG,HGGGFDBBBAA,GEAADBFGGHD
166,HHFEEFDCBAB,AACCCEFFFHH,HGFGGECBAAB,BDGHHGECBAA,EDCCCBACFHH,BEGFACCCDFH
167,HHFDBAABCFG,ABDDCCGGHGE,HHGGECAABCD,FGHGFECBAAB,AABDFGGGFFF,HHGFFECBBAA
168,HGEDECAACFH,CHFCBDGBADH,HHGFECCCBAB,FDBAADGFFGH,BDGHGDABDED,GHHGEDBAABC
169,AEGHHGECBAB,EFGGHGECBAA,AACDFFGGGFF,CFHBABDFGGE,HGFDBAABDFG,DCBBBBCEGHH
170,HHGDBBCCBCD,AAABDFGGGGG,FGGGGFEDCAA,BAABCEGHGGG,GBAABEFGHGF,BBBDDBEHHFF
171,ACFGHHGECBA,GFDBBBBCEGH,ADFGHGFEDBA,BCBABCEGHHH,HHGGFDCBBAA,AABBCDEFGHH
172,CDFGEHFBADE,GDAACGGECFH,AADGHGFBCEG,EGHFCBAACFH,HHGFEEDBAAB,BBEGFAAFHGE
173,HHGECCCBBBC,AAABDEFGGGH,FGGGFFEDBAA,AAACEHHGFED,BAACFGHHGEB,AACEFHGGEDD
174,HGECCBAACGH,GHGECEDAABF,HHGFECDDBAA,ABDGGECBDGH,ABCFHHDBDDE,HHHGECAABCC
175,AADGGGGFECC,CFFAEGGDDFB,ACECGGGFFEB,AAABDHHGFFE,HHGFDCBBBBB,BBBBBCEGGHH
176,HHGEDEDBABB,CBBBCCDEGHH,AACEFFFFGGF,BAAEGHFFFDB,HHGFDCCBBBB,EFEFEEGFBBB
177,ABDCCDFEEHH,FFGGGGEDBAA,AABCDFFGGGG,HHHFDCCCBBA,DBBABCEFGHH,HHGFDDBABBC
178,HHFCABBCCFF,DABBCFHGFGD,GFDCAABDFGH,GECBAABEGHH,BFHHECCEEDA,GGFEEFFFCAA
179,BADHHGFEDBC,FBAEDDFCDGH,ACCDFFDCGHE,BCBACFHHFGF,HGHGEFCBBBA,GGFBDACGDEC
180,FGHGFEDBAAA,CDEFGGGFDAA,AABCEFFGGGG,HHHFDDCCBBA,CBAABCEGGHH,HHGECBBBBCC
181,HHHECBBBBCD,BBCCCCCEGHH,DCEDFHHFBDA,AABCDEGGGGG,HHGGFDDCBAA,HHGFDEEBAAC
182,ADEEGHFEDBA,GGGGFFEDBAA,AABBCDEGGHH,HHGEDCBBBBC,BAABDDEFHHH,FEDAABCDGHH
183,ACFGHGGECBA,GFDCBBBBEGH,ACFGHGGFDBA,BBBBBCEGHHH,HHGGFEDBBAA,AABBCDEGGHH
184,ADGGHGGECBA,GFDCBAABEGH,ACFGGGGFDBA,BCBBBCEGHHH,HHGGFDCBBAA,ABBBCDEFGHH
185,BDGGGHDABEC,FECBAABEGHH,HGDBBCEFECA,AABEFDCEGHH,GGHGDDDEDBA,AABCCDFHHEG
186,HGDAABDFFEF,BBCEDBBDGHH,GGGEEEFFCAA,GECBABCEGHH,HGBBEDCCEDE,BCEEHHGFDAA
187,ABDGHHGFCBA,HGGGEEDCBAA,AAABCEFFGHH,EHHGEDBBBBB,ABDGFBEGHFB,FBEEEBCBCGH
188,GEBCHGFEACB,GGGEEDFECAA,AABCEFGFFGH,DBAACDFGGGG,HHGGFEDBBAA,AABCEFEHHEF
189,GFDBAABDFGH,ADFEEGGGECA,HHGECBABCDE,CEGHGFECBAA,ABDGHGGEDCC,FGGGGFDBBAA
190,CDFGFEHEABD,GCADGFDBBFH,EEDEGHGEAAB,BFHGDBABDGH,HHGEDDBCDAB,GGEAABDGFEG
191,AABCDEFGGGG,GFFGGEFDBAA,HGDAABCDFGG,CEGHGFECBAA,CAABCDFGFHH,GEGFDEFDDAA
192,CEGGGFCFDAA,FCAAFFFEEFH,CEGHGFEDBAA,CEGDBABDFGH,GHHGECBBBBB,ABCEGEACGHH
193,FGHGFEDBAAB,DEGGHGFDBAA,AABCDEFGGGH,HHFEDCCCBBB,AABBCEFGGHH,HHGFDCBBBBB
194,ABCDDEDDGHH,HHGEBBDDCBB,ABDDDEGGGGF,EFFBABGGGFC,HGFFFFEDBAA,ACDEDADGHHD
195,ABBBCFGGGGG,FGGGGFECBAA,AABDEFFGGGG,BFHGEDEEDBA,FEDBAACDFHH,GHHFDDDDDBA
196,AAEFEFFFFFG,GGGGGFDCBAA,AABCEFGGGGG,AABEFFGGGGF,HHGECAABCDF,BHHGGEDBABC
197,BBCGEBAFHGE,BAAEGFDDDGH,HHFBBBCDFDC,HHECBBBBCEG,GGHHFDCBAAB,EGGGEBAACFG
