,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
19,AABDDC,BBACAD,AADABC,CCDDCA,DDDCAB,BBDDAA,ABDADC,AABADD,AAAADD,AAAADD,AAAADD,AAAACD,DDDCAA,BBAADD,AAACAD,DDAADA,DDDDAA,DDDBAA,DDDCCA,AADACC,BBBDDA,BBAADD,AAABDA,AADADA,AADAAD
20,DCAADD,DDDDAA,AAAADD,ABCDAA,DDCDAA,BAAADD,AABDDA,CCDDAA,BBBDBA,DDDDAA,AAAADD,AAAADD,AAAADD,ABDDBA,DDDDAA,DDDDAA,DDDDAA,AAAADD,AAAADD,CCDDAA,AAACDC,AABADD,DDDDAA,DDAACC,CCDDAB
21,DDDDAA,DDDDAB,AAADAD,AACDDB,ABDABB,BBADDA,AAAADD,BCDCAA,DDDDAA,DDDDAA,DDDCAB,AAABDD,AAAADD,CCDDAA,DDDCAA,DDDDAA,AAAADD,AAABDD,AAAADD,AABADA,DDBDAA,BBABDA,DDBDAA,DDDDAA,AAAADD
22,DDDDAA,AAAADD,DDDDAA,AAAADD,DDDDAA,AAAADD,DDDDAA,BAADCD,AAADDB,DDDACC,AAAADD,DDDDAA,BBAADD,BBBACD,CCDDAA,AAADDB,CCDAAD,DDDDAA,DDAAAC,DDDDAA,CCDABD,AACDAD,BBAADB,DDDDAC,DDDDAA
23,AAAADD,DDBDCA,CCDDBA,DDCAAD,AAACDD,DDDABB,DDCCBA,AAAADD,AAADDC,DDDDAA,DDDDAA,BBAADD,CCDDAA,CCAACD,AAAADD,AAABDC,DDDDAA,DDDDAA,AAAADD,CCDDAA,ABCDCA,DDCAAD,AAACDB,AAAADD,DDAADB
24,AAAADD,AAAADC,DDDDAA,DDDCAA,DDDDAA,DDDDAA,AAAADD,AAAADD,AAABDD,AADADB,DDDDAA,DDDDAA,BBAADD,BBAABD,AAAADD,AABBDD,DDDDAA,DDDDAA,DDDDAA,DDDAAD,AAAADD,AAAADD,AAAADD,AAAADD,DDDDBA
25,AAAADD,AAADDA,DDDDAA,DDDDAA,DDDDAA,DDDDAA,AAAACD,AAAADD,AAAADD,AAABDC,DDDDAA,DDDDAA,CCCADA,AAAACD,AAAADD,AAAACD,CCDADA,DDDDAA,DDDDAA,DDDCAA,AAAADD,AAACCD,AAABDD,AAAADD,DDDDBA
26,AAACDD,DDDACA,DDCDAA,DDDDAA,DDDAAB,CBACDA,DDCAAC,CCAACD,AABADD,AAAADD,BBADDA,AAACDD,ABBDDA,DDDCAA,BBAADD,DDDDAA,DDDDAA,AABADD,AABCDB,BAADDD,DDDDAA,BBAAAD,AAAADD,AAAADD,DDDACC
27,DDBADA,CBADAD,DDBDAD,CCDDAA,DDADDA,AAABDB,AAADBD,AABADD,AAAADD,AAABDD,CCCDAB,BBDDAA,DDDCAA,AAAADD,AAAADD,AACAAD,AABCDA,DDDBAA,DDCDAA,DDDCAA,DDDCAA,AAABDD,AACADD,AAAADD,AACADD
28,DDDDBA,BBBADC,DDBADA,DDCCAA,DDDCAA,DDBADA,AABDDA,DDDDAA,ABDDBA,BBAACD,AAAADD,DDDDAA,DDDDAA,AAAADD,AAABDD,AAABCD,AABADD,DDDAAA,DDDABB,BBAADD,DDDAAB,AAAADC,AAABDC,DDCDAA,AACBAD
29,AAADDD,AABDAD,AAABDD,BBACDD,AAADAD,DDABDA,AABDDA,DDCDAA,DDDDAA,DDDBAB,AAABDD,AAABDD,AAAADD,DDDCAA,DDDDAA,DDDDAA,AAAADD,AAABDD,DDDDAA,DDDDAA,DDDDAA,CBAADD,BBAADB,AADADB,AABADD
30,AAAADD,DDDDAA,DDDDAA,DDDDAA,DDDDAA,DDDDAC,AAAADD,AABBDD,AAAADD,AAABDD,DDDCAA,AAAACD,CCCDCA,DDDCAA,AAAADD,AAAADD,DDDDCA,DDDCAA,DDDDAA,DDDAAA,AAADDD,AAACDD,AAACCD,AAAADD,CCDACA
31,AAAADD,DDDDAA,DDDDAA,DCCAAD,AABDDB,DDDDAA,AAAADD,AABDDB,DCADDB,DDDDAB,AABBDD,DDDDAA,AAAADD,AABDDC,DDDDAA,AAABDD,DDDDAA,AABDDA,DDDDAA,AAABDD,AAAADD,DDDDAA,AAAADD,BCDACD,DDDACA
32,DDDDAA,DDDAAB,AACADD,AADBDA,BBAADC,DDDDAA,CBADAC,DDCDAA,DDADAB,BBAACD,AAAADD,AAAADC,DDDDAA,DDDDAA,AAAADD,AAAADD,AABADD,CCDADA,DDDACA,DDDDAA,DDDABA,AACADD,BAAADB,CCDADA,AAAADD
33,CCCAAD,DDDCAA,AAAADD,DDDCAA,AAAADD,DDDDAA,AAAADD,DDDDAA,AAABCD,ABBDDA,DDDABB,AAAADC,DDDAAB,AAABDC,AAACDC,AAAADD,DDCADA,AAAADD,DDDDAA,DDDDAC,AAABDC,DDDCAA,AAAADD,AAAADC,DDDDAA
34,DDDDAA,CCADAC,AAAADC,AAADDD,BBADDB,BBAADD,DDDADA,CCDDAA,DDDDBA,DDDDAA,DDAABD,AAAADD,AAAADD,DDDDAA,DDDDAA,DDDDAA,AAAADD,AAABDD,AAAADD,BBBDDA,DDDADA,DDDDAA,DDCDAA,DDCDAB,AAACDD
35,DDDDAA,DDCACA,BBADAC,BAADDD,DDDBBA,DDADAB,CCCADD,AACADD,AACADC,AAAADD,AACABD,AAABDC,DDDDAA,AAAADD,AABADC,CCDADC,DDCCAA,DDADBA,DDDAAC,ABDBDA,CBAAAD,BBDADA,CCAADB,DDDCBA,AAAADD
36,CCBADD,AAADDC,AAAADD,AAAADC,BBDADD,DCCAAD,DDCCBA,CCDDAA,DCAABD,AAAADD,AAAADD,AAAADD,CCCDBA,DDDDAA,DDDDAA,DDDDAA,DCCAAD,AAADDD,AABBDD,DDDCAA,AAAADD,BBAABD,DDDDAA,DDDAAB,DDDCAB
37,DDDDAA,BAAADD,DDBADB,DDCAAD,CCAADD,AAADDD,AAAADD,DDCDAA,DDDDAA,DDDDAA,DDDDAA,AAAADD,AAAADD,DDDDAA,DDDDAA,BBAADD,AAAADD,AAAADD,BBCDAA,DDDADA,DDDACA,BBABDD,DDAADC,DDDADA,DDADAB
38,AADDDA,DDDBBA,DDBDCA,BBAADD,DCDAAD,ABDADA,AAACDD,CCDAAD,DDDCAA,DDDDAA,DDDDCA,DDDBAC,AAAADD,BCDDAA,DDDDAA,AAADBB,DDDDAA,BBAACD,AAACDC,DDDAAD,AAAADB,AAAADD,AAABCD,AAABDD,DDDDAA
39,AAABDD,DDCDAA,AADDDA,CCAACD,DDDDAA,AAADDD,DCCAAD,AAAADD,DDDDAA,DDDDAA,AAAADD,DDDDAA,DDAAAC,AAAADD,AABDDB,DDDDAA,AAAADD,DDAACC,DDDAAD,AABADB,AAACDC,AAAADD,DCBAAD,AABDDA,ABCDDA
40,AAABDD,AAABDD,DDDDAB,AADDDA,DDCDAA,BBAADD,AAACDC,DDDDAA,DDDCAA,AAAADD,DDDDAA,AAAADD,ABBAAD,AAADDC,AAAADD,DDCDAA,DDDACA,DDDDAA,AAAADD,ABCDCA,DDDDAA,AAAADD,DDDDAC,AAAADD,DDBAAC
41,DDDDAA,DDDCAC,AAADDB,AAAADC,DDDAAD,DDDAAC,AAAADD,DDDDAA,BBBDCA,AAAADD,DDDCAA,DDDDAA,CCDDAA,CCCAAD,AAAADD,AAAADD,DDDDAA,DDDDAA,DCCAAD,AAAADD,DDDDAA,AABDAB,AAAADC,DDDBAB,DDDAAB
42,AAACBD,AAACDD,AACDAD,BBDADB,DDCDAA,DDDDAA,DDDDAA,DDDCAC,AAAACD,AAACCD,AAACDD,AAADCD,AAACBD,AACCDC,DDDABA,DDCDAA,DDDDAA,DDDDAA,AAACBD,AAAADD,AAACDD,DDDDAA,AADBDA,CCDBDA,DDCDAA
43,AABDDA,DDDDAA,DDDDAA,DDDDAB,DDBDCA,AAAADD,AAAADD,AAAADD,AAAADD,BBCADD,ABCCDA,DDDDAA,AAAADD,DDDDAA,AAAADD,DDDDAA,DDDCAA,CCADDA,DDDDAA,AABBDD,BBACAD,AAAADD,AACACD,AAABDD,AAABDD
44,AAAADC,CCADDA,DDCAAD,AAADDD,DDDDAA,AAABDD,DDDAAD,AAADDB,DDDDAA,DDDDAA,CDDDAA,DDDDAA,AAAADD,AAAADD,AADDDA,DDDDAA,BAAADD,DCBAAD,AADADD,BCDDBA,CBAADC,AADADB,DDDDAA,AAAADD,DDDCAA
45,AAADAD,CCDDBA,AAAADD,CCDDAA,DDDDAA,AAABDD,DDDDAA,DDDCAA,AAAADD,AAAADD,AAAADD,AAABDD,DDDDAA,DDDDAA,CCDDAA,AAAADD,CCDDDA,DDBAAD,AAAADD,DDDDAA,CCAACD,AAABDD,DDDDAA,AAAADD,DDDDAA
46,DDAADB,BBDDBA,AAAADD,AABDDA,DDCAAD,DDDDAB,BBDDAA,DDDAAC,DDDCAA,AAAADD,AAAADD,AAAADD,AAAADD,DDDDAA,DDDDAA,DDDDAA,CCAACD,ABDDAA,AAAADC,DDBAAD,CCDAAD,AAABDB,DDDDAA,AAABDD,DDDAAB
47,BBAADD,DDBAAD,AAACDD,CCDDAA,AAAADD,AAACCD,DDDDAA,DDDDAA,DDDBAC,AAAADD,AAABDD,AAABDD,DDDDAA,DDDDAA,DDDDAA,DDDDAA,AAAADD,AAABDD,BCDDBA,BBDADA,DDCDAA,AAABCD,DDDCAA,DDDAAA,DCADAB
48,BBDDDA,BBDADB,DDCDAA,DDDDAA,AADCDC,AAADCD,AAAADD,DDDDBA,DDBDAC,DDCDCA,DDCDAA,AAAADD,AAAADD,DDDCAB,DDDDAA,DDDDAA,DDDCAA,BBADAD,AAAADD,AAAADD,DDDCAA,AAADDC,AAADDD,DDDAAB,AABADD
49,ABDDDA,DDDBAA,AADADB,DDDAAA,AAAADD,AABADD,DDBDDA,AABCDC,DDDDAA,CDDCDA,DDBDAA,DDDDAB,AAAADD,ABDDBA,DDDDAA,DDDBBA,DDDDAA,BAAADD,AABBDD,AAAADD,ABCDAA,DDDADA,AACADC,AAAADD,AAADDC
50,BBBABD,AAADDC,DDCDAA,CCDDAA,AAADDD,DDDDAA,DDDDAA,DDDDAA,BBAAAD,AAABDD,AAAADD,AAAADD,AAAADD,DDDCAA,DDDDBA,DDDDAA,DDDDAA,CCDCAD,AAADBD,AACADD,BCDDDA,BBDADC,DDDDAB,CCDDAA,DDDAAB
51,AAAADD,BBAADD,DCCAAD,DDDDAA,AAAADD,DDDDAA,DDDDAA,AAAADD,DDDDAC,DDDADA,DDDCAA,DDDAAB,AAAADD,DDDDAA,AAAADD,AAAADD,CCDDBA,DDDCAA,DDDDAA,CCBAAD,AAAADD,DDDDAA,AAAADD,DDDCAB,CDDAAB
52,CCCAAD,DDDCAA,AAABDC,DDDCAA,AAAADD,DDDCAA,AAAADD,DDDDAA,AADABD,CCDDAA,CCAADB,AAADDA,DDCADB,AAADDC,AAAADD,AAAADD,DDCDAB,AAADDB,DDCDAA,AAAADC,DDDDAA,AAAADD,DDDCAB,AAAADD,AAADAD
53,AAAADD,AABDAD,DDDCBA,BBDAAD,AABADD,DDCDAA,DDDDAA,DDDBAA,AAAADD,AAABDD,AAACDD,DDDCAA,AAAACD,DDDAAB,AAACDD,DDCDBA,DDDDAA,DDDDAA,AAAADD,AAABDD,CCBCDA,DDDBAA,CBADAD,AACADB,DDBADB
54,DDDCAA,DDADAD,AACADD,AAACDC,AADDCB,CCBADD,AAADBD,DDADAB,BBADAD,AADADD,AABCCD,AABDAD,AAADCC,DDDAAC,DDDADA,DDDBCA,DDDBAA,DDDDAA,CDDDAA,DDBDDA,DDDAAA,ABCDAB,BBBDDA,DDDAAA,AAAADD
55,AAAADD,DDBDCA,AAACDC,DDDAAC,DDDDAA,AAACDD,DDDDAA,CBBABD,AAAADD,DDDDAA,DDDDAA,DDDDAA,AAAADD,DDDDAA,AAAADD,AAAADD,AABCDB,DDDDAA,AAAADD,CCCDCA,DDCAAC,AAACDD,ABBDDA,AAACCD,DDDADB
56,ABDDDA,DDDDAA,DDDDAC,DDBBAC,DDDBAA,BBDCCA,AAAADD,DDDDAA,BAADAD,AAABDC,DDCDAA,AAAADD,AAAADD,DDDDAA,DDDCAA,AAAADD,CCBACD,AAAACD,AAAADB,DDBBCA,DDDCAA,CDDDAA,AAADAD,AADAAD,CCBBAD
57,AAAADD,AAAADD,DDDCAB,DDDCAB,DDDDAA,BBADDA,DDDDAA,DDDAAC,DDDAAD,AAAADD,AAAADD,AAAADD,AAAADC,DDDDAA,DDDBAA,AABADD,BBCAAD,AAAADD,AABDAD,DDDCAA,DDDDAA,DDADAC,AAABDD,DDACDA,DDAABD
58,ABDADB,AAADDC,DDDDAA,AAAADD,DDDDAA,DDDCAB,DDDDAA,BBAADD,DDDCAB,AAABDD,AAACDD,AAAADD,AABADD,DDCDAA,DDDDAA,DDDDCA,DDDBAA,DDBAAD,AAAADD,AAABDD,DDDDAA,BBAADD,AAABDD,DDDDAA,AAAADC
59,AAAADB,DDDDAB,AAABDD,AABADD,CBAADD,DDDDAA,DDCDAA,DDDDAA,DDDDAA,DDCDAA,AAAADD,AAAADD,AAAADD,DDDDAA,DDDDAA,DDDAAD,AAAADD,AAACDD,CCCDDA,DDCDAA,BBCDAA,DDBCCA,AABADD,BBADAD,DDCDAA
60,AAAADD,CCDAAD,AABDDB,AABDDC,AAACDD,DDDBCA,DDCDAA,DDDBAA,AAAADD,AAAADD,AAAADD,AAAADD,AAAADD,DDCDAA,DDCDAA,DDDDAA,DDDCAA,CCCAAD,AAAADD,AAAADD,BBDDBA,AABADD,CCDDDA,CCDDAA,CBAACD
61,AAADDB,CCBAAD,CCDDAA,DDDCAA,AAAADD,DDDDBA,DDDDAA,BBBADD,AAAADD,DDDDAA,DDDCAA,AAAADD,AAAADD,AAAADD,BBBDDA,DDDDAA,CCBACD,AAAADD,DDDDAA,DDDAAB,AAAADD,BCCDDA,CCAADD,AAABDD,DDDBAB
62,DDDDAA,DDADAB,AAADDB,AAABDD,AAAADD,AAAADD,BAAADC,DDDDAA,DDDDAA,DDDDAA,AAAADD,AAAADD,AAAADD,DDDCAA,DDDDAA,DDDDAA,DDBDAC,AAAADD,AAAADD,BBABDA,AABDDD,DDDAAB,DDCDAA,DDDABA,BAAADD
63,AAAADD,DDDADA,DDDDAC,DDADAC,DDDABA,DDDDAB,CDDAAA,DDDAAA,DDDCAC,AAAADD,AABADD,AAAADD,AAAADD,DDDCAA,DDDDAA,DDDDAA,CDDCAB,AAAADD,AAAADD,AACADD,CCCDAA,BBBCDA,AAACDC,AABDAB,CCAADA
64,DDCDAA,DDDAAB,DDDCCA,DDADAC,AADBDA,BBCADD,BBAADD,AAAADD,AABADD,AADADC,AAACCD,DDDCBA,DDDDAB,AAADDA,DCAADD,DDDCAA,DDDDBA,DDDDAB,AADBAD,BCDACB,AADADC,CCDADA,DDDAAB,DDDDAA,AAAADD
65,AAAADD,AADDAB,DDDDAA,DDDADB,AADCCC,AAAADD,CCADBA,DDCDAA,DDBCAC,DDDAAC,AAABDD,AAABDD,AAAADD,DDDDAA,DDDDAA,DDDDAA,DDDABA,DDDDAA,AAAADD,AAAADD,AABDCD,DDCAAB,BBCCAD,CCDDAA,ABDABC
66,AAAADD,AABACD,AACADD,DDADAA,BAACDC,CCDAAD,DDDDAA,DDDDAA,DDDDAA,AAAADD,AAAADD,AAAADD,AAAADD,DDDCAA,DDDDAA,DDDDAA,DDDCAA,AAAADD,AAAADD,AAAADC,AACDAD,BBBDDA,AAADBD,CCCDBA,DDDBBA
67,AAADDC,AAABDD,DDDBCA,DDDCAA,BBDDBA,DDDBAA,DDDADA,DDDCAB,CCBADD,AAAADD,AADDDB,DDDDAB,AAAACD,AAAADD,AAAADD,DDCDAA,DDDDAA,DDDDAA,DDCCBA,DDDAAB,DDADAB,CCDAAC,AAAADD,AABDAC,DCBDAA
68,CCDDBA,DDDDAA,CBADAD,CCDDCA,AABADD,BBBADD,AAAADD,AAACDD,AAAADD,AAAADD,ABBDDA,AAABDC,DDDDAA,AAAADD,BBBADD,ABDADB,CCCDDA,CCDBDA,DDCBDA,DDDDAA,DDCDAA,DDDDAC,AACADC,DDBDAA,AABADD
69,AAAADD,DDDABA,DDDDAA,DDCDAB,DDCDAB,DDDCAA,CCDDAA,DDAAAD,DDCAAD,AAAADD,AAAADD,AAABDD,AAAADD,DDDCAA,DDDCAB,DDDDAA,DDDDAA,DDDDAA,BBBDAD,AAADDC,AAADBD,AAAADD,BAAADD,AAAADD,CDDDAA
70,DDDBAB,BBADDA,CCBAAD,AABADD,DDDCAA,CCDDBA,AAAADD,DDDDAA,DDDDAA,BBBDDA,DDDDAA,AAAADD,AAAADD,AACDDA,DDDDAA,DDDDAC,AAADDB,AAAADD,AAAADD,DDDBAB,AADDAB,AAAADB,DDDDAA,BAAADD,CCCACD
71,AABDDB,DDCDAA,DDDCAA,DDAADC,DDDCAA,AAAADD,AABADD,AACBDD,AAAADD,DCACDA,DDBDAA,DDDDAA,DDBDAA,AAAADD,DDDCAB,BAAADD,CCCDAA,DDDDAA,DDDCAA,CCDADA,BBBADD,BBADAD,AAAADD,AABBBD,AAAADD
72,DDCDAA,DDBBAD,ABDCCA,AADADD,ABDDAC,AACDBB,DDDDAD,CCADAD,AAAADD,AAAADD,AABCDC,AAACDB,DDDDAA,AACABD,AAACDD,DDDABA,DDDBBA,DDDCAA,DDDDAA,DDADAA,AABADD,ABDDAD,AABADD,BCBDAA,AAAADD
73,AAABDD,DDCDAA,CDDCCA,DDDCAC,AAADDB,DDADBA,DDDCAA,DDDBAB,AAAADD,AAAADD,AAAADD,AAABCD,CCCDDA,DDDCAA,DDDDAA,DDDDAA,DDDDAA,AABADD,AAACDD,AAAADD,CBAACD,BBADDA,BBAADC,BBAADA,DDCDBA
74,AADCDC,DDDCAC,BBADAD,DDCADA,AACDDC,CBADDB,AADDDA,DDDDAB,DDDDAA,DDDDAA,DDDABD,AAABDD,AAAADD,AAADDB,DDDCAA,DDDDAA,DDAACD,AAAADD,AACDAD,BBACDD,DDDAAB,DCAADC,CCADDA,AADADD,AACCAD
75,AAAADD,AAACDB,DDDDAA,DDDDAA,DDDDAA,DDCDAA,AAAADD,AAAADD,AAABDD,AADCDB,DDDCAA,DDDDAA,BBAADC,BBAAAD,AAAADD,AABADD,DDDDBA,DDDDAA,DDDDAA,DDDDAB,AAAADD,AAAADD,AAABDD,AAABDD,DDCDAA
76,AAAADD,CCBDDA,CDDDAA,CBAACD,CCDDDA,DDDDAA,AABCDD,DDDAAC,AAAADD,DDDDAA,DDDDAA,AAAADD,CDDDAA,DDDDAA,AAAADD,AAAADD,DDDDAA,DDDCAB,AAAADD,DDDDAB,CDDDAA,AAAADD,CCDAAD,DDDDAC,CDDADC
77,AAAACD,AAAADD,CCDDBA,DDDBAA,DDDDAA,DDCDBA,DDDDAA,AABADD,BBAACD,AAAADD,AAAADD,AAABDD,AAAADD,DDDCAA,DDDDAA,DDDDAA,DDDDAA,AAAADC,CCBDDA,AAAADD,AAADDA,AACABD,AAAADD,BBAADC,AAADDC
78,DDDDAA,AAACDD,DCADAB,CBADAC,DCBDAC,BBCDAB,BBADDC,AAAADD,AAAADD,AABADD,AAABBD,CCCDDA,DDDDAA,DDDADA,AACACD,AAADAD,CCDDAD,DDDAAB,DDADAB,DDDAAC,AAADDA,BBBDDA,CCABDA,DDDACA,AAABDD
79,CCADAB,DDBDAA,DDDBAC,DDDBAA,BBAADD,BBAABD,CCBDAB,BBCDAA,DDCAAC,CCDDDA,DDDDAA,BBBDAD,AAAADD,AADDDB,DDDCAA,DDDDAA,DDDDAA,CBAADD,AABDAD,AAABDD,DDAABB,DDCDAA,BBBADD,AAAADD,AACDAB
80,AAAADD,BBDDBA,AAADDC,DDDDAA,AAABDD,DDDDAA,DDDDAA,AAAADD,DDDDAA,BBABAD,AAADDC,AAAADD,AAACAD,ABDDAB,DDDDAA,DDDDCA,DDDDAA,AAAADD,DDDDAA,AAAADD,AAAADD,DDDDAA,AAAADD,DDDDAA,CCDDAA
81,AADDBC,DDDCAA,DDDADA,AAAADD,BAAADD,BAAADD,BCDDAA,DDDDBA,DDACAC,ABCBDA,CCDDCA,CCDAAD,AAAADD,DDDDAA,DDDDAA,DDDDAA,DDDDAA,CBADCC,CCCDAA,AAAADD,CCBABD,DDDDAB,BCCDAB,BBDDAD,AAADCC
82,BCDBAD,CCADCA,DDDDAA,DDDDAB,DDDDAA,DDBDCA,DDDAAC,DDDDAA,AAAADD,AAABDD,AAAADD,AAAADD,CDDDAA,DDDDAA,AAAADD,AAAADD,DDDBAC,AAAADD,CDDDAA,AABDDA,BAADAC,DDABAD,AAAADD,AABBDD,BBDABD
83,CCDDAA,DDDCAA,DDADDA,AAACDD,AAAADD,AAADBD,CCAADC,BBCDDA,DDAADB,DDDDAA,AAAADD,AAABDD,AAAADD,DDDDAA,DDDDAA,DDDDAA,AAAADD,AAAADD,AAAADD,AAADCD,DDDDAA,DDADAA,DDDDAA,DDBAAC,AAAADD
84,DCAADB,BBDDAA,AAABDD,AAADDB,CCAADD,DDCAAD,CCDBDA,DDDDAA,AAAADD,DDDDAA,AAAADD,AAAADD,AAAADD,AABDDB,DDDDAA,DDDDAA,DDDDAA,AAADDD,AAAADD,BBAADD,AAACAD,DCAADD,DDDDAA,DDDDAA,BBBDBA
