,0,1,2,3,4,5,6,7
22,DCBAADFFECB,ACEFFDBAACE,FFDBAAACEFE,EBCDCEFECAA,AABBBBDFFFE,BEFDCACFFBA,EDEEFECBAAB,ABABCEEFFDE
23,BDEFEEDBCBA,BAABDEFEEEE,BBBAABCEFFF,FFEEDCBAAAB,EEDBAABCDEF,EFFFEDBBAAA,AABCCCBDFFE,BAACDFFDCEF
24,AACEEEFEECB,FFEEDDCBAAA,AAABCCDEFFF,EEFEEDCCBAA,CBCCAABCEFF,EEEEEEDCBAA,FFDBBAABCEE,AAABCDDEFFF
25,AADEEFEEDCA,FFEEDDCBAAA,AAABCCDEFFF,EEFEEDCCBAA,DCDBAABCEFF,CDDEEEEDCAA,FFECBBBBBCC,AAABCDDEFFF
26,CEFFFDDBBAA,FFCDDBBBBCB,CBBBBABCEFF,AACDEFEABDE,FFFECBBAABC,FFFEDBAAABB,ABCBBDDFFDB,AAABBCEEEFF
27,FFFECDCCAAB,FFEDCCBABBB,AAABCCDEFFF,ABCDBCADFFC,EDBAAABDEFF,BCCEEFFDDAA,FFEEDCBBBAA,AABBCCDEFFF
28,FFFCAABCCCC,FFEDDBBBBBB,EFFEFDAABBA,AABCDEFFECA,CBAAABCEFFF,AABCDEFFFDC,FEEDBCEDDAA,AABBDEEFFEC
29,ABCCCCCDEFF,AABCDEEFDED,EFFEEDCBBAA,BAAABCDEFFF,BCEFFEDCBAA,CCBBAABDFFF,FFFDDCBBBAA,AABCCCEDFFF
30,CDEFFEDCBAA,FFEEDCBBAAA,AABBCDDEEFF,DEFFEDBAAAC,FFFDBBAABDF,DDEEEEEDBAA,FFECBAABBCC,ABBBBCCDFFF
31,AACEEECEFDB,BAADFFFEDBA,AABDEFFECDD,EBABDEFEEBA,AAACEFFEEDC,BEEFFECAABA,FFDAABCBBDE,ECAAACDEFEF
32,FFFDCAAABCC,DFFDBCEDCAA,FFFFDDCBAAA,AAABCDDEFFF,FFECBBAABDE,AAABDEEFEEE,FFFEEDCBAAA,AABCCEFEFEB
33,DBCEDBAADFF,FCAABEFFDBA,ABDFFFDBBBC,EFFDBAAABDD,BAAACEEDEFF,ABEFDCCBCEF,FFECBAABDEE,CBAABDEEEFF
34,FFECABBBBCC,AACDDEEDDEE,FEEDEEDDBAA,FFECAABBCDE,ABDFFFEDCBA,DCBAABBDEFF,ABDDEFEDCCC,FFEEEDBBAAA
35,FFFDBAABBCC,AACDFEDDDDD,AAABDDEEEFF,AABBCCDEEFF,FFDAAABCDEE,FFFFDCCBAAA,FEEEDDDBAAB,EFFBACDDDBA
36,BABBCEDCCFF,ADFEDDEDAAC,FFEEEDCBAAB,AABBCDDEEFF,FFFEDCBBBAA,EDCBAAACEFF,ABBDECBBDFF,EEEFEDCCAAA
37,FDBBAADFEEE,CAADBBDDDFF,EEEEEECCBAA,FFEDCBAABCE,BCEFFEDCBAA,AABBBCDEFFF,EFECDCCCDAA,AACFECFEDCC
38,FFFEECCBAAA,BADDCABEFFE,BDEEDBEFDAA,FFEEDDCBAAA,AABEFFEEDCB,EFFEDCBAAAD,BBCCBABDFFF,AABBBCDDEFF
39,ACEFFFDBCCA,DADFFECBBBB,AAABCDFFFEE,FEDBBDEFDBA,BAABBCDEFFF,FEDBBCFEABB,BAABDEECEFF,ACDCBABEFFE
40,ABCCDFFFDBB,FFFEDCBAAAC,DEFFEECBAAA,AACEEEDCDEE,AAABDEEEEEF,FFEEDDDCBAA,BCDEFFEEBAA,ABCCCBBDFFF
41,EDBBBAACFFF,CEFEDCCDAAA,ABDFFFCBCCA,DEFFEDCCBAA,DEDBAAACEFF,BDEFFEDCBAA,AAABCDEFFED,CDCCEFFEBAA
42,AAACCDEEFFF,EEFEEDCBBAA,FFECBAABCCD,AAABCDEEFFF,AAADEEEEEDC,FFFEDDCBAAA,AAABCDEEFFF,FEBBDEDCDCA
43,FFFEEDCBBAA,FFEEDCBAABD,AABBCCDEFFF,DDDEEEEDCAA,AADFFECBBDE,FFFEDAABCCB,FDBAABCEEEF,AAABCCDEFFF
44,EEFEDEDBAAB,ACCEEDBACEF,CAACEFFECBA,FEEEEECBBAA,AAABBCEEFFF,EDCAAACFEDF,CCDEFFEBABB,EFFEEDBAABC
45,ABBDFFDBADF,FFEDBAAACEE,FFEDBAAABCD,AAABCCDEFFF,FFEDCBBBBBA,CCEFFFEBAAB,BDEFFFDBAAB,DEFFECAABCD
46,BBBBDDCBCFF,DFFDDBCEBAA,FFEEDCCDBAA,AABBCDEEEFF,DEFFEDCBAAA,EDCBAABDFFE,ACFDBABEEDF,EFFEEDBAABB
47,BBCCBABCEFF,EEBAABECDEF,FFFEDDCBAAA,AABCCDEEEFF,FFFDCCBBBAA,BBBABCDEFFF,FFEDDDDCAAA,CDEFFEDCCAA
48,FFFDDCDCBAA,DCAABCCCFFF,DDEFFEDBAAA,FEECCBAABEF,CDFFECCDBAA,FFFEDCBAAAB,AABBCDEFFEE,AABBCEEFFDE
49,FFFEDBAABBB,DBAAABEEEFF,EDCADFFECAA,FFFEDCCBBAA,AABDFFEEDCB,FFFEECBAAAB,ABBBBBEEFFE,CCCBABCBDFF
50,AAACDDDFFEE,DECAAEFFDBA,FFEEDCBAAAB,AAABCDEEEFF,CEFFEDCBBAA,FFFEDCBBAAA,AAABDDEEFFE,CBCDFCAEFCA
51,AABDDEFEBBE,FECAABDEEDD,DCAAACEFFEE,FFFEEDCBAAA,BCEFFDBAACE,DDEEFFECBAA,DCCBBABCEFF,ECAAACEFFDD
52,CBBEEBAADFF,EBABDFFECBA,ACFFFDBABBC,FFECABBBCDC,BAAABDDDEFF,ABEECBACEFE,FEDCDEEDBAA,DEFECAAACEF
53,AACEEFEEDCC,AAABCDEFFED,FFEDCAAABCD,AABDDEEEEEE,AADFEBCCDEE,FFEEEDCBAAA,AAABCDEEFFE,FDBBACBBEFE
54,FEEDBAABCCF,AACBDEDEEEF,ACDFCDBCBEE,AAABCDDEFFF,AEEEFCCDCCB,FEEEEDDCBAA,FFEDCCBBCAA,DFDDEFDDCAA
55,ABEEFFDBACC,EBBDDDBACFF,DDCBAABCEFF,FFEEDCCBBAA,ABDFFDBABEF,BBDEFFFECAA,DDEEFFECAAA,AABBDDDCEFF
56,EFFEEDCBBAA,FCBEBAACFED,DEFFFECAAAB,BDEDCBAACFF,DEFFEDCBAAA,ABBBCBCDEFF,EFFEDCCCCAA,EEAAACBDFEF
57,AAABDEFFEDD,FFEEDCBABBA,FFEDBABBBBB,AAABCDDEFFF,EFFFECBBAAA,AABCCCCDEFF,EFEFFDBBBAA,BAAABEFFEED
58,BBBBDFFFDBA,ABDEFEEECBB,FFEBAACDCCC,AABCCDDEEFF,CDFFEECBBAA,FFFEDCCBAAB,ABCEEFFECBA,AABCDEFFFDB
59,CDDCBAABDFF,ABEEEEEEDBA,FFEEEDCBAAA,BBBABCDEFFF,DEFFEDCBBAA,AAABBCDEFFF,FFFEDCBBBBA,BBAABCEEFFF
60,BBCCCABDFFF,ABBBBEFFFEC,FFEDDBBAABC,AABBCDEEEFF,CEFFEDCBBAA,FFFEDCBAAAB,AABBCDEEFFE,DDDEFFDBBAA
61,BCCBAABEFFE,CAAABDEFFEE,EDBAAABCEFF,FFFEDBBAABB,AAABCEFEEFE,FECBAABCDFF,FFECBAABCDE,DEDBAABCEFF
62,FFEDBBABCDC,AABBBCDEEFF,DEEEEEDCBAA,DBAABCDEEFF,BCEFFEDCBAA,EEDBAAABDFF,AACDDEEDEEE,FEEEEDCBAAA
63,CEFFEDDCCAA,DBBDDBAEFDD,FFFEDCBBAAA,AAABCDEEEFF,EFFFECBBAAA,FFEBBBAABDE,AABBDDEEFED,DEFABEFBDDB
64,FFEDBBBDCBA,ECCDEFEBABE,AABBBCDEFFF,ABCCCEEFEDA,FDACEFECABB,FFEEEDDBAAA,ABACEBCCFFF,DDDDFBCEFAA
65,AABCDDDFFDB,BBBBBCCDEFF,FFFEDDCBAAA,BAABCDEEFFF,AABDFEEEDDD,FFFEDCCBAAA,AAABCCEEFFF,CAABCCCFFFC
66,AAABCDEEFFF,FDDCCEECCAB,FFEDEDCBAAA,AABCCDEEEFF,EFFFECBBBAA,FFEDCAAABDE,AABBCDEEFEF,CEEBCEEDEDA
67,AAAACEFFEEE,FCABFFDDCBA,FFFEEBABABB,AAECDFDDDCC,AAABBCDEFFF,FEEEEDDCBAA,FFEDDBBBBBA,BAAABCEEFFF
68,FFFEDBABABB,EFDAACDCCDE,AABBBCDDEFF,BCDDDFDABDD,FDBAABDEEEF,DDDEFFDBCBA,EEEEFECCBAA,EDCCBCEEDCA
69,AACEFEEEECA,FDBDEDCFDBA,FFEDBBBBBAB,AABBCDEEFFF,BCFFEDCBBBB,FFFEEDCBAAA,AAABCDDDEFF,AABBCCDEFFF
70,FEEDCECBAAC,AACEFEDDEDB,BCEFFEDDCAA,FFFECBAABBC,AABDFFFEDCB,BAABCDDDEFF,CEFFCAABEDC,EFFEEDCAAAB
71,EFFEEDCCBAA,FCFEFDBAACC,AAABCDDEEFF,FFFEDDCCBAA,BAAABCFFFEE,EEEEEEDCBAA,FFECCCBABBC,AAABBDEEFFF
72,FFEDBAACECB,AACDEECCEEE,CBACBBBDEFF,AABCCDEEEFE,FECAAABCDFF,FEEEEDDBAAA,FFEECCBABBB,ABABCDEEFFD
73,ADFFFECCCBA,FDADCFDDBCA,FFEDBAABBDE,AABBDDEEEFF,FFFDCBBBBBA,FFEEDCBAABC,AABBCDEFEFF,CDECCEFCAEB
74,EFFEDBBBAAC,BBBACFFECFD,EFEEEDCCBAA,FEDBAABBDEF,AABCEFFEDCC,FFDCAAABCEF,ABADDEFFEBB,FEFEBCAACCE
75,AACEEFFEDCB,FFEEDCBBAAA,AAABCCDEFFF,EFFEEDDCBAA,CBCBAABCEFF,EEEEEEDCBAA,FFDBBBABCDE,AAABCDDEFFF
76,ABDEEFDCEBA,BABEFFFDCBA,ABBCCBBCEFF,FFEEDBAABBC,FFECBAAACDE,CDEFFFDCAAA,BCDEEDCEFCA,AABCDCDFFEE
77,AAACCEEEFEE,FFEEEDCBAAA,FFCAABCCBCE,AAABCDEEEFF,DEFFECBBBAA,FFEEDCBAABB,EFEAAAEDDEC,AAABCDEEEFF
78,CCBAABBEFFE,EFEEDDCBBAA,AABBBBDEFFF,AABCCDDFFFC,FFECBBBBBBC,BCCEECCFEAB,FECEDAABDFB,EFFCBCCCBBA
79,FFFECCBCBAA,DDCBAADDCDF,DEDEFFECAAA,FFFEDCBAAAB,AABDFFEEDDC,FFFEDCBBAAB,AAABEEFFDDD,BAAACCEEEFF
80,AABBCDCDFFF,DCAAACEFFED,FDBAABDEEED,AAABCEEDEFF,AAACFFEEEDC,FFFEDCAAABC,EDCAAABCEFF,EDBAACEFFEB
81,EFEEFDDBAAA,AABCACEEDEF,EEEEFFDBAAA,FFFEDDCBAAB,ABDFFFEDBBA,FFFEEDCAAAA,AAAABDEFEEF,CBABDEBDFEF
82,EDDEDFDDCAA,FEBEFECBBBA,FCBDCBAABEF,AAABBCDEFFF,FFFDCBBAABB,AABCDDDDDFF,EECBEFFBABA,DBBCAADCEFF
83,FFFEDCBBAAA,AABCDDEEEFF,EEEEEFEBAAA,ECAAACDDEFF,CDFFFDCBBAA,CBBAABCDEFF,AABCDEFFEDC,FFFFDCBBAAA
84,BBBBCCBBEFF,DFFECCEDAAB,FFFEDBAABCD,FECAABBCDEF,AABCEFFEEDC,FEDCBAAADFF,ABEDAAEECEF,EEEEEEDCBAA
85,FFEDBABBCCC,AABBCDDEEFF,AABBDEFEEED,FFEDCBBCDBA,EDCBAABCEFF,AABBCDEEFFF,FFEEDDCBAAA,FFEDEDBABBA
86,EFCAEBEDBCA,BBAABCDEEFF,EEDFFECBAAA,FFFEEDBAAAB,AABDFFEEDCB,FFEEEDCBAAA,AABCBBDEFFF,BCABDFDEFCB
87,AACEEEFEECB,FFEEDDCBAAA,AAABBCDEFFF,EEFEEDDCBAA,BBCBAABDEFF,EEEEEEEDBAA,FFECBBABBCD,AAABCDDEFFF
88,FFECBBBBBBB,ABBBCBDEEFF,AADEFFDCCCB,AABBCCDDFFF,FFCAABBCCDE,FFFCCDDEBAA,FFFECCCCAAA,FEFAABCBEDE
89,DEEFEDDDBAA,BCADCCCCDFF,FFEEEDBAAAB,AAABCDEEFFF,FFFEDCBBAAA,EEDCBAABDFF,AABDEEFEEDC,DDDCEEFEBAA
90,ABCCDFFECBE,FFEEDCBAABD,EFEECBAABDF,CEEBAACDEEF,FFFECCBBBAA,DEFFEDBAABD,EEECBAABDEF,DEDCAAACEFF
91,AAABCDEEFFF,FFBADDCCBEB,FEFEDCDCBAA,AAABCDEEFFF,CDFFEEDCBAA,FFEDBAABCDE,AAACCCEEFFE,EFCDBDFBCCA
92,AAADDDEEEEE,FFFDCCBCBAA,FFFEDCBBBAA,AAACCEFFDDE,AAABCDEEFFF,FEEEEEDCBAA,FFECCCCBBBA,BBBBBDEDFDF
93,EFFEDCCACAA,DAABEDCCDFF,FEFEDDCCAAA,AAABCDEEEFF,FFFEDCBBAAA,DBABBBCDEFF,FCEDEEDBAAC,AAABCCDEFEF
94,AACDEEFEDCA,FFEDDCBBAAA,BBBBBBCDFFF,BCEEFFFCAAA,CEFFDBAAADE,FFFEEDCBAAA,BAAACDEEFFF,AAABBDEEFFF
95,ABDFFFEDCBA,DBAAABCEFFF,FFEDCAAABCE,AACDEEEEEDC,AABDDDDDEFF,EEEEEDDCBAA,AAABCEFFEEE,BBAABCDEFFF
96,FFFEDCCCBAA,EDBFEEBAABD,ABBBBCDEEFF,AACDDEECBDF,FFFDBAAACDD,EEEEDEDCBAA,FFEEEDBBABA,AABBCDDDEFF
97,ABCBAADFFFE,DBAABEFFEDC,CBAABCEFFFE,FFDBBBBCCCC,AAABCEFEEEE,FFEEEDCBAAB,FFFECBAABCE,EFEBAABCEFD
98,CBBBBCDCCFF,FFDBBDEDBAA,EFFEDCCBABA,CAAABCDEFFF,BDEFFEDCBAA,EDCAAACFEEF,CCEFFDAABDD,DDEFFEDBAAA
99,CDEFFEDCBAA,CCBBBBBCEFF,FEDCBAABDEF,AABCDDEEEEE,FFECBBBBBBB,FEEDCAAABEF,ABCEEFFDDBB,BAABBCCDFFF
100,EFFFEDCBBAA,BBABCDCCEFF,AABBCDEEEFF,EEFFEEDAAAA,FFFEDBAABBC,BBDDEEEEECA,AAACDEEFDEE,AAABCCDEFFF
101,AAABCDEFEFF,EEBEACECBFD,FFFEDCBBAAA,AABBCDEEEFF,EFFFDCBBBAA,FFFEDCBAABB,AABBBDEEEFF,BBACBCFEFEB
102,FFECAAACDDC,CFCEBBACDDE,ABBCCBCFFFF,BAACDEEDBDF,CCAABCDDFFF,EEEEEEDCBAA,FFEDCBBBBBB,ABACEFEDEEB
103,CBAADFFCCED,BCEDBABEFED,AABDCDEFEEE,FFFECCCCBAA,CBCFFECAAAE,CEFFECBAABE,EFFECBAABCE,EFFDCAAABDE
104,CAABBEEDBEF,ADFDCCEBBDF,FEEDDEECBAA,AABBCDEEEFF,FFFEDCBBBAA,CCBAABCEFFF,ABBEFEBACEF,EEEFFECBAAA
105,FFFECABBDCB,EFFFECCAAAA,AAABCDDEEFF,AABCCDEEEFF,FFEBBBBBBCC,EEFEEDDBBAA,FCBCCCCDFCA,CDEFFBABBBC
106,AABDEEEEEED,EEEEEEEDBAA,CBAAABDEFFF,BDEFFEEDBAA,FFFBAAABCEF,EEEEEEDCBAA,AAABCDEEFFF,BBAABCDDFFF
107,BDCBEFDCECA,AABEFFEDCCB,AAABCEEEFEE,CCDEEDEFCAA,FFDCBBABBCD,AABDEFFFECB,DBAAABCDEFF,FFFEDBAABCD
108,AACEEEEEDCC,FFEEDDCBAAA,AAABBCDEFFF,DEFEEEDCBAA,ABCCBBBDEFF,CCDEEFFECAA,FFEDCBBBBBB,AAABBCDEFFF
109,AABBCCDEFFF,BDBDDEFFEAA,FFEDCBAABCD,AABCDEEEEEE,AACFEDCDDEE,FFEEEDDCBAA,AAABCDEEFFF,FFEEDDCBBAA
110,FFFDBBBBBBB,AADDCDDDEEF,BABBCBCEEFF,DFEEEDDCCAA,FFDCAABBDFE,FFDEEDEBABC,DBEFFBCDCAB,FEEFDCCBABA
111,FFFECBBBBBB,AABDCEEDEEF,AABCCEDCEFF,BADCCDCBDFE,BDCAABDEFFE,FEEEEDEBAAA,FFEDDDBBBBB,EDDEFCBABBC
112,AAABBEEEFEF,FFCDCBAABEC,AABBCDDEEFF,DEEEFEDBBAA,AAABCDFFFED,FFEEEDCBBAA,ECACBCCCEEE,BCBFFFCADBB
113,ABBBBDCCEFF,FDBAACEFEDB,BAADEEDCCFF,AAABCCDEFFF,FFFDCCBBBAA,BDEFFEBAACE,DCBAABDEFFE,CAABDEFFEBB
114,ABDEFEEEDAA,FBBCCABBDDF,DDEEEFECAAA,FFFEEDCAAAB,AABEFFEDCCB,FFFEEDCBAAA,ABCEDCBDEFF,AAABCCEEFFF
115,FFFECBAABBC,AAADBEDEFEE,BBBBBBCEFFF,AABBCDDEEFF,EDDAABCDEFE,FFEEEECCAAA,FFDDBCDBBBB,EFEECEECAAA
116,DDBCAACEEFF,FFFDCBBABBC,FFFEDCBAAAD,BCDEFFEDBAA,AAABCDEEEFF,AABCDEFEFDE,FFEDBBDBACC,BCEFCACFEBA
117,CEFFDCDCCBA,FFEEDCBBAAA,AABBBCDEFFF,CDFEEEEEAAB,EEFECBAACEE,FFEEEDCCBAA,FFEECBABBBB,AABABCDEEFF
118,BBBACFFFDBB,DFFEECBAACD,EFFEEDCBAAA,AAABCDDEEFF,EFFEDCCBAAA,CDEDCAAACEF,DEFFFDCAAAB,CDDBAACEFFE
119,AABBDCEEEFE,BEFEDAABDDE,FFEEDCBAABB,AABCDEEEEEE,AABEFEDDDEE,FFEEEDCBBAA,AAABCDEEFFF,AAABCEDFFFD
120,FFECBBBBBCB,CBCBBBCDDFF,AAABBCDEFFF,FFEEEDCCBAA,AAABCDEFFFE,FFEDCBBBBBB,ABCCCCCDEFF,FFBCDCABBEB
121,CCBCDBABDFF,FFDCDBAACED,FFEDCDECBAA,AABBCDDEEFF,FFEDDCCBBAA,AABCDDCDFFF,EFFDCAABDDC,FFFEEDCBAAA
122,FFFECBAABBB,ABBCDDDDEFF,DEFFEECBAAA,FFECAAABCDE,CDEFFEDCBAA,AABBCDEEEFF,FFFEDCCCBAA,FFFEDCABBAB
123,BEFFEEBBCAA,AAABBDEEFFE,FFFEDCBBAAA,AABCCDEEEFF,DEFFECBBBAA,FFFEDCBAABC,AABCDEEEEEE,FEDDDDAACCB
124,FFFDBBBBBBA,AABBCEDDFFF,AAAACDDDEFF,ABDDEEEFFCA,EEEEEEDCAAA,FFEEDBAAABD,DDEFFEEBAAB,FECEECCCDBA
125,AAACDDEFEEF,FECEEBADDBA,CBAAABDEFFF,BCDDEEEFEBA,FFEDCCBBBBB,AABBCCDEFFF,ABBABDEFDEE,BCABDEEDBDF
126,AABDEEEEEDD,FDEEECCCBAA,EDCAAACDDEF,AABBCDEEFFF,FFEDCBBBBBB,ABBCBBBDFFF,AABDCBCEFFE,AAAACEEEFEF
127,AABDCDDDFFE,FEDCEEEDBAA,EECBAABCDFF,AABCDDEEEEF,FFFECBBBBBB,FFFEDCBAAAB,AABCCDEEEEF,FEDEECBCDAA
128,FFFDBAABBCC,ACCCDEFDCCF,AAADCCDEEFE,CDAAACEEFFE,AAACCEEEEFE,FFEDEDBBBBA,BAADCBDFEEE,FEFECDECBAA
129,EEFFEDCCBAA,AAABCCDEFFF,FFFFECBAAAB,AABCCDEEEFF,FFEDCCBBBBA,BBBBBBCDEFF,CEFFEEDCBAA,FECBABBCCDF
130,AABCCDDEEFF,AABCDFFEFCB,FFEDCBAABCD,AABCDEEEEEE,AABFEDDDEEE,FFEEEDCCBAA,AAABCDEEFFF,FFEEDCCBABA
131,DEFFEEDCBAA,FECCBBBABDF,AAABCDDEEFF,DEEEEEECAAA,AACFFECCBCE,EFEEEDCCBAA,FFEDDCBABAB,AABBBCDDFFF
132,AABCDEFEDFC,DEFECDDDBBA,FEDBBAABCDF,AABCCDEEFEF,FFEDCBBBBBB,FECBAABBCEF,AABCCDEFFEE,ABBDBCEFECE
133,ECACEDBABEF,EBAABDFECEE,DBABBDFFEDD,DCEFFDBBAAC,BAADEBCEFEE,ABEFFDCBACF,FECBBCEFEBA,ABDFECAACFF
134,AACEEEEEEDB,FFEEDCCBAAA,AAABBCDEFFF,EEFEEDDCBAA,BBCCBABCEFF,DEEEEEEDBAA,FFDCBBABCCD,AAABCCDEFFF
135,DEFEEECBBAA,FFEDDCAAABB,BABABBDEEFF,CDEEFFEBAAB,EFFDBAAACEF,FFEEEDCBBBA,FFDCBCBBACD,AAABCCDEFFF
136,ABCBBCEDFFE,CBBCCBCFEFE,FFEEDCBBAAA,AABBCDEEFFF,BDFFFDCBBAA,FFEEDCBBAAB,AAADDDEEEEE,BBABCEFEFFB
137,AAABCDEEEFF,FEEDDDCCBAA,FFFEDCCBAAA,AABCCDEEEFF,EFFFEDCBAAA,FFECBAABCEF,AABCDDEFEEE,EDECEEEECAA
138,AAABDEEEEEE,FFEEDCDCBAA,FEDCBAABCDE,AABCDEEEEEE,AAEFECCCCDE,FFFEEDCBAAA,AAABCCDEFFF,AABDFDEFEEA
139,AABCCEECDFF,ECABEFFECAB,CBAABBCDFFF,CCDBAABDEFF,FFDBAABBCDE,FFFDBAABCDB,CBDFFFEBAAC,BDECAACEFFC
140,DEDBAABDFFF,BFEBACBBDFE,EEEEEEDCBAA,EBAABCDEEFF,ABCFFFEDCBA,FEDCBAABCEF,AABCDEEEEEE,FFFEECCBBAA
141,DCCFFFECAAA,CEFDCAAACEF,DBAABCEFEEF,FECDBDEBAAE,FEBACDCBCCD,BDEBBBBBCFF,FCBBAACEFFC,BAAABDEEFFE
142,FFFEDCBBAAB,EEEFECCAAAB,BBBBBBCDFFF,AABCCDEEEFF,FECAAABCDEF,EEEEEDDCBAA,FFDDDDCBBAA,ACBDEEFEBCB
143,AAABCDEEEFF,EEEEEDDBDAA,FFEEDDCBBAA,AABCCDEEEFF,ABDFFEDCCBB,FFFEDCBAABC,AABBCDEEEFF,DCCEFEDDCAA
144,FFFDBCBBBBA,AAABCFFFDDE,ADFFEBBBCCD,AACDDCDDDEF,BBBABCDEFFF,FFEEEDDDBAA,FFEEDCBBBAA,DEDBCDACFDA
145,FFEDAABBBEE,ADBDDCFEDDD,FEEEEBBBABC,AAABCDEFFFF,BABBBBDEFFF,FFEEEDDCBAA,FFEBCCABCCD,EDDEEEDBCBA
146,EEFFEDCBBAA,FFEDDCAABBC,AABBCCDDFFF,BDEFEEEDAAA,EEFDBAAACEF,EEFEEDCCBAA,FFFEECBAABA,BAAABCDEFFF
147,ABCEEFDEEBA,BEFFECAABDF,FEDCBBAABEF,FFEEDBAABCE,FFECBAABCDD,FFECBBAABCE,EFEDEEDCAAA,ABCEECACEFF
148,ADFFFDCDBAA,CCCBAACEFFF,DCBBAACDEFF,FFEEDDCBAAA,DEEBAAACDFF,EFFEDCBBBBA,AABBCDEFFFC,AAABDEFFFDD
149,FFFEBBBABBC,AABBBDDEFFF,FFFEDCBBAAA,AABCCDEEEFF,FFFEDCBBBAA,FFEDCBAABCE,AABCDEEEEEE,FFEDCBBBABC
150,CBBBACDCDFF,FFEDDBBDCAA,ADCEFEECDBA,FECAAABCEFF,DEFFEDCBAAA,AAABCDEEEEF,EDDFFEDBAAB,EDBDDEFEBAA
151,AACDEEFEEDC,FFEEDCCBAAA,AAABBCDEFFF,DEFEEDDCBAA,BBCCBBBDEFF,DEEEEEEDBAA,FFEDCBAABBC,AAABBDDEFFF
