,0,1,2,3,4,5
42,ACEEE,FEDBA,ABDEF,AEFDA,FBABF,CECDB
43,FECBA,BACEF,CDEEA,AFBDD,EEEAB,ABCEF
44,DDBAF,BADCF,FEDBA,ABEFD,ABDEF,DEEAA
45,ADBDF,CDFDA,ACDEF,FDBBC,DABFE,AEFBD
46,BBBEF,EEDDA,DABEF,FFDBA,ACDFD,EEEAA
47,BABFF,EEECA,ABDEF,FDCBA,ACEEE,DCFDA
48,FEDBA,ABDFE,EECAD,EFDBA,CABDF,BACFE
49,FECCA,ACEDF,FEDBA,AFECB,EABDE,CCBBF
50,ACDEF,EFDBA,ABDEF,EFDBA,CABEF,FBDBC
51,BDEDC,BFDBE,EEECA,CEACF,FECBA,DDAED
52,CEBFB,EDAEC,BFCBD,ABCEF,DEEAB,DDEAE
53,AFECC,EFEBA,ACEEE,AECEC,FCACF,FDABD
54,EBADF,BBDED,ABCEF,DEDCA,FECBA,FDCCA
55,DFDDA,ECFCA,EFDBA,BDADF,FEABB,ABDDF
56,FECBA,BEDEB,ADEBF,EFCAB,ABEFD,FCACE
57,ADFDC,FEDBA,ABCEF,FEBAB,ABEFC,DAAFE
58,BCEAF,FEDBA,ABDEF,EFDBA,BABEF,EACFC
59,BBBEF,FEDBA,EBADF,EFDBA,ADFEC,EBADF
60,BBCEF,EFDBA,ABDEF,EFDBA,CABEF,FDECA
61,DBEEA,CFEBA,CFDBB,ACFED,DEFCA,BEBBF
62,FBACE,ACDFD,FCACE,DFDBA,ABDEF,FEDBA
63,EEEBA,EEEBA,AACEF,FECBA,AACEF,FDBCB
64,FDDBA,BACDF,ACEEE,DEDCA,FDBBC,BDEDB
65,BDFDB,CDFEA,BBBEF,AFEDB,EBACF,DBBDF
66,ABDEE,EEEBA,AADEF,FECBA,AACEF,BDCEB
67,ACFEC,FDDCA,ABEED,ABDFE,FEDBA,ABBEF
68,FEBBB,ABCEF,ADEEE,DADEE,FECBA,FDBCB
69,BFFCA,FFCBA,ABDEF,DFCBA,FDBBC,ABCEF
70,DCBBF,EDAED,FEDAB,BFFCA,ABEFC,EEEBA
71,FEDBA,BABDF,CFECA,AAFEE,FECBA,ABCEF
72,FBCCC,DEDBB,ABDEF,DABEE,FEDBA,ABCFF
73,DFDBA,EEEBA,ABDEF,FDCBB,BACEF,CDCEB
74,FDABC,CCDFB,FDBAC,AEFDA,ABDEF,FDCAC
75,BFFCA,DBACF,BFEDA,BABEF,FECBA,ABCEF
76,DFECA,FCADD,DFDAB,EBADF,FCBCB,CADEF
77,ADFEC,FEDAA,ABDEF,FFCBA,FBDCB,BACFF
78,CAEFC,ECABF,ABDEF,FBBCC,EFCBA,EFCCA
79,FEDBA,ABEEF,EFDBA,AFFDB,DABCF,BBBEF
80,ACDFC,DFEAB,FABDE,AEFDB,EDEBA,BEAEE
81,FFDBA,ABEEE,DFEBA,CFDBA,FBBBF,ADCDF
82,EFEBA,FECBA,ABCEF,FCABC,AAEDF,FCABE
83,FEBAB,ACDEE,FDACE,EFDBA,ABDEF,FEDBA
84,BBBEF,EDEEA,EEABD,AEFDA,ABDFE,EEECA
85,FBBCD,ABDEF,FECBA,CABEF,CFECA,FECBA
86,EDECA,ACFEC,EEEBA,BFECA,FBADE,ACDFD
87,BFFDA,EBABF,AEFDB,BABEF,FEDBA,ABCEF
88,FDCBA,ABDEF,ABDEF,EABDE,FEDCA,FEBBD
89,EFDAA,BCFEA,ABCEF,FECBA,ABCEF,FCCEA
90,ADEDD,CAEFC,ADDEE,FDBBB,ECEEA,BECBF
91,ABEEE,EEDBA,EABDF,EFDBA,ABCEF,EEBDB
92,ADEEE,FEDBA,BADFE,ABEEE,FEDBA,BBBEF
93,FECBA,CBFEB,BABEF,FECBA,ABEEE,ABCEF
94,CEFCA,FCBBE,ADEEC,EDADD,FDBAC,BBBEF
95,CFECA,DEFCA,ACEEE,ACDFE,FDABE,DBADF
96,FEDBA,CACDF,ACEEE,FBADD,FECBA,BBCEF
97,BBFFB,EFCAC,FEBBB,ACEED,FCDEA,AECCE
98,BBBEF,DCCFB,FBACE,EFDBA,ABDFE,DDFCA
99,EFEBA,BDFDA,ACEEE,FCBBB,AACFF,EBACF
100,FFCBA,ABCEF,CEFCA,FDABD,FEAAD,BBCEF
101,ABEEE,EEEDA,ABDEF,FECBA,CABEF,BCBFE
102,FBCCC,BCCDE,ABDFE,BADFE,FEDBA,CBCED
103,CDDDB,ACBEF,EFDCA,BCBCF,CAEFB,BFDAD
104,BBCDF,DCFBB,BACEF,FECBA,ACDEE,DEFCA
105,EBBBF,EBACF,ABDEF,FBBCC,FECAA,ECFAB
106,AEEDD,FECAB,ADEED,EAAEF,FEAAD,ACCEF
107,DEECA,DBACF,ECEEA,EBACF,FFCAB,CFEAC
108,BFEDA,FDBAE,AEEEC,ABBEF,FEDBA,ABCEF
109,ABDEF,EEDBA,ACEEE,AFDEC,FCACF,EFDBA
110,FCBBD,ABDDF,AEEDB,EABEE,FDCDA,EEDBA
111,FDBBB,ABDEF,ACDDF,CAEFC,FEDBA,FDDAB
112,ACEFB,BBCDF,AEEDB,ABFED,FEBBB,ACEED
113,ABDFC,DFCAC,ABCEF,FDBAB,EBEBD,FBBEC
114,DFECA,ABDEF,EEEBA,BFEBB,FBADD,ABCEF
115,FCABD,DFDBB,ABDEF,EADFB,FEDBA,EEDDA
116,CACFE,EDECA,ACFFB,ABDEF,CEECA,ACEDD
117,EEECA,CABDF,ADEEC,EBAEE,FECBA,BBBEF
118,ABEBF,CAEFD,ABDEF,FECAB,ABDFD,ADCDF
119,ABEEE,EEECA,ABEEE,AEDEC,FDAAD,ABCEF
120,FCBCB,ABDEF,EEDCA,ABFED,BACFF,BFDBC
121,BBBEF,DDECB,BACEF,FDBAB,ACEFC,EEEBA
122,FDABD,ABDFC,FEBAC,DFCAD,ADEED,FEDAA
123,EFCAD,DEECA,ABDEF,FECBA,BABEF,FDBBB
124,FDCBB,ABDDF,ACEED,EFDAA,BACFE,CEECA
125,ACEED,EECAC,ACEFC,FDBBC,ABDEF,ACCEE
126,AEFDA,FECAA,ABDEF,FDBBB,ABCFE,CABEF
127,ACDEE,FEDBA,ABDEF,FDCBA,BABEF,FEDBA
128,FCACD,BACEF,FCADE,ACEFC,FEBBC,FECCA
129,FFDBA,ACEFA,ABDEF,FDCBA,ABDFE,FDBBC
130,ABDEF,EEEBA,ACEEE,AEDEC,ECACF,FFCBA
131,FFDBA,AADEF,BEFEA,AEBDF,FECBA,BBBDF
132,AEEDB,FEDBA,ABDEF,FDCBB,ABCEF,DACED
133,CEBFB,CEDAE,DCFBB,ACDDF,ECFAB,DAEBE
134,BFFDA,EBABF,AEFDA,BBBEF,FEDBA,ABCEF
135,FFDBA,FDCAD,ADFEB,EBAEE,FECBA,BBBEF
136,ABEEC,EFEBA,ABCEF,EFDBA,CABEF,CBBEE
137,ABEEE,FEDCA,BACEF,FECBA,ABCEF,EDDDA
138,ACEEE,FEDBA,ABEEE,BECEB,FCABE,ACEEE
139,BEEFA,FDBBC,ADCCF,FABDE,DDBCE,ADCDF
140,CACEF,CDEEA,FCACD,CFECA,ABDEF,FEDBA
141,CFCAE,BBFBE,FEBCA,DBBCF,DDFBB,EAAEE
142,FEBBB,FCCAC,ACDEF,EABEE,FECBA,BBEFC
143,ABEEE,FEDBA,AADEF,CFECA,BACEF,CDEDA
144,FDCBA,BBCFD,BAEDF,AAEFD,FEDBA,EDCBD
145,EAADF,EEEBA,ABCEF,BBEFC,FECBA,EEDCA
146,FFDBA,BACDF,ADFEB,DBAEF,FECBA,BBBEF
147,BEEAD,CAFEC,BFEAD,FAADE,CBFDB,ABEDF
148,EFEBA,AEFCC,EFDBA,CABEF,ECACF,EABFD
149,EBABF,DEFCA,ABDEF,FECBA,BACEF,FECAB
150,BBBEF,CCAEF,FDABD,EFDBA,ABEEE,CEDFA
151,BEFDA,ECABF,AEFDB,BBBEF,FEDBA,ABCEF
152,CBFBE,ECACF,DABEF,FEBCB,FDDAC,ACFCE
153,BCBEE,ACFEC,ACCEF,FBBCC,DFEBA,DEAEC
154,EBBBF,FEDAB,ABDEF,FBBCD,FECBA,EEEBA
155,BFFCA,ECABF,AEFDB,BABEF,FEDBA,ABCEF
156,FDBBB,DACDF,ACFEC,CBECE,FECBB,BCDDE
157,ABEEE,CEFDA,EBBBF,AFEDB,EABCF,FDCBB
158,FCCBB,DCADE,ACEEC,ABEED,FECAA,ABCEF
159,DEFDA,DBBCF,CEEEA,CFCBC,FECBA,ABCEF
160,ABEEF,EFDBA,CACEF,FECBA,ABDEF,EDDDA
161,FDCBB,DBCDE,ACEDE,CACEF,FEDBA,CABEF
162,EEEDA,FACCE,ACDFD,EACCE,BEDBE,BDAEF
163,EEDCA,DBCFB,EDCAD,EFBAC,ABDEE,EBACF
164,CEDEA,CFCAE,FEBBB,AEBED,DFACC,ABEEE
165,EACEE,CDEEA,ADCEE,ABDEF,FFCBA,DACEE
166,FDDBA,ACDDF,FEDBA,CFECA,DBACF,CDCBF
167,FCABE,ACCFE,FEBAB,EFDBA,ACEEE,FEDAA
168,FCCAE,ECCBE,FEBBA,DACEF,BFCBC,FECAB
169,BFEBA,DEEBA,ACEEE,DCAEE,FCABE,CBBDF
170,FCBBC,ABDEF,EEECA,AADFE,CADEE,BCCFE
171,BEFDA,EBACF,BEEDA,BABEF,FECBA,ABCEF
172,CEEAD,DAEDE,AEFBE,EEBAE,FEDBA,BEAEE
173,FDBBB,ABDEF,EEDCA,ABFED,ABEFC,ADFEC
174,ECBAF,FDDAC,FECBA,AEDBF,ADFBD,FEBAB
175,AEFDB,CBFCC,ADEEC,ABEED,FEBBB,ABCEF
176,FDCAB,BBCDF,ACEEE,ACFEC,FECBA,DDECA
177,ACCDF,EEECA,ABDEF,FECBA,BABEF,FECAB
178,FCABD,ABDFD,EBACF,EBADF,CFBCB,EDEDA
179,AFEDB,CBCCF,ACDCF,BAEFE,FEDBA,ECBDC
180,EFDBA,CEFDA,ABDEF,FECBA,BACEF,FDBBB
181,FDBBC,BBCDF,CCFDA,ABDFE,FECBA,FECBB
182,BDFDA,EEECA,ABCEF,FEBBB,AACEF,DBBDF
183,BEFDA,EBABF,AEFDA,BBBEF,FEDBA,ABCEF
184,BFFCA,ECABF,AEFDB,BABEF,FECBA,ABCEF
185,BEFAC,DBADF,FBBEB,ACCDF,EECDA,ABCFE
186,FAAED,BCBDF,FDDDA,DBADF,FACCD,BDFEA
187,AEFDA,FEDBA,ABDEF,EFCBB,AEBFD,CDBBF
188,DCFBB,EEDDA,ABEEF,BACFF,FEDBA,ABEFD
189,EBACF,BDEEA,FDABC,DFEBA,AEFDC,EFEBA
190,CEEBB,DBEBE,DDFCA,CEABF,FDCBA,EAAEE
191,ABDEF,EEDCA,FBADE,CFECA,BACEF,DEECA
192,CEEDA,CAEDE,CFECA,CDACF,FEBAB,ADDCF
193,EFDAA,DEECA,ABDEF,FDBBB,ABDEF,FEBBB
194,ACDDF,FDBCB,ACDEE,EBBED,FEDCA,ADBFE
195,ABDFE,EFEBA,ACDEE,CFCCA,DBADF,FECCA
196,ADDDE,EEEBA,ABEEE,ACEEE,FDABD,DFDAB
197,ADBEE,ACECF,FBADC,FBBBD,EFCAA,DEAAE
198,BCEBE,BEDAF,DAEEB,ABDFE,DEBEA,CFABE
199,EFCAB,EEECA,ACEEE,FDBBB,BACEF,FCBBC
200,ACEFC,FDBBC,BABEF,FECBA,DFBAE,EADEB
201,ACDCF,EBEAD,ABDEF,FCBBC,CADFC,ADFDB
202,FCBBE,ADEEC,FEBAB,BFECA,ABEEE,FEDBA
203,BEFDA,EBABF,BEFDA,BBBEF,FEDBA,ABCEF
204,FCBBB,ABDEF,EEDCA,ACFEC,ABEEE,BFCCC
205,FADCC,ECBBF,ADEED,ACFDC,FEBBB,BEEEA
206,DFECA,EEECA,ABDEF,FDCBA,AACEF,EEACC
207,CEADE,AEDBE,DCFAD,BEBDD,ECEEA,ECBFB
208,ADFDC,DEEDA,BBDDF,DFDBA,FDABD,ABCEF
209,EEEBA,FCABE,ACDFE,EABDE,EFEBA,BBCDF
210,FBBCC,BBBEF,ACEFB,BDFBC,FDBBB,EDEBA
211,FEDBA,EEEBA,ABDEF,FDBBC,ADEDE,CBAEF
212,ADEED,ABDEF,FEDBA,ACFEC,AACFF,ABDFE
213,EEECA,EBADE,BEFEA,BFCBC,FEBBB,ABCEF
214,FFDBA,BBCDF,CEEEA,AEDDD,FECBA,BBCEF
215,ACCEF,EEECA,ABEEE,CFDCA,FBACF,EBBBF
216,ACFDD,FEDBA,ACEEE,FCBCB,DBADF,BEDDC
217,FDBBB,BCBDF,DBAEE,BACEF,EDDCA,FEDBA
218,ABCFE,DCEBB,ABDEF,FDCBA,ABDFD,EDFCA
219,FEDBA,CBBDF,BBEFB,DBAEF,FEDBA,CBBDF
220,CBBEF,DEEDA,BACEF,FECBA,ADEDE,ABDFC
221,BABEF,BACFE,EFDBA,ABCEF,FEBAD,CDFCB
222,ABEEE,FEDBA,ABEEE,EEBDA,EBACF,BEECB
223,FDABC,ABEFD,FDABD,EFDBA,AEEDC,FECBA
224,ACEEE,FEDBA,ACDEE,FDCBB,ABCEF,EEDCA
225,FDECA,CBBEF,ADEED,ABFED,FECBB,ACFEB
226,ABDEF,ABDEE,FECBA,ACFEC,ABCEF,EBADF
227,EEDBA,BACDF,DFECA,ADEDE,FEDBA,BBCEF
228,ACEED,FDCBB,ABDEF,CACEF,FEDBA,BBECE
229,BCEFB,AACEF,EEDCA,ACFEC,AACFF,ABFED
230,ABEEE,FEDBA,ACDEE,FDBBA,CABEF,ACEFC
231,FBACF,DDEEA,FDABD,EFDBA,ACEEE,EEEBA
232,CBEBE,DADFB,BFEAC,AADEF,EEEAB,EAAEF
233,DEEBA,FADDD,DEBAE,ABFEC,AEFBC,EACCF
234,FFDBA,BBCEF,BCEFA,BEBCF,FEDBA,DBACF
235,ABDFF,EFDCA,ABDEF,FECBA,CADEF,DDEEA
236,EFDBA,BABEF,ACEED,FCACE,FECBA,BBBDF
237,FBACF,BDEEA,DABEF,FECBA,ABEEE,EEEBA
238,FCCCA,ABDEF,FEDBA,ADFEB,AADEF,CCFDB
239,FECBA,BACDF,BEEDA,ABEFE,FEDBA,BACEF
240,FBBBE,BACFE,CCFDA,ABDEF,BFEBB,DDEEA
241,FDAAE,ACEFE,FECAB,CFDAB,ACEEE,FEDBA
242,BFFCA,DBACF,BFEDA,BABEF,FECBA,ABCEF
243,CFCDB,ECFCA,ABDEF,FDCBA,BACEF,DDCEA
244,FEDAA,EFCAB,CFEBA,ADFDD,ECACF,EADFC
245,CBFEB,ADFDE,FCDDA,EACCE,CDFBB,EAAEE
246,FECBA,BBBEF,AEFDA,ABEEE,FECBA,BBBEF
247,DEDAE,DABEF,EFDAB,DABDF,FDBBC,ADDBF
248,EFDBA,CBBDF,EEEBA,AEEEC,FDBBC,ABDEF
249,CFDCB,FECDA,ABDEF,EFCCA,EAADF,BBBEF
250,ADECE,BAEFD,EBFDA,ADEDE,EFDBA,ABCFE
251,EEECA,ABCEF,DFECA,AADFE,FECAA,ABCEF
252,BFFCA,DBACF,BEEDA,BABEF,FECBA,ABCEF
253,BBBFF,EDFBA,EBACF,FFDBA,ABDEF,DEEDA
254,ABDEE,EEDBA,BADEF,FECBA,BACEF,BCEDC
255,BEFDA,EBABF,BEEDA,BBBEF,FEDBA,ABCEF
256,DEEAC,DACFD,CFDAB,EBADF,FDDAA,BDADF
257,ABDEE,FEDCA,ABDEF,EFDBA,EABDF,ACEFD
258,FCCAE,FDCBB,EAADF,FCABE,AFDCD,EFDAA
259,DFEBA,EEEBA,ACEEE,FCBCB,CABEF,FECBA
260,DEDEA,CFDBB,CCEEA,ADEDE,FEDBA,CDAEE
261,DFCCB,CDEEA,CABEF,FECBA,ABCEF,CCCDE
262,ABDCF,CCFCB,ABDEF,FDCBA,ABDFD,EEFBA
263,EABEF,FEDAA,ABDFE,ACEED,FECBA,CEDDA
264,FECBA,CACFE,CBADF,FCABE,EFEBA,BBBEF
265,FBBCC,CBBDF,ABDEF,FBDDB,FECBB,DCBBF
266,EEECA,BBEEC,ACEFC,FFBBC,FECBA,BBBEF
267,CABEF,EEECA,DABEF,FECBA,ACEED,BDFDA
268,BACEF,ADFEB,FEDAA,BFFCA,ACEEE,EEECA
269,DEECA,AECCE,ECBBE,AAEFE,EEDDA,DDAEE
270,FEDCA,BACEF,DEECA,ABFED,FDBBB,ABCEF
271,FEDBA,BADEF,ACEFB,EEADD,FEDBA,BACEF
272,FDDBA,BBCEF,EEECA,ABFED,DABEF,ADDDD
273,FECBB,ABDEF,AEECB,ABDEF,FFDBA,FEDAB
274,ABEFE,AEECC,CACEF,FECBA,ACDEE,EEECA
275,ACFEC,FDBBC,FECBA,ACEEE,FEDBA,EBACF
276,DFEBA,FDBAC,ACEEE,FCBBD,FBBBE,BBBEF
277,CEBEB,CEAFC,CFBEB,BDCDE,DDEAD,BEBFB
278,FBBCF,ACEEE,FECAB,FECAB,ACEEE,FEDBA
279,DBADF,BEFCA,FBACE,EFDBA,ACEEE,FECBA
280,ABDEF,EEDBA,ACEEE,AFDDB,FCABE,DFBBB
281,BEEDB,DBEEA,AACEF,EAAEF,BEFCA,ABCEF
282,BCCBF,DBADF,FBBCE,DFDBA,BADFD,ACFDE
283,FABDE,DCACF,ACEEE,BDFCA,FDBBB,EFCCA
284,EBBBE,EDBAF,AEFDB,ABFED,FECBA,ACEED
285,ADCCF,FEACB,FDABC,ABEED,FCACD,CFFAB
286,BFFCA,DBBCF,BFECA,BBBEF,FECBA,ABCEF
287,FEDBA,ABCEF,ABDEF,EABEE,FEDBA,DBADF
288,FDACC,ADEFB,EABDF,FFDBA,ABEEF,FEDCA
289,CCBFC,ACFED,AEEDE,ACEDD,FCABF,BACFE
290,CCBFD,CBAEF,DEECA,ABFEE,EBDCD,BBBEF
291,ADEEC,FCADE,FBBCD,ABEEE,FEDAB,CEAED
292,FEDBA,BACEF,ACDDF,DABEF,FECBA,BABEF
293,EFDBA,FECBB,CEFDA,AFCCD,FECBA,ABCEF
294,FEDCA,CBBCF,ADEEC,BACEF,FEDBA,BBBFF
295,FCBBE,ABDEF,FEBAC,EFDBA,ACEEE,FFCBA
296,CEDDB,FDAAE,FEBBB,ACEED,EEBAE,EBADE
297,FFDBA,ACEED,BEFEA,DFBBB,DACEF,BBBDF
298,FEDBA,ABFDE,FEDAA,AFFDB,EABDF,AEBEE
299,EDCDA,EFDBA,BBBEF,EFDBA,ABDEF,FDBBC
300,FDDBA,ABCDF,ADFEC,CACED,FDBCB,ABCDF
301,BCBEF,CAEFB,BFEBB,ACFED,FECAB,DDAED
302,FECBA,ABDEF,FECBA,BFDAC,EFCBA,FCBBE
303,BFFDA,DBBCF,BEEDA,BABEF,FEDBA,ABCEF
304,DDEAD,DBADF,FDBBC,EFDBA,EFEBA,AEEAD
305,EBACF,DACFD,FDABD,FFDBA,ABEEE,EEECA
306,BEEEA,BDAEE,BFDBD,CBDBF,ECFCA,EABED
307,CEAEC,AEEDD,EDCDB,EBBBF,ECEDA,ECCFA
308,EBADE,EDCBD,ABDEF,DACFD,FECAA,ABDFC
309,FDBBB,BABEF,ACEFC,BDFDA,FDBAC,FEDBA
310,DBBCF,FCBCC,FDACE,FECBA,ABEFC,EFEAA
311,DAFBC,FBCEA,DECEA,AAEDF,BFCAD,CEEAE
312,EFDBA,ABCEF,EDFCA,CFDBA,DACCF,BBBEF
313,ACEFC,FEABD,ABDEF,EFDCA,EEABF,EABFC
314,BAEDE,EEEBA,ABCEF,FECBA,AADEF,FECAB
315,DFECA,BABFE,DEFCA,ACFEC,ABCFF,BADFE
316,FEDBA,ACCCF,FEBBC,BACEF,DDFDA,BEBBF
317,CEEAD,EABCF,BCAEF,FABDE,CFDAD,EDADE
318,FEDBA,BBBDF,CEECA,DABEE,FEDBA,BBCEF
319,ABEEE,EEECA,ABDEF,FEDBA,DABDF,ACDEE
320,FBBBE,AECED,ACEEC,BAEFD,ECBCE,FEDBA
321,DEECA,CBDCE,ECEDA,CDADF,FDBBB,CEBBF
322,FEDBA,FCBBE,ADFEA,DCAEF,FECBA,BBBDF
323,EFDBA,AADEF,FEDBA,AEFDB,FEBAB,ABCEF
324,ACFEC,DEEDA,EAADF,CFECA,ABDEF,FDBDC
325,EFCCA,ADCFC,EDCAE,BBBEF,DDEDA,BACFF
326,ABEEE,EEDBA,BACEF,FECBA,ABDEF,FEDCA
327,ABCFD,CFEAC,FBECB,ADFEC,FDACE,BBFFB
328,ABDEF,EEECA,ABDEF,FECBA,BACEF,FEDBA
329,FEDBA,ABCEF,BEEEA,ACEDE,EEDBA,BBCEF
330,BBEFC,DBBDF,ACCEF,CACEF,FECAB,ABCEF
331,BFFCA,CBBDF,CFECA,BABEF,FECBA,ABCEF
332,FBBCE,BACFF,FEBAB,CFEBA,BFFCA,FBADE
333,FDBBB,ABDFE,FECAB,DFEBA,ACEED,FFCAB
334,ABDEF,EEDBA,ACEEE,FECCA,DBADF,FEDBA
335,DEDAB,AEDED,ACFEB,ACECE,FEBDA,BBCDF
336,CBBBF,DCAFD,EFCAB,EFDAB,BBDFD,DEFCA
337,FBCCB,ACDED,FDBAD,FEBAE,ACEED,FDBBC
338,FECBA,BBCCF,ACEFC,FCACD,FEDBA,CBBCF
339,ABEEE,EEDCA,BACEF,EFDBA,CACEF,BBEED
340,BBBEF,EDCEA,EABDF,EFDBA,ABDEF,DEEEA
341,FECBA,BBCEF,ADFEB,EFEAA,BEFDA,CCADF
342,BBCFF,CBFDA,FBACE,DFECA,ABEEF,EDEEA
343,ABEEE,DEEDA,EABEF,AEEDB,CABEF,ADCFD
344,FEDAA,AEEDB,CBBEF,FEBAB,ABEEE,CCBEE
345,DEEDA,CFDCA,ADFDB,ABFED,EFDAA,ADDBF
346,BFFDA,DBACF,CFECA,ABCEF,FECBA,ABCEF
347,FCDDA,FDABD,AEECD,AADFF,FEDBA,BBCDF
348,EDDEA,BECBE,CCADF,FBACD,CDDFA,BEAEE
349,CEFDA,BFCBE,CFDAB,ABDFE,FFCAA,BBBEF
350,ABDEF,EFECA,BACEF,FECBA,ABDEF,DBBFD
351,FDBBB,BBBEF,DEEDA,AFEBC,ADFEB,FECBB
352,FCCBB,ABCCF,ADEFC,DFDAB,FDBCA,ACCEF
353,DEEBA,ACDDF,ADDED,DACEE,EDEDA,BEBCF
354,FCBCB,EABCF,ACEDF,DABEE,FEDBA,CBAEF
355,FADDC,BACEF,FECAB,BFECA,ABDEF,CABEF
356,FDBBB,CDDEA,BABEF,EAAEE,EFCAC,ABCEF
357,BBDBF,FEBDA,CACEF,FDBAB,ACFCD,EFDAB
358,ABEEE,FEDBA,ABDEF,DFDCA,DABDF,ADEEB
359,DCFEA,BCCCF,FCEBB,EADDD,ECAFB,BFBBE
360,FECBA,ABCEF,BEEDA,FDEAC,FCBCB,BACEF
361,EABDE,ADDED,ACEDE,AEEDD,FECAB,EECBA
362,EADFB,ADEEC,DEBEB,CADEE,FCACE,EDBAE
363,FFDBA,ABDFF,FDBAD,BFECA,BADEF,DCABF
364,FECBA,BBCEF,ACEED,FCDCB,EEEBA,FEBBB
365,DDEDA,CBBCF,ACDEE,FABDE,FECBA,ABCFE
366,ABFCF,FBBEC,ABDEF,DFDBA,EDACE,ADFBE
367,EDCCC,ABCEF,ABDEE,FBADE,FDACB,CABEF
368,BCBCF,DDAFC,DABDF,FECBA,ACDEF,DEEDA
369,FCBDC,CEEDA,BABEF,EFDBA,ABDEF,FBBBD
370,CEFCA,FEDBA,ACDDF,FEBAC,DFEAA,CBAEF
371,FBACD,ACEFC,FEBAC,EFDBA,ACEEE,EEEBA
372,FDBBB,ABCEF,AEEEC,ADFEB,FDCAB,EEEDA
373,FCCBB,ABCEF,ADFEC,DEFBA,FECBA,EEDBA
374,BEFCA,DBACF,BEEDA,BABEF,FEDBA,ABCEF
375,DDFCA,EBAFD,BFDBD,AADFE,EDDDA,CACEE
376,DACCF,CEFCA,CABEF,FDBAD,ABDEF,FEDBA
377,BEDEA,EEDAD,BEFCA,EFBBC,CBBEF,ABECF
378,FEDBA,EDCAE,BEFBA,EEBAE,FDBBB,BBCDF
379,CACEF,FECAB,ACDEF,BADEF,FECBA,DBBED
380,CFECA,EEEBA,ACEEE,CCAEE,ECACF,FDABD
381,AEFDB,EEECA,ACEEE,ACDEE,FEAAD,DBADF
382,ABEEE,FECBA,CACEF,CFECA,BACEF,BDFEA
383,BBBEF,BEEBC,BACEF,FECBA,ACCEF,DEEDA
384,BBEFB,FCCCB,ACDEF,CACFE,FEDBA,BBBEF
385,DAEFA,CCBCF,ACDEE,BACFF,FECBA,CABEF
